Code    Description        Theta_r    Theta_s    Alpha      N          Ks         Ko         L          Theta_r_u  Theta_s_u  Alpha_u    N_u        Ks_u       Ko_u       L_u        
                           cm3/cm3    cm3/cm3    log(1/cm)  Log10      L(cm/day)  L(cm/day)  No units   cm3/cm3    cm3/cm3    log(1/cm)  Log10      L(cm/day)  L(cm/day)  No units   
123     B352B2             0.06050    0.40849   -2.17509    0.19576    1.23843    0.33750    0.09278    0.00497    0.00864    0.05191    0.00982    0.13148    0.22014    1.10573
124     B353B              0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
125     B36A               0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
126     B36B               0.03196    0.39385   -1.48568    0.15145    1.77465    1.34179   -0.96978    0.00678    0.01009    0.05574    0.01116    0.14183    0.20534    0.82054
127     B36Bt              0.05691    0.39123   -1.67429    0.14317    1.26180    0.92393   -0.99044    0.00465    0.00660    0.05109    0.00869    0.10345    0.21944    0.82899
128     B36B               0.03543    0.39162   -1.60648    0.15047    1.66954    1.16249   -0.81371    0.00598    0.00848    0.05125    0.00955    0.13087    0.19948    0.75437
129     B36B2              0.03543    0.39162   -1.60648    0.15047    1.66954    1.16249   -0.81371    0.00598    0.00848    0.05125    0.00955    0.13087    0.19948    0.75437
130     B36R              -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
131     B37A               0.02848    0.40044   -1.46628    0.15290    1.85545    1.40211   -0.93245    0.00754    0.01358    0.06657    0.01313    0.20182    0.20157    0.83398
132     B37B               0.03685    0.38803   -1.43034    0.15878    1.73649    1.38466   -1.07495    0.00638    0.00718    0.05334    0.01047    0.07782    0.22001    0.82996
133     B37B2              0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
134     B37B3              0.03538    0.38939   -1.37277    0.18511    1.86188    1.51548   -0.99505    0.00653    0.00812    0.06547    0.01366    0.08123    0.22869    0.78103
135     B37B4              0.03533    0.39060   -1.34350    0.23767    2.03494    1.62919   -0.88237    0.00604    0.00872    0.07035    0.01631    0.10637    0.24423    0.69549
136     B37R              -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
137     B38A               0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
138     B38A2              0.04481    0.38217   -1.43898    0.17306    1.75189    1.33796   -1.08158    0.00533    0.00644    0.04220    0.01109    0.06477    0.23379    0.78153
139     B38AC              0.04481    0.38217   -1.43898    0.17306    1.75189    1.33796   -1.08158    0.00533    0.00644    0.04220    0.01109    0.06477    0.23379    0.78153
140     B38Cr              0.04126    0.38778   -1.61026    0.14824    1.55780    1.11064   -0.90229    0.00496    0.00617    0.04544    0.00841    0.10876    0.20735    0.77484
141     B39A               0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
142     B39B               0.03913    0.38643   -1.37775    0.22962    1.99285    1.54204   -0.90539    0.00548    0.00685    0.05643    0.01367    0.07938    0.24006    0.67399
143     B39C               0.03913    0.38643   -1.37775    0.22962    1.99285    1.54204   -0.90539    0.00548    0.00685    0.05643    0.01367    0.07938    0.24006    0.67399
144     B39Ab              0.04299    0.38305   -1.41139    0.22141    1.95699    1.45512   -0.93178    0.00500    0.00626    0.04468    0.01264    0.06015    0.23805    0.66419
145     B310A              0.03411    0.41437   -2.05846    0.19085    1.71392    0.66043    0.28742    0.00658    0.01106    0.06410    0.01035    0.31118    0.22263    0.98373
146     B310B              0.05172    0.38057   -1.49682    0.14479    1.52858    1.17058   -1.26410    0.00480    0.00584    0.04281    0.00778    0.07938    0.23990    0.90100
147     B310Cr             0.03533    0.39060   -1.34350    0.23767    2.03494    1.62919   -0.88237    0.00604    0.00872    0.07035    0.01631    0.10637    0.24423    0.69549
148     B41A               0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
149     B41R              -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
150     B42A               0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
151     B42R              -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
152     B43A               0.02835    0.40485   -1.58359    0.15285    1.83020    1.26314   -0.71191    0.00774    0.01352    0.06802    0.01217    0.22879    0.19027    0.75891
153     B43B               0.02950    0.39697   -1.38464    0.16363    1.87182    1.51170   -1.00825    0.00730    0.01273    0.07300    0.01437    0.15939    0.21502    0.85707
154     B43Cr              0.03533    0.39060   -1.34350    0.23767    2.03494    1.62919   -0.88237    0.00604    0.00872    0.07035    0.01631    0.10637    0.24423    0.69549
155     B44A               0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
156     B44B               0.03543    0.39162   -1.60648    0.15047    1.66954    1.16249   -0.81371    0.00598    0.00848    0.05125    0.00955    0.13087    0.19948    0.75437
157     B44B2              0.03177    0.39692   -1.59775    0.15169    1.74937    1.20772   -0.76110    0.00681    0.01020    0.05731    0.01061    0.16862    0.19446    0.75034
158     B44B3              0.03538    0.38939   -1.37277    0.18511    1.86188    1.51548   -0.99505    0.00653    0.00812    0.06547    0.01366    0.08123    0.22869    0.78103
159     B44B4              0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
160     B44B5              0.02848    0.40044   -1.46628    0.15290    1.85545    1.40211   -0.93245    0.00754    0.01358    0.06657    0.01313    0.20182    0.20157    0.83398
161     B44R              -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
162     B46A               0.03196    0.39385   -1.48568    0.15145    1.77465    1.34179   -0.96978    0.00678    0.01009    0.05574    0.01116    0.14183    0.20534    0.82054
163     B46B               0.03310    0.39163   -1.40917    0.16124    1.79979    1.44489   -1.04033    0.00678    0.00910    0.06255    0.01213    0.10055    0.21690    0.83743
164     B46R              -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000
165     B47A               0.03538    0.38939   -1.37277    0.18511    1.86188    1.51548   -0.99505    0.00653    0.00812    0.06547    0.01366    0.08123    0.22869    0.78103
166     B47B               0.03914    0.38603   -1.40008    0.18050    1.81373    1.44336   -1.02722    0.00606    0.00705    0.05436    0.01221    0.06760    0.22955    0.77168
167     B47B2              0.03914    0.38603   -1.40008    0.18050    1.81373    1.44336   -1.02722    0.00606    0.00705    0.05436    0.01221    0.06760    0.22955    0.77168
168     B47C               0.03913    0.38643   -1.37775    0.22962    1.99285    1.54204   -0.90539    0.00548    0.00685    0.05643    0.01367    0.07938    0.24006    0.67399
169     B48A               0.03196    0.39385   -1.48568    0.15145    1.77465    1.34179   -0.96978    0.00678    0.01009    0.05574    0.01116    0.14183    0.20534    0.82054
