Code	Comment	Sand	Silt	Clay	Bulkdensity	Theta33	Theta1500
Id	pedon_horizon	%	%	%	gr/cm3	cm3/cm3	cm3/cm3
164	B46R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
165	B47A	75	20	5	-9.9	-9.9	-9.9
166	B47B	75	18	7	-9.9	-9.9	-9.9
167	B47B2	75	18	7	-9.9	-9.9	-9.9
168	B47C	80	15	5	-9.9	-9.9	-9.9
169	B48A	65	30	5	-9.9	-9.9	-9.9
170	B48B	60	35	5	-9.9	-9.9	-9.9
171	B48B2	70	25	5	-9.9	-9.9	-9.9
172	B48B3	65	30	5	-9.9	-9.9	-9.9
173	B49A	60	35	5	-9.9	-9.9	-9.9
174	B49R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
175	B410A	80	12	8	-9.9	-9.9	-9.9
176	B410BA	75	13	12	-9.9	-9.9	-9.9
177	B410Bw	75	13	12	-9.9	-9.9	-9.9
178	B410Bkk	75	15	10	-9.9	-9.9	-9.9
179	B410R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
180	IL11A	60	35	5	-9.9	-9.9	-9.9
181	IL11B	60	35	5	-9.9	-9.9	-9.9
182	IL11C	65	30	5	-9.9	-9.9	-9.9
183	IL11R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
184	IL13A	70	23	7	-9.9	-9.9	-9.9
185	IL13B	65	28	7	-9.9	-9.9	-9.9
186	IL13B2	55	38	7	-9.9	-9.9	-9.9
187	IL14A	65	28	7	-9.9	-9.9	-9.9
188	IL14B	55	38	7	-9.9	-9.9	-9.9
189	IL14B2	50	43	7	-9.9	-9.9	-9.9
190	IL14Cr	65	30	5	-9.9	-9.9	-9.9
191	IL14R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
192	IL15A	60	35	5	-9.9	-9.9	-9.9
193	IL15B	70	20	10	-9.9	-9.9	-9.9
194	IL15B2	70	20	10	-9.9	-9.9	-9.9
195	IL15CB	60	30	10	-9.9	-9.9	-9.9
196	IL15C	70	25	5	-9.9	-9.9	-9.9
197	IL15C2	80	15	5	-9.9	-9.9	-9.9
198	IL15R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
199	IL18A	70	23	7	-9.9	-9.9	-9.9
200	IL18B	70	23	7	-9.9	-9.9	-9.9
201	IL18B2	60	33	7	-9.9	-9.9	-9.9
202	IL18BC	70	23	7	-9.9	-9.9	-9.9
203	IL18C	80	15	5	-9.9	-9.9	-9.9
204	IL18R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
205	IL19A	65	25	10	-9.9	-9.9	-9.9
206	IL110A	60	33	7	-9.9	-9.9	-9.9
207	IL110B	60	33	7	-9.9	-9.9	-9.9
208	IL110BC	70	23	7	-9.9	-9.9	-9.9
209	IL21A	70	25	5	-9.9	-9.9	-9.9
210	IL21R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
211	IL22A	60	35	5	-9.9	-9.9	-9.9
212	IL22B	50	45	5	-9.9	-9.9	-9.9
213	IL22Cr	55	35	10	-9.9	-9.9	-9.9
214	IL23A	55	38	7	-9.9	-9.9	-9.9
215	IL23B	60	33	7	-9.9	-9.9	-9.9
216	IL23B2	50	45	5	-9.9	-9.9	-9.9
217	IL23B3	50	45	5	-9.9	-9.9	-9.9
218	IL23Cr	50	40	10	-9.9	-9.9	-9.9
219	IL24A	65	28	7	-9.9	-9.9	-9.9
220	IL24B	45	48	7	-9.9	-9.9	-9.9
221	IL24B2	60	33	7	-9.9	-9.9	-9.9
222	IL24R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
223	IL25A	70	25	5	-9.9	-9.9	-9.9
224	IL25B	70	25	5	-9.9	-9.9	-9.9
225	IL25B2	65	30	5	-9.9	-9.9	-9.9
226	IL25Ab1	50	20	30	-9.9	-9.9	-9.9
227	IL25C	80	15	5	-9.9	-9.9	-9.9
228	IL25Ab2	40	22	38	-9.9	-9.9	-9.9
229	IL27A	70	23	7	-9.9	-9.9	-9.9
230	IL27B	70	23	7	-9.9	-9.9	-9.9
231	IL27B2	70	20	10	-9.9	-9.9	-9.9
232	IL27Bk	70	23	7	-9.9	-9.9	-9.9
233	IL27C	70	23	7	-9.9	-9.9	-9.9
234	IL27R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
235	IL28A	60	35	5	-9.9	-9.9	-9.9
236	IL28B	55	40	5	-9.9	-9.9	-9.9
237	IL28B2	55	40	5	-9.9	-9.9	-9.9
238	IL28Cr	55	40	5	-9.9	-9.9	-9.9
239	IL28R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
240	IL29A	75	20	5	-9.9	-9.9	-9.9
241	IL29B	60	35	5	-9.9	-9.9	-9.9
242	IL29R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
243	IL210A	70	23	7	-9.9	-9.9	-9.9
244	IL210B	70	25	5	-9.9	-9.9	-9.9
245	IL210B2	75	18	7	-9.9	-9.9	-9.9
246	IL210CB	70	23	7	-9.9	-9.9	-9.9
247	IL210R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
248	IL31A	40	55	5	-9.9	-9.9	-9.9
249	IL31B	40	53	7	-9.9	-9.9	-9.9
250	IL31BC	40	53	7	-9.9	-9.9	-9.9
251	IL31R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
252	IL32A	75	20	5	-9.9	-9.9	-9.9
253	IL32B	80	15	5	-9.9	-9.9	-9.9
254	IL32B2	80	15	5	-9.9	-9.9	-9.9
255	IL33A	65	30	5	-9.9	-9.9	-9.9
256	IL33B	75	20	5	-9.9	-9.9	-9.9
257	IL33B2	75	18	7	-9.9	-9.9	-9.9
258	IL33B3	70	23	7	-9.9	-9.9	-9.9
259	IL33B4	60	35	5	-9.9	-9.9	-9.9
260	IL34A	35	53	12	-9.9	-9.9	-9.9
261	IL34A2	50	38	12	-9.9	-9.9	-9.9
262	IL34A3	45	43	12	-9.9	-9.9	-9.9
263	IL34AB	70	12	18	-9.9	-9.9	-9.9
264	IL34B	70	18	12	-9.9	-9.9	-9.9
265	IL34B2	50	35	15	-9.9	-9.9	-9.9
266	IL34B3	75	7	18	-9.9	-9.9	-9.9
267	IL34C	60	25	15	-9.9	-9.9	-9.9
268	IL34Cr	75	15	10	-9.9	-9.9	-9.9
269	IL36A	70	23	7	-9.9	-9.9	-9.9
270	IL36B	70	23	7	-9.9	-9.9	-9.9
271	IL36Cr	70	23	7	-9.9	-9.9	-9.9
272	IL37A	70	23	7	-9.9	-9.9	-9.9
273	IL37B	70	23	7	-9.9	-9.9	-9.9
274	IL37Cr	60	33	7	-9.9	-9.9	-9.9
275	IL37R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
276	IL39A	80	13	7	-9.9	-9.9	-9.9
277	IL39BA	70	23	7	-9.9	-9.9	-9.9
278	IL39B	70	23	7	-9.9	-9.9	-9.9
279	IL39B2	70	23	7	-9.9	-9.9	-9.9
280	IL39Cr	75	20	5	-9.9	-9.9	-9.9
281	IL39R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
282	IL310A	55	40	5	-9.9	-9.9	-9.9
283	IL310B	70	25	5	-9.9	-9.9	-9.9
284	IL310B2	65	30	5	-9.9	-9.9	-9.9
285	IL310C	70	25	5	-9.9	-9.9	-9.9
286	IL310C2	75	18	7	-9.9	-9.9	-9.9
287	IL310R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
288	IL42A	70	25	5	-9.9	-9.9	-9.9
289	IL42B	70	25	5	-9.9	-9.9	-9.9
290	IL42B2	65	30	5	-9.9	-9.9	-9.9
291	IL42BC	80	15	5	-9.9	-9.9	-9.9
292	IL43A	40	57	3	-9.9	-9.9	-9.9
293	IL43B	35	50	15	-9.9	-9.9	-9.9
294	IL43R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
295	IL44A	65	28	7	-9.9	-9.9	-9.9
296	IL44Cr	70	23	7	-9.9	-9.9	-9.9
297	IL45A	75	18	7	-9.9	-9.9	-9.9
298	IL45B	80	15	5	-9.9	-9.9	-9.9
299	IL45R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
300	IL47A	60	37	3	-9.9	-9.9	-9.9
301	IL47B	60	33	7	-9.9	-9.9	-9.9
302	IL47B2	65	25	10	-9.9	-9.9	-9.9
303	IL47B3	70	25	5	-9.9	-9.9	-9.9
304	IL48A	70	25	5	-9.9	-9.9	-9.9
305	IL48R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
306	IL49A	65	30	5	-9.9	-9.9	-9.9
307	IL49B	65	32	3	-9.9	-9.9	-9.9
308	IL49Bw	65	32	3	-9.9	-9.9	-9.9
309	IL49R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
310	IL410A	60	37	3	-9.9	-9.9	-9.9
311	IL410B	65	32	3	-9.9	-9.9	-9.9
312	IL410C	70	27	3	-9.9	-9.9	-9.9
313	IL410C2	75	22	3	-9.9	-9.9	-9.9
314	M11A	80	13	7	-9.9	-9.9	-9.9
315	M11BA	75	18	7	-9.9	-9.9	-9.9
316	M11B	65	25	10	-9.9	-9.9	-9.9
317	M11B2	70	23	7	-9.9	-9.9	-9.9
318	M12A	70	25	5	-9.9	-9.9	-9.9
319	M12B	70	25	5	-9.9	-9.9	-9.9
320	M12B2	70	25	5	-9.9	-9.9	-9.9
321	M12B3	70	25	5	-9.9	-9.9	-9.9
322	M14A	80	15	5	-9.9	-9.9	-9.9
323	M14B	80	15	5	-9.9	-9.9	-9.9
324	M14B2	75	18	7	-9.9	-9.9	-9.9
325	M14C	80	15	5	-9.9	-9.9	-9.9
326	M15A	60	33	7	-9.9	-9.9	-9.9
327	M15B	65	25	10	-9.9	-9.9	-9.9
328	M15Bt	40	35	25	-9.9	-9.9	-9.9
329	M15Bt2	30	47	23	-9.9	-9.9	-9.9
330	M15R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
331	M16A	70	25	5	-9.9	-9.9	-9.9
332	M16B	75	18	7	-9.9	-9.9	-9.9
333	M16B2	75	18	7	-9.9	-9.9	-9.9
334	M17A	70	25	5	-9.9	-9.9	-9.9
335	M17B	70	25	5	-9.9	-9.9	-9.9
336	M17B2	70	25	5	-9.9	-9.9	-9.9
337	M17B3	60	30	10	-9.9	-9.9	-9.9
338	M18A	75	18	7	-9.9	-9.9	-9.9
339	M18Bw	70	23	7	-9.9	-9.9	-9.9
340	M18AB	70	20	10	-9.9	-9.9	-9.9
341	M18C	75	20	5	-9.9	-9.9	-9.9
342	M110A	70	23	7	-9.9	-9.9	-9.9
343	M110B	70	23	7	-9.9	-9.9	-9.9
344	M110BC	75	20	5	-9.9	-9.9	-9.9
345	M110Ab	60	30	10	-9.9	-9.9	-9.9
346	M21A	70	15	15	-9.9	-9.9	-9.9
347	M21B	65	20	15	-9.9	-9.9	-9.9
348	M21B2	70	20	10	-9.9	-9.9	-9.9
349	M21Cr	65	20	15	-9.9	-9.9	-9.9
350	M23A	80	13	7	-9.9	-9.9	-9.9
351	M23B	80	13	7	-9.9	-9.9	-9.9
352	M23B	80	10	10	-9.9	-9.9	-9.9
353	M23BC	80	13	7	-9.9	-9.9	-9.9
354	M23R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
355	M25A	70	25	5	-9.9	-9.9	-9.9
356	M25AB	75	18	7	-9.9	-9.9	-9.9
357	M25B	70	25	5	-9.9	-9.9	-9.9
358	M25B2	60	35	5	-9.9	-9.9	-9.9
359	M25C	75	18	7	-9.9	-9.9	-9.9
360	M26A	70	25	5	-9.9	-9.9	-9.9
361	M26B	75	20	5	-9.9	-9.9	-9.9
362	M26Ab	70	20	10	-9.9	-9.9	-9.9
363	M26C	80	15	5	-9.9	-9.9	-9.9
364	M26Ab2	45	37	18	-9.9	-9.9	-9.9
365	M27A	60	35	5	-9.9	-9.9	-9.9
366	M27Bw	80	15	5	-9.9	-9.9	-9.9
367	M27Ab	75	18	7	-9.9	-9.9	-9.9
368	M27C	80	15	5	-9.9	-9.9	-9.9
369	M28A	75	20	5	-9.9	-9.9	-9.9
370	M28B	80	17	3	-9.9	-9.9	-9.9
371	M28BC	75	22	3	-9.9	-9.9	-9.9
372	M28Ab	60	33	7	-9.9	-9.9	-9.9
373	M29A	80	15	5	-9.9	-9.9	-9.9
374	M29B	70	23	7	-9.9	-9.9	-9.9
375	M29B2	80	13	7	-9.9	-9.9	-9.9
376	M210A	75	20	5	-9.9	-9.9	-9.9
377	M210B	80	17	3	-9.9	-9.9	-9.9
378	M210B2	75	22	3	-9.9	-9.9	-9.9
379	M210B3	75	22	3	-9.9	-9.9	-9.9
380	M210B4	75	22	3	-9.9	-9.9	-9.9
381	M210B5	70	25	5	-9.9	-9.9	-9.9
382	M31A	55	40	5	-9.9	-9.9	-9.9
383	M31B	60	35	5	-9.9	-9.9	-9.9
384	M31B2	75	22	3	-9.9	-9.9	-9.9
385	M31B3	70	25	5	-9.9	-9.9	-9.9
386	M31B4	75	22	3	-9.9	-9.9	-9.9
387	M32A	60	33	7	-9.9	-9.9	-9.9
388	M32B	65	28	7	-9.9	-9.9	-9.9
389	M32B2	70	23	7	-9.9	-9.9	-9.9
390	M32C	80	15	5	-9.9	-9.9	-9.9
391	M33A	65	30	5	-9.9	-9.9	-9.9
392	M33B	65	30	5	-9.9	-9.9	-9.9
393	M33Bw	70	25	5	-9.9	-9.9	-9.9
394	M33C	75	20	5	-9.9	-9.9	-9.9
395	M35A	55	33	12	-9.9	-9.9	-9.9
396	M35B	50	45	5	-9.9	-9.9	-9.9
397	M35C	75	22	3	-9.9	-9.9	-9.9
398	M35C2	70	27	3	-9.9	-9.9	-9.9
399	M37A	85	10	5	-9.9	-9.9	-9.9
400	M37Bw	70	25	5	-9.9	-9.9	-9.9
401	M37B	75	20	5	-9.9	-9.9	-9.9
402	M37Ab	80	15	5	-9.9	-9.9	-9.9
403	M38A	55	38	7	-9.9	-9.9	-9.9
404	M38B	60	35	5	-9.9	-9.9	-9.9
405	M38B2	70	20	10	-9.9	-9.9	-9.9
406	M38B3	60	30	10	-9.9	-9.9	-9.9
407	M38B4	55	30	15	-9.9	-9.9	-9.9
408	M38B5	65	25	10	-9.9	-9.9	-9.9
409	M42A	60	37	3	-9.9	-9.9	-9.9
410	M42B	65	32	3	-9.9	-9.9	-9.9
411	M42B2	70	25	5	-9.9	-9.9	-9.9
412	M42C	70	27	3	-9.9	-9.9	-9.9
413	M42Ab	65	30	5	-9.9	-9.9	-9.9
414	M42C2	70	27	3	-9.9	-9.9	-9.9
415	M42Ab2	50	45	5	-9.9	-9.9	-9.9
416	M43A	70	25	5	-9.9	-9.9	-9.9
417	M43B	70	25	5	-9.9	-9.9	-9.9
418	M43B2	70	23	7	-9.9	-9.9	-9.9
419	M43B3	70	25	5	-9.9	-9.9	-9.9
420	M43Bk	50	30	20	-9.9	-9.9	-9.9
421	M43Btk	40	37	23	-9.9	-9.9	-9.9
422	M44A	65	30	5	-9.9	-9.9	-9.9
423	M44B	60	35	5	-9.9	-9.9	-9.9
424	M44CB	75	22	3	-9.9	-9.9	-9.9
425	M44C	80	17	3	-9.9	-9.9	-9.9
426	M45A	75	15	10	-9.9	-9.9	-9.9
427	M45B	80	15	5	-9.9	-9.9	-9.9
428	M45C	75	18	7	-9.9	-9.9	-9.9
429	M46A	70	27	3	-9.9	-9.9	-9.9
430	M46B	65	32	3	-9.9	-9.9	-9.9
431	M46Bt	60	20	20	-9.9	-9.9	-9.9
432	M46CB	65	17	18	-9.9	-9.9	-9.9
433	M46R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
434	M47A	50	45	5	-9.9	-9.9	-9.9
435	M47B	55	40	5	-9.9	-9.9	-9.9
436	M47C	55	30	15	-9.9	-9.9	-9.9
437	M47Cr	75	22	3	-9.9	-9.9	-9.9
438	M47R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
439	M49Ap	45	30	25	-9.9	-9.9	-9.9
440	M49Ap	45	30	25	-9.9	-9.9	-9.9
441	M49B	50	32	18	-9.9	-9.9	-9.9
442	M49Cr	55	38	7	-9.9	-9.9	-9.9
443	M49R	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
