Code	Comment	Sand	Silt	Clay	Bulkdensity	Theta33	Theta1500
Id	pedon_horizon	%	%	%	gr/cm3	cm3/cm3	cm3/cm3
127	CLHS30PBw1	90	5	5	-9.9	-9.9	-9.9
128	CLHS30PBw2	90	5	5	-9.9	-9.9	-9.9
129	CLHS30PBw3	90	7	3	-9.9	-9.9	-9.9
130	CLHS31PA	75	17	8	-9.9	-9.9	-9.9
131	CLHS31PC	80	12	8	-9.9	-9.9	-9.9
132	CLHS31PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
133	CLHS32PA	75	17	8	-9.9	-9.9	-9.9
134	CLHS32PBw1	70	15	15	-9.9	-9.9	-9.9
135	CLHS32PBw2	90	6	4	-9.9	-9.9	-9.9
136	CLHS32PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
137	CLHS33PA	85	9	6	-9.9	-9.9	-9.9
138	CLHS33PBw1	75	15	10	-9.9	-9.9	-9.9
139	CLHS33PBw2	80	13	7	-9.9	-9.9	-9.9
140	CLHS33PBw3	80	13	7	-9.9	-9.9	-9.9
141	CLHS33PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
142	CLHS34PA	80	15	5	-9.9	-9.9	-9.9
143	CLHS34PBw	85	10	5	-9.9	-9.9	-9.9
144	CLHS34PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
145	CLHS35PA	85	11	4	-9.9	-9.9	-9.9
146	CLHS35PBk1	85	9	6	-9.9	-9.9	-9.9
147	CLHS35PC	85	5	10	-9.9	-9.9	-9.9
148	CLHS35PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
149	CLHS36PA	80	15	5	-9.9	-9.9	-9.9
150	CLHS36PBk1	85	8	7	-9.9	-9.9	-9.9
151	CLHS36PBk2	85	10	5	-9.9	-9.9	-9.9
152	CLHS36PBk3	80	12	8	-9.9	-9.9	-9.9
153	CLHS37PA	85	11	4	-9.9	-9.9	-9.9
154	CLHS37PC	85	11	4	-9.9	-9.9	-9.9
155	CLHS37PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
156	CLHS38PA	72	17	11	-9.9	-9.9	-9.9
157	CLHS38PAB	75	17	8	-9.9	-9.9	-9.9
158	CLHS38PBk	77	14	9	-9.9	-9.9	-9.9
159	CLHS38PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
160	CLHS39PA	80	14	6	-9.9	-9.9	-9.9
161	CLHS39PBw	85	5	10	-9.9	-9.9	-9.9
162	CLHS39PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
163	CLHS40PA	72	16	12	-9.9	-9.9	-9.9
164	CLHS40PBA	67	18	15	-9.9	-9.9	-9.9
165	CLHS40PBk	74	16	10	-9.9	-9.9	-9.9
166	CLHS40PBkk	80	10	10	-9.9	-9.9	-9.9
167	CLHS40PCr	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
168	CLHS41PA	85	10	5	-9.9	-9.9	-9.9
169	CLHS41PBw1	80	12	8	-9.9	-9.9	-9.9
170	CLHS41PBw2	75	15	10	-9.9	-9.9	-9.9
171	CLHS41PBk	75	15	10	-9.9	-9.9	-9.9
172	CLHS42PA	77	14	9	-9.9	-9.9	-9.9
173	CLHS42PABk	70	17	13	-9.9	-9.9	-9.9
174	CLHS42PCr	85	9	6	-9.9	-9.9	-9.9
175	CLHS43PA	70	18	12	-9.9	-9.9	-9.9
176	CLHS43PBt	56	25	19	-9.9	-9.9	-9.9
177	CLHS43PBk	60	21	19	-9.9	-9.9	-9.9
178	CLHS43PBkk	67	17	16	-9.9	-9.9	-9.9
179	CLHS43PBkC	76	15	9	-9.9	-9.9	-9.9
180	CLHS44PA	80	15	5	-9.9	-9.9	-9.9
181	CLHS44PBw	85	6	9	-9.9	-9.9	-9.9
182	CLHS44PBk	85	8	7	-9.9	-9.9	-9.9
183	CLHS44PC	85	11	4	-9.9	-9.9	-9.9
184	CLHS45PA	85	11	4	-9.9	-9.9	-9.9
185	CLHS45PBw1	90	6	4	-9.9	-9.9	-9.9
186	CLHS45PBw2	95	2	3	-9.9	-9.9	-9.9
187	CLHS45PBw3	90	6	4	-9.9	-9.9	-9.9
188	CLHS46PA	75	19	6	-9.9	-9.9	-9.9
189	CLHS46PBk1	85	10	5	-9.9	-9.9	-9.9
190	CLHS46PBk2	85	11	4	-9.9	-9.9	-9.9
191	CLHS46PC1	90	6	4	-9.9	-9.9	-9.9
192	CLHS46PC2	97	0	3	-9.9	-9.9	-9.9
193	CLHS46PC3	97	0	3	-9.9	-9.9	-9.9
194	CLHS47PA	75	18	7	-9.9	-9.9	-9.9
195	CLHS47PBw1	75	17	8	-9.9	-9.9	-9.9
196	CLHS47PBw2	75	17	8	-9.9	-9.9	-9.9
197	CLHS47PBw3	75	14	11	-9.9	-9.9	-9.9
198	CLHS47PBw4	70	15	15	-9.9	-9.9	-9.9
199	CLHS47PBw5	80	14	6	-9.9	-9.9	-9.9
200	CLHS48PA	75	21	4	-9.9	-9.9	-9.9
201	CLHS48PBw1	80	11	9	-9.9	-9.9	-9.9
202	CLHS48PBw2	85	8	7	-9.9	-9.9	-9.9
203	CLHS48PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
204	CLHS49PA	85	9	6	-9.9	-9.9	-9.9
205	CLHS49PBk1	80	15	5	-9.9	-9.9	-9.9
206	CLHS49PBk2	78	14	8	-9.9	-9.9	-9.9
207	CLHS49PBw	90	5	5	-9.9	-9.9	-9.9
208	CLHS50PA	85	8	7	-9.9	-9.9	-9.9
209	CLHS50PBw	85	5	10	-9.9	-9.9	-9.9
210	CLHS50PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
211	CLHS57PA	74	16	10	-9.9	-9.9	-9.9
212	CLHS57PAb	72	16	12	-9.9	-9.9	-9.9
213	CLHS57PBkk	75	16	9	-9.9	-9.9	-9.9
214	CLHS57PBk1	74	16	10	-9.9	-9.9	-9.9
215	CLHS57PBk2	74	16	10	-9.9	-9.9	-9.9
216	CLHS57PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
217	CLHS59PA	76	12	12	-9.9	-9.9	-9.9
218	CLHS59PBA	80	10	10	-9.9	-9.9	-9.9
219	CLHS59PBk	80	10	10	-9.9	-9.9	-9.9
220	CLHS59PBk	82	10	8	-9.9	-9.9	-9.9
221	CLHS60PA	74	17	9	-9.9	-9.9	-9.9
222	CLHS60PAB	72	19	9	-9.9	-9.9	-9.9
223	CLHS60PBk	75	17	8	-9.9	-9.9	-9.9
224	CLHS60PBtk	55	26	19	-9.9	-9.9	-9.9
225	CLHS61PA	75	17	8	-9.9	-9.9	-9.9
226	CLHS61PAB	73	17	10	-9.9	-9.9	-9.9
227	CLHS61PBk1	73	17	10	-9.9	-9.9	-9.9
228	CLHS61PBk2	74	17	9	-9.9	-9.9	-9.9
229	CLHS61PBk2	75	17	8	-9.9	-9.9	-9.9
230	CLHS67PA	73	17	10	-9.9	-9.9	-9.9
231	CLHS67PAB	70	18	12	-9.9	-9.9	-9.9
232	CLHS67PBA	72	18	10	-9.9	-9.9	-9.9
233	CLHS67PBk	76	15	9	-9.9	-9.9	-9.9
234	CLHS67PBw	78	16	6	-9.9	-9.9	-9.9
235	CLHS67PCr	74	16	10	-9.9	-9.9	-9.9
236	CLHS67PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
237	CLHS68PA	75	16	9	-9.9	-9.9	-9.9
238	CLHS68PBA	77	15	8	-9.9	-9.9	-9.9
239	CLHS68PBw	84	12	4	-9.9	-9.9	-9.9
240	CLHS73PA	74	15	11	-9.9	-9.9	-9.9
241	CLHS73PAB	68	19	13	-9.9	-9.9	-9.9
242	CLHS73PNA	73	16	11	-9.9	-9.9	-9.9
243	CLHS73PB	74	16	10	-9.9	-9.9	-9.9
244	CLHS73PCr	79	14	7	-9.9	-9.9	-9.9
245	CLHS77PA	75	16	9	-9.9	-9.9	-9.9
246	CLHS77PAB	72	16	12	-9.9	-9.9	-9.9
247	CLHS77PB	72	13	15	-9.9	-9.9	-9.9
248	CLHS77PBkk	75	12	13	-9.9	-9.9	-9.9
249	CLHS77PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
250	CLHS80PNA	76	14	10	-9.9	-9.9	-9.9
251	CLHS80PNA	75	14	11	-9.9	-9.9	-9.9
252	CLHS80PNA	73	14	13	-9.9	-9.9	-9.9
253	CLHS80PNA	72	14	14	-9.9	-9.9	-9.9
254	CLHS80PNA	70	18	12	-9.9	-9.9	-9.9
255	CLHS80PNA	75	16	9	-9.9	-9.9	-9.9
256	CLHS82PA	80	11	9	-9.9	-9.9	-9.9
257	CLHS82PBk	80	12	8	-9.9	-9.9	-9.9
258	CLHS82PCr	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
259	CLHS85PNA	76	14	10	-9.9	-9.9	-9.9
260	CLHS85PNA	73	15	12	-9.9	-9.9	-9.9
261	CLHS85PNA	75	15	10	-9.9	-9.9	-9.9
262	CLHS85PNA	75	15	10	-9.9	-9.9	-9.9
263	CLHS85PNA	76	15	9	-9.9	-9.9	-9.9
264	CLHS85PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
265	CLHS90PA	80	15	5	-9.9	-9.9	-9.9
266	CLHS90PBw	85	10	5	-9.9	-9.9	-9.9
267	CLHS90PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
268	CLHS97PA	80	11	9	-9.9	-9.9	-9.9
269	CLHS97PBwA	78	12	10	-9.9	-9.9	-9.9
270	CLHS97PBk	75	15	10	-9.9	-9.9	-9.9
271	CLHS97PBk	77	14	9	-9.9	-9.9	-9.9
272	CLHS97PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
273	CLHS98PA	74	17	9	-9.9	-9.9	-9.9
274	CLHS98PABtABw	64	19	17	-9.9	-9.9	-9.9
275	CLHS98PBk	68	17	15	-9.9	-9.9	-9.9
276	CLHS98PBk	70	17	13	-9.9	-9.9	-9.9
277	CLHS98PBCk	75	16	9	-9.9	-9.9	-9.9
278	CLHS100PNA	76	15	9	-9.9	-9.9	-9.9
279	CLHS100PNA	70	20	10	-9.9	-9.9	-9.9
280	CLHS100PNA	70	18	12	-9.9	-9.9	-9.9
281	CLHS100PNA	76	9	15	-9.9	-9.9	-9.9
282	Miller12PA	85	7	8	-9.9	-9.9	-9.9
283	Miller12PBw	75	16	9	-9.9	-9.9	-9.9
284	Miller12PBk1	77	14	9	-9.9	-9.9	-9.9
285	Miller12PBk2	85	8	7	-9.9	-9.9	-9.9
286	Miller12PBk3	75	16	9	-9.9	-9.9	-9.9
287	Miller15PA	76	16	8	-9.9	-9.9	-9.9
288	Miller15PNA	75	16	9	-9.9	-9.9	-9.9
289	Miller15PBk	70	18	12	-9.9	-9.9	-9.9
290	Miller16PA	85	10	5	-9.9	-9.9	-9.9
291	Miller16PBk1	75	15	10	-9.9	-9.9	-9.9
292	Miller16PBk2	80	12	8	-9.9	-9.9	-9.9
293	Miller16PBk3	70	18	12	-9.9	-9.9	-9.9
294	Miller16PBk4	75	15	10	-9.9	-9.9	-9.9
295	Miller16PBk5	80	14	6	-9.9	-9.9	-9.9
296	Miller17PA	76	16	8	-9.9	-9.9	-9.9
297	Miller17PBk	76	16	8	-9.9	-9.9	-9.9
298	Miller17PBk	65	23	12	-9.9	-9.9	-9.9
299	Miller19PA	75	16	9	-9.9	-9.9	-9.9
300	Miller19PAB	75	15	10	-9.9	-9.9	-9.9
301	Miller19PBk	75	16	9	-9.9	-9.9	-9.9
302	Miller19PBkk	82	11	7	-9.9	-9.9	-9.9
303	Miller19PCr	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
304	Miller28PA	76	16	8	-9.9	-9.9	-9.9
305	Miller28PBA	72	17	11	-9.9	-9.9	-9.9
306	Miller28PBk	72	16	12	-9.9	-9.9	-9.9
307	Miller28PBk	70	18	12	-9.9	-9.9	-9.9
308	Miller28PBk	72	17	11	-9.9	-9.9	-9.9
309	Miller30PA	75	16	9	-9.9	-9.9	-9.9
310	Miller30PBA	72	17	11	-9.9	-9.9	-9.9
311	Miller30PBk	70	15	15	-9.9	-9.9	-9.9
312	Miller30PBk	73	14	13	-9.9	-9.9	-9.9
313	Miller47PA	72	16	12	-9.9	-9.9	-9.9
314	Miller47PAB	74	16	10	-9.9	-9.9	-9.9
315	Miller47PBk1	75	14	11	-9.9	-9.9	-9.9
316	Miller47PBk2	70	17	13	-9.9	-9.9	-9.9
317	Miller47PAb	79	12	9	-9.9	-9.9	-9.9
318	BLMTREND11PA	76	16	8	-9.9	-9.9	-9.9
319	BLMTREND11PBa	76	15	9	-9.9	-9.9	-9.9
320	BLMTREND11PBk	76	16	8	-9.9	-9.9	-9.9
321	BLMTREND11PC	80	14	6	-9.9	-9.9	-9.9
322	BLMTREND11PCr	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
323	BLMTREND12PA	80	15	5	-9.9	-9.9	-9.9
324	BLMTREND12PBw	85	11	4	-9.9	-9.9	-9.9
325	BLMTREND12PBk1	85	10	5	-9.9	-9.9	-9.9
326	BLMTREND12PBk2	75	16	9	-9.9	-9.9	-9.9
327	BLMTREND12PBk3	85	10	5	-9.9	-9.9	-9.9
328	BLMTREND14PA	74	16	10	-9.9	-9.9	-9.9
329	BLMTREND14PAB	72	14	14	-9.9	-9.9	-9.9
330	BLMTREND14PBk	70	15	15	-9.9	-9.9	-9.9
331	BLMTREND14PBkk	78	13	9	-9.9	-9.9	-9.9
332	BLMTREND14PCr	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
333	BLMTREND15PA	72	17	11	-9.9	-9.9	-9.9
334	BLMTREND15PAB	65	20	15	-9.9	-9.9	-9.9
335	BLMTREND15PBk	65	18	17	-9.9	-9.9	-9.9
336	BLMTREND15PBk	68	19	13	-9.9	-9.9	-9.9
337	BLMTREND15PR	-9.9	-9.9	-9.9	-9.9	-9.9	-9.9
