"","AMUT","AMUT/D","ARBI3","ARBI3/D","ARFR4","ARNO4","ARNO4/D","ARTR2","ARTR2/D","ATCA2","ATCA2/D","ATCO","ATCO/D","BRMI","CEIN7","CEMO2","CEMO2/D","CHNAA3","CHNAA3/D","CHVI8","CHVI8/D","CRAN4","EPVI","EPVI/D","FRAN2","GUMI","GUSA2","GUSA2/D","JUOS","JUOS/D","KRLA2","KRLA2/D","MAFR3","MAFR3/D","PIED","PIED/D","SAVE4","SHRO","SHRO/D","SYOR","SYOR/D","YUAN2","YUAN2/D","YUBA","YUBA/D"
"38",0,0,0,0,0,0,0,0.144444444444444,0.105555555555556,0.0444444444444444,0,0,0,0,0,0,0,0,0,0.394444444444444,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0.0722222222222222,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0.0333333333333333,0.0111111111111111,0,0,0,0,0,0,0.0111111111111111,0,0
"40",0,0,0,0,0,0,0,0.0444444444444444,0.0777777777777778,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",0,0,0,0,0,0,0,0.0888888888888889,0.3,0.0111111111111111,0,0,0,0,0,0,0,0,0,0.0166666666666667,0,0,0.1,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0.227777777777778,0.216666666666667,0,0,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",0,0,0,0,0,0,0,0.194444444444444,0.216666666666667,0,0,0,0,0,0,0,0,0,0,0.505555555555556,0.188888888888889,0,0,0,0,0,0,0,0.0166666666666667,0,0,0,0,0,0.0222222222222222,0,0,0,0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0,0.0666666666666667,0.155555555555556,0.0388888888888889,0.00555555555555556,0,0,0,0,0,0,0,0,0.25,0,0,0.272222222222222,0,0,0,0,0,0,0,0,0,0,0,0.0222222222222222,0,0,0,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0,0.25,0.183333333333333,0.0166666666666667,0.0111111111111111,0,0,0,0,0,0,0,0,0.177777777777778,0,0,0,0,0,0,0,0,0.0222222222222222,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0
"50",0,0,0,0,0,0,0,0.355555555555556,0.116666666666667,0.0777777777777778,0.0388888888888889,0,0,0,0,0,0,0,0,0.0388888888888889,0,0,0,0,0,0,0,0,0.0444444444444444,0.00555555555555556,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0
"51",0,0,0,0,0,0,0,0.00555555555555556,0.0722222222222222,0.0111111111111111,0,0,0,0,0,0,0,0,0,0.0611111111111111,0,0,0.0111111111111111,0,0,0,0,0,0.0277777777777778,0.00555555555555556,0,0,0.00555555555555556,0,0.0722222222222222,0.0111111111111111,0,0,0,0,0,0,0,0,0
