PRISM Time Series Data
Location:  Lat: 37.9575   Lon: -109.9232   Elev: 1901m
Climate variable: tmin
Monthly 1981-2010 Normals
Grid Cell Interpolation: Off
Time series generated: 2015-Oct-09
Date,tmin (degrees C)
January, -8.3
February, -5.8
March, -2.2
April,  1.1
May,  6.0
June, 10.9
July, 14.7
August, 14.0
September,  9.3
October,  2.8
November, -3.0
December, -7.7
Annual,  2.6
