PRISM Time Series Data
Location:  Lat: 37.9575   Lon: -109.9232   Elev: 1901m
Climate variable: tmax
Monthly 1981-2010 Normals
Grid Cell Interpolation: Off
Time series generated: 2015-Oct-09
Date,tmax (degrees C)
January,  4.6
February,  7.1
March, 12.0
April, 16.7
May, 22.6
June, 28.5
July, 31.8
August, 30.2
September, 25.6
October, 18.3
November, 10.3
December,  4.6
Annual, 17.7
