"","ACHY","ACHY/D","AF01","AMHI","AMID","AMSIN","AMUT","AMUT/DP","ARNO4","ARPU9","ARPU9/D","ARTR2","ARTR2/D","ARTR2/DP","ATCA2","ATCA2/D","ATCA2/DP","BAMU","BOGR","BOGR/D","BOGR2","BOGR2/D","BRTE","BRTE/D","CEIN7","CEIN7/D","CEMO2","CETE5","CHDE2","CHNAA3","CHVI/D","CHVI/DP","CHVI8","CHVI8/D","CHVI8/DP","CLLU2","CLLU2/D","CRAN4","CRFL5","DEPI","DEPI/D","ECCO5/D","ECCOC","ECCOC/D","ELEL","ELEL5","EPVI","ERAB3","ERCI6","ERMI4","FRAN2","GRFA","GUMI","GUSA","GUSA/D","GUSA/DP","GUSA2","GUSA2/D","HECO26","HECO26/D","HECO26/DP","HIJA","HYACA2","HYFI/D","JUOS","JUOS/D","JUOS/DP","KRLA2","KRLA2/D","KRLA2/DP","LAAC3","LAOC3","LEMO2","MAFR3","MAFR3/DP","MAGR2","OECA10","OENOT","OPPO","OPPO/D","OPPO/DP","PEPU7","PEPU9","PHAU3","PHAU3/D","PHAUA3","PIED","PIED/D","PIED/DP","PLPA2","PSSP","SALS0","SALS0/D","SHRO","SHRO/DP","SPCO","SPCO/D","SPCO4","SPCR","SPCR/D","STUPID","SYOR","SYOR2","SYOR2/D","UNKCLOVER","UNKF10","UNKF11","UNKF14","UNKF2A","UNKF9","UNKFG","UNKSPR","YUAN2/D","YUBA","YUBA/D","YUBA/DP"
"IL4_4",0,0,0,0,0,0,0,0,0,0,0,0,0.0373134328358209,0,0.0149253731343284,0,0,0,0.41044776119403,0.0671641791044776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149253731343284,0,0,0,0.00746268656716418,0,0,0,0,0,0,0.0522388059701493,0.0373134328358209,0,0,0,0.208955223880597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00746268656716418,0.00746268656716418,0,0,0,0,0,0,0.0746268656716418,0,0,0,0,0,0,0,0,0,0,0,0.0522388059701493,0,0,0,0,0,0,0,0,0,0,0.00746268656716418,0,0,0,0,0,0
"IL4_5",0.0104712041884817,0,0,0,0,0,0,0,0,0,0,0.00523560209424084,0.0209424083769634,0,0.0209424083769634,0,0,0,0.382198952879581,0.0261780104712042,0,0,0,0,0,0,0,0,0,0,0,0,0.0157068062827225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031413612565445,0.00523560209424084,0,0,0,0.382198952879581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00523560209424084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0942408376963351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL4_7",0.0251256281407035,0,0,0,0,0,0,0,0,0,0,0,0.085427135678392,0,0.0351758793969849,0,0,0,0.417085427135678,0.0201005025125628,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0050251256281407,0.0050251256281407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251256281407035,0.0100502512562814,0,0,0,0.21608040201005,0.0100502512562814,0,0.105527638190955,0,0,0,0,0,0,0,0,0,0,0.0050251256281407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351758793969849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL4_8",0,0,0,0,0,0,0,0,0,0,0,0.0238095238095238,0.0119047619047619,0,0,0,0,0.0119047619047619,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238095238095238,0,0,0,0,0,0,0,0,0,0,0.30952380952381,0.0119047619047619,0,0,0,0,0,0,0.0119047619047619,0,0,0,0,0,0,0,0,0,0.0119047619047619,0,0,0,0.404761904761905,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119047619047619,0,0,0,0,0.0119047619047619,0,0,0
"IL4_9",0.014218009478673,0,0,0,0,0,0,0,0,0,0,0.004739336492891,0.037914691943128,0,0.018957345971564,0,0,0,0.265402843601896,0.00947867298578199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014218009478673,0,0,0,0,0.511848341232227,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004739336492891,0,0,0,0,0,0,0,0.004739336492891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113744075829384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1_1",0,0,0,0,0,0.0340136054421769,0,0,0,0,0,0,0.0136054421768707,0,0.136054421768707,0,0.00680272108843537,0,0.0136054421768707,0,0,0,0.0476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136054421768707,0,0,0.0136054421768707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340136054421769,0,0,0,0.129251700680272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272108843537415,0,0,0,0,0,0,0,0,0.442176870748299,0.0884353741496599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1_10",0,0,0,0,0.0111731843575419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223463687150838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00558659217877095,0,0,0,0.0391061452513966,0,0,0.0111731843575419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0726256983240224,0,0,0,0,0,0,0.0558659217877095,0,0.0223463687150838,0,0,0,0,0,0,0,0,0.0167597765363128,0,0,0,0,0,0,0,0,0.737430167597765,0,0,0,0,0,0,0,0,0,0,0,0,0.00558659217877095,0,0,0,0
"M1_2",0.0175438596491228,0,0,0,0,0.0116959064327485,0,0,0,0,0,0.0292397660818713,0.064327485380117,0.0116959064327485,0,0,0,0,0.0350877192982456,0.0116959064327485,0,0,0,0,0,0,0,0,0,0,0,0,0.0116959064327485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233918128654971,0,0,0.0116959064327485,0,0,0,0,0,0,0.105263157894737,0,0,0,0,0,0,0,0,0.0584795321637427,0,0.00584795321637427,0,0.16374269005848,0,0,0,0,0.00584795321637427,0,0.00584795321637427,0,0,0,0,0,0,0,0,0,0,0.0116959064327485,0,0,0,0,0,0,0,0,0.345029239766082,0.0701754385964912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1_4",0,0,0,0,0,0.0858895705521472,0,0,0,0,0,0.00613496932515337,0.0245398773006135,0,0,0,0,0,0.0674846625766871,0.0368098159509202,0,0,0.00613496932515337,0,0,0,0,0,0,0,0,0,0,0,0,0.0122699386503067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184049079754601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122699386503067,0,0,0,0.196319018404908,0,0,0,0,0.00613496932515337,0,0.0368098159509202,0,0,0,0,0,0,0,0,0,0,0.0184049079754601,0,0,0,0,0,0,0,0,0.319018404907975,0.141104294478528,0,0,0,0,0,0,0,0,0,0,0.0122699386503067,0,0,0,0,0
"M1_5",0.015,0,0,0,0,0.005,0,0,0,0,0,0.015,0.08,0,0.025,0,0,0,0.335,0.025,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0.395,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0
"M1_6",0,0,0,0,0,0.0342857142857143,0,0,0,0,0,0,0,0,0.142857142857143,0.0114285714285714,0,0,0.257142857142857,0.0114285714285714,0,0,0.0285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00571428571428571,0,0,0,0.0628571428571429,0,0,0,0,0,0,0.0457142857142857,0,0.0114285714285714,0,0,0,0,0,0,0,0,0.0114285714285714,0,0,0,0,0,0,0,0,0.308571428571429,0.0514285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
