Plot,Line,SpeciesCode,ClassAtotal,ClassBtotal,ClassCtotal,ClassDtotal,ClassEtotal,ClassTotal,,Plot,Line,Indicator,Any Hit N
54,1,ARTR2/D,0,0,0,0,0,0,,52,3,ARTR2/D,5
54,3,ARTR2/D,0,2,0,0,0,2,,52,5,ARTR2/D,3
54,5,ARTR2/D,0,2,0,0,0,2,,54,1,ARTR2/D,0
55,1,ARTR2/D,0,1,1,1,0,3,,54,3,ARTR2/D,0
55,2,ARTR2/D,0,0,0,0,0,0,,54,5,ARTR2/D,0
55,3,ARTR2/D,0,1,7,0,0,8,,55,1,ARTR2/D,2
56,1,ARTR2/D,0,0,1,0,0,1,,55,2,ARTR2/D,1
56,2,ARTR2/D,1,0,0,0,0,1,,55,3,ARTR2/D,0
56,3,ARTR2/D,0,3,2,0,0,5,,56,1,ARTR2/D,1
57,1,ARTR2/D,0,3,8,4,0,15,,56,2,ARTR2/D,0
57,2,ARTR2/D,0,1,11,1,0,13,,56,3,ARTR2/D,1
57,3,ARTR2/D,0,3,16,3,0,22,,57,1,ARTR2/D,5
58,1,ARTR2/D,0,4,13,6,0,23,,57,2,ARTR2/D,4
58,3,ARTR2/D,0,9,12,1,0,22,,57,3,ARTR2/D,5
58,5,ARTR2/D,0,5,17,3,0,25,,58,1,ARTR2/D,1
59,1,ARTR2/D,0,1,4,0,0,5,,58,3,ARTR2/D,4
59,2,ARTR2/D,0,1,1,0,0,2,,58,5,ARTR2/D,6
59,3,ARTR2/D,0,2,1,0,0,3,,59,1,ARTR2/D,3
60,1,ARTR2/D,0,1,6,0,0,7,,59,2,ARTR2/D,2
60,2,ARTR2/D,0,0,4,1,0,5,,59,3,ARTR2/D,1
60,3,ARTR2/D,0,0,4,5,0,9,,60,1,ARTR2/D,0
61,1,ARTR2/D,0,1,5,0,0,6,,60,2,ARTR2/D,5
61,2,ARTR2/D,0,1,0,0,0,1,,60,3,ARTR2/D,8
61,3,ARTR2/D,0,0,0,0,0,0,,61,1,ARTR2/D,0
63,1,ARTR2/D,0,0,0,0,0,0,,61,2,ARTR2/D,0
63,2,ARTR2/D,0,0,0,0,0,0,,61,3,ARTR2/D,0
63,3,ARTR2/D,0,0,0,0,0,0,,63,1,ARTR2/D,0
64,1,ARTR2/D,0,1,0,0,0,1,,63,2,ARTR2/D,0
64,3,ARTR2/D,0,0,0,0,0,0,,63,3,ARTR2/D,0
64,5,ARTR2/D,0,2,0,0,0,2,,64,1,ARTR2/D,0
65,1,ARTR2/D,0,1,1,0,0,2,,64,3,ARTR2/D,0
65,2,ARTR2/D,0,0,5,1,0,6,,64,5,ARTR2/D,0
65,3,ARTR2/D,0,3,7,1,0,11,,65,1,ARTR2/D,0
66,1,ARTR2/D,0,0,0,0,0,0,,65,2,ARTR2/D,1
66,3,ARTR2/D,0,0,0,0,0,0,,65,3,ARTR2/D,1
66,5,ARTR2/D,0,0,0,0,0,0,,66,1,ARTR2/D,0
67,1,ARTR2/D,0,0,2,0,0,2,,66,3,ARTR2/D,0
67,3,ARTR2/D,0,0,1,0,0,1,,66,5,ARTR2/D,0
67,5,ARTR2/D,0,0,0,0,0,0,,67,1,ARTR2/D,0
68,1,ARTR2/D,0,0,3,1,0,4,,67,3,ARTR2/D,0
68,2,ARTR2/D,0,0,1,0,0,1,,67,5,ARTR2/D,0
68,3,ARTR2/D,0,1,1,0,0,2,,68,1,ARTR2/D,2
69,1,ARTR2/D,0,0,0,0,0,0,,68,2,ARTR2/D,1
69,2,ARTR2/D,0,0,0,0,0,0,,68,3,ARTR2/D,0
69,3,ARTR2/D,0,0,0,0,0,0,,69,1,ARTR2/D,0
70,1,ARTR2/D,0,0,1,0,0,1,,69,2,ARTR2/D,0
70,2,ARTR2/D,0,0,0,0,0,0,,69,3,ARTR2/D,0
70,3,ARTR2/D,0,2,2,0,0,4,,70,1,ARTR2/D,2
73,1,ARTR2/D,0,2,4,1,0,7,,70,2,ARTR2/D,0
73,3,ARTR2/D,0,9,10,0,0,19,,70,3,ARTR2/D,1
73,5,ARTR2/D,0,5,16,0,0,21,,73,1,ARTR2/D,3
76,1,ARTR2/D,0,1,7,1,0,9,,73,3,ARTR2/D,2
76,2,ARTR2/D,0,2,7,0,0,9,,73,5,ARTR2/D,1
76,3,ARTR2/D,0,0,6,0,0,6,,76,1,ARTR2/D,4
77,1,ARTR2/D,0,2,4,0,0,6,,76,2,ARTR2/D,0
77,3,ARTR2/D,0,1,13,0,0,14,,76,3,ARTR2/D,1
77,5,ARTR2/D,0,0,2,0,0,2,,77,1,ARTR2/D,0
79,1,ARTR2/D,0,0,0,0,0,0,,77,3,ARTR2/D,0
79,2,ARTR2/D,0,3,4,0,0,7,,77,5,ARTR2/D,0
79,3,ARTR2/D,0,4,3,0,0,7,,79,1,ARTR2/D,0
80,1,ARTR2/D,0,5,9,2,0,16,,79,2,ARTR2/D,0
80,2,ARTR2/D,0,5,11,2,0,18,,79,3,ARTR2/D,1
80,3,ARTR2/D,2,4,14,1,0,21,,80,1,ARTR2/D,2
82,1,ARTR2/D,0,5,12,3,0,20,,80,2,ARTR2/D,1
82,2,ARTR2/D,0,3,7,3,0,13,,80,3,ARTR2/D,3
82,3,ARTR2/D,0,2,5,1,0,8,,82,1,ARTR2/D,2
83,1,ARTR2/D,0,3,14,0,0,17,,82,2,ARTR2/D,2
83,2,ARTR2/D,0,3,9,1,0,13,,82,3,ARTR2/D,2
83,3,ARTR2/D,0,5,10,2,0,17,,83,1,ARTR2/D,4
86,1,ARTR2/D,0,4,13,1,0,18,,83,2,ARTR2/D,1
86,2,ARTR2/D,0,5,11,2,0,18,,83,3,ARTR2/D,0
86,3,ARTR2/D,0,5,17,0,0,22,,86,1,ARTR2/D,1
88,1,ARTR2/D,0,0,3,0,0,3,,86,2,ARTR2/D,4
88,2,ARTR2/D,0,0,1,0,0,1,,86,3,ARTR2/D,4
88,3,ARTR2/D,0,0,0,0,0,0,,88,1,ARTR2/D,0
89,1,ARTR2/D,0,2,0,0,0,2,,88,2,ARTR2/D,0
89,2,ARTR2/D,0,0,3,0,0,3,,88,3,ARTR2/D,0
89,3,ARTR2/D,0,0,0,0,0,0,,89,1,ARTR2/D,1
90,1,ARTR2/D,0,0,13,0,0,13,,89,2,ARTR2/D,0
90,2,ARTR2/D,0,6,7,0,0,13,,89,3,ARTR2/D,0
90,3,ARTR2/D,0,1,4,0,0,5,,90,1,ARTR2/D,1
91,1,ARTR2/D,0,1,11,0,0,12,,90,2,ARTR2/D,1
91,2,ARTR2/D,0,0,6,0,0,6,,90,3,ARTR2/D,1
91,3,ARTR2/D,0,1,0,1,0,2,,91,1,ARTR2/D,2
92,1,ARTR2/D,0,5,2,2,0,9,,91,2,ARTR2/D,2
92,2,ARTR2/D,0,2,2,0,0,4,,91,3,ARTR2/D,0
92,3,ARTR2/D,0,6,7,0,0,13,,92,1,ARTR2/D,0
93,1,ARTR2/D,0,0,0,0,0,0,,92,2,ARTR2/D,4
93,2,ARTR2/D,0,0,2,0,0,2,,92,3,ARTR2/D,1
93,3,ARTR2/D,0,0,0,0,0,0,,93,1,ARTR2/D,0
94,1,ARTR2/D,0,1,1,0,0,2,,93,2,ARTR2/D,1
94,2,ARTR2/D,0,0,3,1,0,4,,93,3,ARTR2/D,0
94,3,ARTR2/D,0,0,2,0,0,2,,94,1,ARTR2/D,0
95,1,ARTR2/D,0,0,0,0,0,0,,94,2,ARTR2/D,0
95,2,ARTR2/D,0,4,3,0,0,7,,94,3,ARTR2/D,0
