"","A","B","C","D","E"
"10",0,0.0277777777777778,0.122222222222222,0.00555555555555556,0
"11",0,0.0277777777777778,0.0555555555555556,0.00555555555555556,0
"12",0,0,0,0,0
"14",0,0,0,0,0
"15",0,0,0,0,0
"16",0,0.00555555555555556,0.0611111111111111,0,0
"17",0,0,0.00555555555555556,0,0
"18",0,0.00555555555555556,0.00555555555555556,0,0
"19",0,0.0388888888888889,0.0666666666666667,0.0222222222222222,0
"2",0,0.0277777777777778,0.0722222222222222,0.0222222222222222,0
"20",0,0,0,0,0
"21",0,0.0888888888888889,0.1,0,0
"23",0,0.00555555555555556,0.0222222222222222,0,0
"24",0,0.0777777777777778,0.127777777777778,0.00555555555555556,0
"32",0,0.0111111111111111,0.0444444444444444,0.0111111111111111,0
"33",0,0,0,0,0
"38",0,0.00555555555555556,0.1,0,0
"39",0,0.0166666666666667,0.0166666666666667,0,0
"40",0,0.0277777777777778,0.05,0,0
"42",0,0.0666666666666667,0.222222222222222,0.0111111111111111,0
"43",0,0.0722222222222222,0.133333333333333,0.0111111111111111,0
"44",0,0.0388888888888889,0.155555555555556,0.0222222222222222,0
"47",0,0.0722222222222222,0.0666666666666667,0.0166666666666667,0
"48",0,0.0777777777777778,0.0833333333333333,0.0222222222222222,0
"50",0,0.0222222222222222,0.0722222222222222,0.0222222222222222,0
"51",0,0.0166666666666667,0.0555555555555556,0,0
"52",0,0.0777777777777778,0.383333333333333,0.0333333333333333,0
"54",0,0.0222222222222222,0,0,0
"55",0,0.0111111111111111,0.0444444444444444,0.00555555555555556,0
"56",0.00555555555555556,0.0166666666666667,0.0166666666666667,0,0
"57",0,0.0388888888888889,0.194444444444444,0.0444444444444444,0
"58",0,0.1,0.233333333333333,0.0555555555555556,0
"59",0,0.0222222222222222,0.0333333333333333,0,0
"60",0,0.00555555555555556,0.0777777777777778,0.0333333333333333,0
"61",0,0.0111111111111111,0.0277777777777778,0,0
"63",0,0,0,0,0
"64",0,0.0166666666666667,0,0,0
"65",0,0.0222222222222222,0.0722222222222222,0.0111111111111111,0
"66",0,0,0,0,0
"67",0,0,0.0166666666666667,0,0
"68",0,0.00555555555555556,0.0277777777777778,0.00555555555555556,0
"69",0,0,0,0,0
"70",0,0.0111111111111111,0.0166666666666667,0,0
"73",0,0.0888888888888889,0.166666666666667,0.00555555555555556,0
"76",0,0.0166666666666667,0.111111111111111,0.00555555555555556,0
"77",0,0.0166666666666667,0.105555555555556,0,0
"79",0,0.0388888888888889,0.0388888888888889,0,0
"80",0.0111111111111111,0.0777777777777778,0.188888888888889,0.0277777777777778,0
"82",0,0.0555555555555556,0.133333333333333,0.0388888888888889,0
"83",0,0.0611111111111111,0.183333333333333,0.0166666666666667,0
"86",0,0.0777777777777778,0.227777777777778,0.0166666666666667,0
"88",0,0,0.0222222222222222,0,0
"89",0,0.0111111111111111,0.0166666666666667,0,0
"90",0,0.0388888888888889,0.133333333333333,0,0
"91",0,0.0111111111111111,0.0944444444444444,0.00555555555555556,0
"92",0,0.0722222222222222,0.0611111111111111,0.0111111111111111,0
"93",0,0,0.0111111111111111,0,0
"94",0,0.00555555555555556,0.0333333333333333,0.00555555555555556,0
"95",0,0.0388888888888889,0.0611111111111111,0,0
"B1_1",0.0166666666666667,0.05,0.127777777777778,0.0277777777777778,0
"B1_10",0,0.0611111111111111,0.127777777777778,0,0
"B1_2",0,0.0111111111111111,0.0111111111111111,0,0
"B1_3",0,0,0,0,0
"B1_4",0,0,0.00555555555555556,0,0
