"","x"
"1",0
"10",1
"11",1
"12",0
"14",0
"15",0
"16",1
"17",1
"18",1
"19",1
"2",1
"20",0
"21",1
"23",1
"24",1
"32",1
"33",0
"38",1
"39",1
"40",1
"42",1
"43",1
"44",1
"47",1
"48",1
"50",1
"51",1
"52",1
"54",1
"55",1
"56",1
"57",1
"58",1
"59",1
"60",1
"61",1
"63",0
"64",1
"65",1
"66",0
"67",1
"68",1
"69",0
"70",1
"73",1
"76",1
"77",1
"79",1
"80",1
"82",1
"83",1
"86",1
"88",1
"89",1
"90",1
"91",1
"92",1
"93",1
"94",1
"95",1
"B1_1",1
"B1_10",1
"B1_2",1
"B1_3",0
"B1_4",1
"B1_5",1
"B1_6",1
"B1_7",1
"B1_8",1
"B1_9",1
"B2_1",0
"B2_10",1
"B2_2",1
"B2_4",1
"B2_5",1
"B2_6",1
"B2_7",1
"B2_8",1
"B2_9",1
"B3_1",1
"B3_10",1
"B3_2",1
"B3_3",0
"B3_4",1
"B3_5",0
"B3_6",1
"B3_7",1
"B3_8",1
"B3_9",0
"B4_1",1
"B4_10",1
"B4_2",1
"B4_3",1
"B4_4",1
"B4_6",1
"B4_7",1
"B4_8",0
"B4_9",1
"IL1_1",1
"IL1_10",1
"IL1_3",0
"IL1_4",1
"IL1_5",1
"IL1_8",1
"IL1_9",1
"IL2_1",1
"IL2_10",1
"IL2_2",0
"IL2_3",1
"IL2_4",1
"IL2_5",0
"IL2_7",1
"IL2_8",1
"IL2_9",1
"IL3_1",1
"IL3_10",1
"IL3_2",1
"IL3_3",1
"IL3_4",1
"IL3_6",1
"IL3_7",1
"IL3_9",1
"IL4_10",1
"IL4_2",1
"IL4_3",1
"IL4_4",1
"IL4_5",1
"IL4_7",1
"IL4_8",1
"IL4_9",1
"M1_1",0
"M1_10",1
"M1_2",1
"M1_4",1
"M1_5",1
"M1_6",0
"M1_7",0
"M1_8",0
"M2_1",1
"M2_10",0
"M2_3",1
"M2_5",0
"M2_6",0
"M2_7",0
"M2_8",1
"M2_9",1
"M3_1",0
"M3_2",1
"M3_3",1
"M3_5",1
"M3_7",1
"M3_8",1
"M4_2",1
"M4_3",1
"M4_4",1
"M4_5",0
"M4_6",1
"M4_7",1
"M4_9",1
