"","AMUT","AMUT/D","ARBI3","ARBI3/D","ARFR4","ARNO4","ARNO4/D","ARTR2","ARTR2/D","ATCA2","ATCA2/D","ATCO","ATCO/D","BRMI","CEIN7","CEMO2","CEMO2/D","CHNAA3","CHNAA3/D","CHVI8","CHVI8/D","CRAN4","EPVI","EPVI/D","FRAN2","GUMI","GUSA2","GUSA2/D","JUOS","JUOS/D","KRLA2","KRLA2/D","MAFR3","MAFR3/D","PIED","PIED/D","SAVE4","SHRO","SHRO/D","SYOR","SYOR/D","YUAN2","YUAN2/D","YUBA","YUBA/D"
"B3_3",0,0,0,0,0,0,0,0,0,1.11111111111111e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B3_4",0,0,0,0,0,0,0,0,1.11111111111111e-06,1.66666666666667e-06,0,0,0,0,0,0,0,0,0,0,0,0,2.61111111111111e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B3_5",0,0,0,0,0,0,0,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55555555555555e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B3_6",0,0,0,0,0,0,0,1.11111111111111e-06,3.66666666666667e-05,0,0,0,0,0,0,0,0,0,0,5.55555555555556e-07,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B3_7",0,0,0,0,0,0,0,3.33333333333333e-06,3e-05,2.22222222222222e-06,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,5.55555555555555e-06,0,0,0,0,0,0,0,0,0,0,0,0,5.55555555555556e-07,0,0,0,0,0,0,0,0,0
"B3_8",0,0,0,0,0,0,0,3.33333333333333e-06,3.33333333333333e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-06,1.66666666666667e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
"B3_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4_1",0,0,0,0,0,0,0,3.33333333333333e-06,1.44444444444444e-05,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,2.22222222222222e-06,0,0,0,0,0,0,0,6.11111111111111e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4_10",0,0,0,0,0,0,0,0,2.33333333333333e-05,5.55555555555556e-07,5.55555555555556e-07,1.66666666666667e-06,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55555555555556e-07,0,2.77777777777778e-06,0,0,0,0,0,0,0,0,0,0,0,0,5.55555555555556e-07,0
"B4_2",0,0,0,0,0,0,0,5e-06,5.55555555555555e-06,7.77777777777778e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11111111111111e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4_3",0,0,0,0,0,0,0,1e-05,2.05555555555556e-05,3.33333333333333e-06,0,0,0,0,0,0,0,0,0,1.11111111111111e-06,0,0,2.22222222222222e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4_4",0,0,0,0,0,0,0,0,1.61111111111111e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77777777777778e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4_6",0,0,0,0,0,0,0,6.66666666666667e-06,1.22222222222222e-05,3.33333333333333e-06,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4_7",0,0,0,0,0,0,0,0,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66666666666667e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4_8",0,0,0,0,0,0,0,0,0,5.55555555555555e-06,1.11111111111111e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4_9",0,0,0,0,0,0,0,2.77777777777778e-06,5.55555555555555e-06,1.11111111111111e-06,0,0,0,0,0,0,0,0,0,0,0,0,3.88888888888889e-06,0,0,0,0,0,1.11111111111111e-06,0,0,0,0,0,1.66666666666667e-06,0,0,0,0,0,0,0,0,1.11111111111111e-06,0
"IL1_1",0,0,0,0,0,0,0,2.72222222222222e-05,1.27777777777778e-05,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,1.66666666666667e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL1_10",0,0,0,0,0,0,0,0,3.33333333333333e-06,4.44444444444444e-06,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27777777777778e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL1_3",0,0,0,0,0,0,0,0,0,1.66666666666667e-06,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL1_4",0,0,0,0,0,0,0,2.61111111111111e-05,1.83333333333333e-05,0,0,0,0,0,0,0,0,0,0,4e-05,1.66666666666667e-06,0,3.33333333333333e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL1_5",0,0,0,0,0,0,0,1.66666666666667e-06,7.77777777777778e-06,0,0,0,0,0,0,0,0,0,0,5.55555555555556e-07,0,0,3.33333333333333e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL1_8",0,0,0,0,0,0,0,1.66666666666667e-06,5.55555555555555e-06,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL1_9",0,0,0,0,0,0,0,1.72222222222222e-05,3.33333333333333e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88888888888889e-06,0,0,0,0,0,0,0,0,0,0
"IL2_1",0,0,0,0,0,0,0,8.33333333333333e-06,9.44444444444444e-06,2.77777777777778e-06,0,0,0,0,0,0,0,0,0,1.11111111111111e-06,0,0,0,0,0,0,0,0,0,0,3.88888888888889e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_10",0,0,0,0,0,0,0,4.44444444444444e-06,3.33333333333333e-05,7.77777777777778e-06,0,0,0,0,0,0,0,0,0,2.16666666666667e-05,0,0,0,0,0,0,0,0,0,0,6.66666666666667e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_2",0,0,0,0,0,0,0,0,0,1.11111111111111e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77777777777778e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_3",0,0,0,0,0,0,0,1.27777777777778e-05,1.77777777777778e-05,1.66666666666667e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_4",0,0,0,0,0,0,0,0,5.55555555555555e-06,1.11111111111111e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22222222222222e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16666666666667e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_7",0,0,0,0,0,0,0,2.66666666666667e-05,1.66666666666667e-05,2.22222222222222e-06,0,0,0,0,0,0,0,0,0,2.22222222222222e-06,0,0,2.11111111111111e-05,0,0,0,0,0,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_8",0,0,0,0,0,0,0,7.77777777777778e-06,5e-06,7.22222222222222e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22222222222222e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL2_9",0,0,0,0,0,0,0,0,2.05555555555556e-05,3.88888888888889e-06,1.11111111111111e-06,0,0,0,0,0,0,0,0,0,0,0,2.22222222222222e-06,0,0,0,0,0,5.55555555555556e-07,0,5.66666666666667e-05,0,0,0,0,5.55555555555556e-07,0,0,0,0,0,0,0,0,0
"IL3_1",0,0,0,0,0,0,0,5.55555555555556e-07,1.72222222222222e-05,1.66666666666667e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66666666666667e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_10",0,0,0,0,0,0,0,9.44444444444444e-06,1e-05,4.44444444444444e-06,2.22222222222222e-06,0,0,0,0,0,0,0,0,4.44444444444444e-06,5.55555555555556e-07,0,1.11111111111111e-06,0,0,0,0,0,0,0,1.66666666666667e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_2",0,0,0,0,0,0,0,2.05555555555556e-05,8.88888888888889e-06,1.11111111111111e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_3",0,0,0,0,0,0,0,0,2.44444444444444e-05,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,5.55555555555556e-07,0,0,1.72222222222222e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_4",0,0,0,0,0,0,0,3.94444444444444e-05,1.55555555555556e-05,0,0,0,0,0,0,0,0,0,0,4.44444444444444e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_6",0,0,0,0,0,0,0,3.22222222222222e-05,1.22222222222222e-05,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33333333333333e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_7",0,0,0,0,0,0,0,5.55555555555555e-06,1.22222222222222e-05,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,2.77777777777778e-06,0,0,0,0,0,0,0,0,0,0,3.88888888888889e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL3_9",0,0,0,0,0,0,0,2.55555555555556e-05,1.72222222222222e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55555555555556e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
