"","ACHY","AMID","ARPU9","ARTR2","ARTR2.D","ATCA2","ATCA2.D","Bare.Soil","BOGR2","BOGR2.D","BRTE","CHLE4","CHVI8","CHVI8.D","ECCOC","ELEL5","EPVI","ERCI6","GRFA","GUSA2","GUSA2.D","HECO26","HECO26.D","JUOS","KRLA2","LEMO2","OPPO","OPPO.D","PEPU7","PHAU3","PIED","PIED.D","PLPA2","SALSO","SPCR","SPCR.D","Total.Foliar","CLLU2","LAOC3","SALSO.D","SPCO","HIJA"
"43",0,0,0,0.122222222222222,0,0,0,0.344444444444444,0.377777777777778,0.0111111111111111,0,0.0222222222222222,0,0,0,0,0,0.0111111111111111,0.0888888888888889,0,0.0111111111111111,0.311111111111111,0,0,0,0,0.0444444444444444,0,0,0,0,0,0,0,0.0666666666666667,0,0.922222222222222,0,0,0,0,0
"44",0,0,0,0.0111111111111111,0.111111111111111,0,0,0.344444444444444,0.177777777777778,0.0222222222222222,0,0,0.288888888888889,0.0111111111111111,0,0,0,0,0,0,0,0.288888888888889,0,0.155555555555556,0,0,0,0,0,0.0111111111111111,0.122222222222222,0.0111111111111111,0,0,0.144444444444444,0,1.18888888888889,0,0,0,0,0
"47",0.0333333333333333,0,0,0.0111111111111111,0.0666666666666667,0.0222222222222222,0,0.355555555555556,0.533333333333333,0.0444444444444444,0,0,0.0555555555555556,0,0,0,0.0111111111111111,0,0,0,0.0444444444444444,0.155555555555556,0,0,0,0,0,0,0,0,0.211111111111111,0,0,0,0.0444444444444444,0,1.08888888888889,0,0,0,0,0
"48",0.0333333333333333,0,0,0.133333333333333,0.0222222222222222,0.0222222222222222,0.0333333333333333,0.344444444444444,0.333333333333333,0,0,0,0.0888888888888889,0,0,0,0,0,0,0,0,0.255555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0.277777777777778,0,1.08888888888889,0,0,0,0,0
"50",0.0555555555555556,0,0,0.111111111111111,0.0777777777777778,0.122222222222222,0.0111111111111111,0.355555555555556,0,0,0.0111111111111111,0,0.0111111111111111,0,0,0,0,0,0,0,0,0.0111111111111111,0,0.133333333333333,0,0,0,0,0,0,0.377777777777778,0,0,0,0.211111111111111,0,0.966666666666667,0,0,0,0,0
"57",0.0222222222222222,0,0,0.0444444444444444,0.155555555555556,0,0.0333333333333333,0.277777777777778,0.111111111111111,0.0222222222222222,0,0,0,0,0,0,0,0,0,0.0111111111111111,0,0.666666666666667,0,0,0.0111111111111111,0,0,0,0,0,0,0,0,0.0111111111111111,0,0,1.05555555555556,0,0,0,0,0
"59",0.0111111111111111,0,0,0,0.0666666666666667,0.0111111111111111,0.0222222222222222,0.433333333333333,0.211111111111111,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0.188888888888889,0,0,0,0,0,0,0,0,0,0.322222222222222,0,0.855555555555556,0,0,0,0,0
"60",0.0111111111111111,0,0,0.0222222222222222,0.144444444444444,0.0444444444444444,0,0.322222222222222,0.0888888888888889,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0.133333333333333,0,0,0,0,0,0,0,0,0.0111111111111111,0.511111111111111,0.0444444444444444,0.988888888888889,0,0,0,0,0
"61",0.0555555555555556,0,0,0,0,0.0222222222222222,0,0.233333333333333,0.255555555555556,0.0222222222222222,0,0,0.0666666666666667,0,0,0,0,0,0,0.0111111111111111,0,0.0111111111111111,0,0.411111111111111,0,0.0111111111111111,0,0,0,0,0.188888888888889,0.0444444444444444,0,0,0,0,0.977777777777778,0,0,0,0,0
"67",0.0444444444444444,0,0,0,0,0.177777777777778,0.0222222222222222,0.166666666666667,0.511111111111111,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0.233333333333333,0,0.0555555555555556,0,0,0,0,0,0,0,0.0666666666666667,0,0,0.222222222222222,0,1.17777777777778,0,0,0,0,0
"68",0,0,0,0.0111111111111111,0.0333333333333333,0.0666666666666667,0.0444444444444444,0.388888888888889,0.344444444444444,0.0222222222222222,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0.0111111111111111,0,0,0.0777777777777778,0,0,0,0,0,0,0,0,0,0.366666666666667,0,0.933333333333333,0,0,0,0,0
"73",0,0,0,0,0.0666666666666667,0.0333333333333333,0.0222222222222222,0.266666666666667,0.611111111111111,0.0111111111111111,0.0444444444444444,0.0111111111111111,0,0,0,0,0,0,0,0,0.0111111111111111,0.533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.0777777777777778,0,1.3,0,0,0,0,0
"77",0.1,0,0,0,0,0.0333333333333333,0,0.144444444444444,0.388888888888889,0,0.0222222222222222,0,0,0,0,0.0111111111111111,0,0,0,0.0111111111111111,0.0222222222222222,0.433333333333333,0.0111111111111111,0.0555555555555556,0,0,0,0,0,0,0.188888888888889,0.0222222222222222,0,0,0.0222222222222222,0,1.13333333333333,0,0,0,0,0
"80",0.0555555555555556,0,0,0.0333333333333333,0.0666666666666667,0,0,0.4,0.688888888888889,0.1,0,0,0,0,0,0,0.0222222222222222,0,0,0,0.0444444444444444,0.311111111111111,0,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0.0222222222222222,0,1.23333333333333,0,0,0,0,0
"82",0.0666666666666667,0,0,0,0.0666666666666667,0.0333333333333333,0,0.355555555555556,0.644444444444444,0.0222222222222222,0,0.0111111111111111,0.0555555555555556,0,0,0.0111111111111111,0,0,0,0,0,0.0777777777777778,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0,0.177777777777778,0,1.08888888888889,0,0,0,0,0
"90",0,0,0,0.0555555555555556,0.0333333333333333,0.0888888888888889,0,0.4,0.877777777777778,0.0222222222222222,0.0111111111111111,0.0111111111111111,0,0,0,0,0,0,0,0,0,0.0777777777777778,0,0,0,0,0.0222222222222222,0,0,0,0,0,0,0,0.0888888888888889,0,1.23333333333333,0,0,0,0,0
"B1_1",0,0,0,0.166666666666667,0.133333333333333,0,0.0111111111111111,0.3,0.155555555555556,0.0111111111111111,0,0,0,0,0.0111111111111111,0,0,0,0,0.0111111111111111,0.0111111111111111,0.0222222222222222,0,0,0.0444444444444444,0,0,0,0,0,0,0,0,0,1.95555555555556,0.0555555555555556,2.44444444444444,0,0,0,0,0
