"","L.D.DenM2","L.DenM2","L.PropIndM2","L.RelCov","L.D.RelCov","L.D.PropCov","PG.RelCov"
"B1_1",0.305555555555555,0.0833333333333333,0.272727272727273,13.2743362831858,48.6725663716814,0.272727272727273,0.822660099
"B1_10",0.211111111111111,0.0222222222222222,0.105263157894737,3.80952380952381,36.1904761904762,0.105263157894737,0.782383419
"B1_2",0.0388888888888889,0.0166666666666667,0.428571428571429,11.1111111111111,25.9259259259259,0.428571428571429,0.813186813
"B1_3",0.0111111111111111,0.0111111111111111,1,2.5974025974026,2.5974025974026,1,0.814814814
"B1_4",0.00555555555555556,0,0,0,0.980392156862745,0,0.939560439
"B1_5",0.0777777777777778,0,0,0,35,0,0.805970149
"B1_6",0.266666666666667,0.00555555555555556,0.0208333333333333,1.19047619047619,57.1428571428571,0.0208333333333333,0.921465968
"B1_7",0.638888888888889,0.361111111111111,0.565217391304348,49.618320610687,87.7862595419847,0.565217391304348,0.849246231
"B1_8",0.00555555555555556,0,0,0,4.34782608695652,0,0.071428571
"B1_9",0.288888888888889,0,0,0,94.5454545454545,0,0.924170616
"B2_1",0,0,NA,0,0,NA,0.544217687
"B2_10",0.266666666666667,0.1,0.375,34.6153846153846,92.3076923076923,0.375,0.74301676
"B2_2",0.444444444444445,0.00555555555555556,0.0125,0.934579439252336,74.7663551401869,0.0125,0.596491229
"B2_4",0.305555555555556,0.05,0.163636363636364,3.71900826446281,22.7272727272727,0.163636363636364,0.601226994
"B2_5",0.288888888888889,0.0611111111111111,0.211538461538462,19.2982456140351,91.2280701754386,0.211538461538462,0.86
"B2_6",0.0277777777777778,0.0111111111111111,0.4,1.16279069767442,2.90697674418605,0.4,0.64
"B2_7",0.161111111111111,0.0111111111111111,0.0689655172413793,5.12820512820513,74.3589743589744,0.0689655172413793,0.378109453
"B2_8",0.0111111111111111,0,0,0,40,0,0.631205674
"B2_9",0.327777777777778,0.0277777777777778,0.0847457627118644,4.62962962962963,54.6296296296296,0.0847457627118644,0.867298578
"B3_1",0.25,0.0777777777777778,0.311111111111111,13.0841121495327,42.0560747663551,0.311111111111111,0.591666667
"B3_10",0.527777777777778,0.372222222222222,0.705263157894737,36.6120218579235,51.9125683060109,0.705263157894737,0.861344538
"B3_2",0.216666666666666,0.0222222222222222,0.102564102564103,1.55038759689922,15.1162790697674,0.102564102564103,0.809210526
"B3_3",0,0,NA,0,0,NA,0.619834711
"B3_4",0.0111111111111111,0,0,0,3.84615384615385,0,0.494047619
"B3_5",0.00555555555555556,0.00555555555555556,1,9.09090909090909,9.09090909090909,1,0.688118812
"B3_6",0.377777777777778,0.0111111111111111,0.0294117647058824,2.85714285714286,97.1428571428571,0.0294117647058824,0.611842104
"B3_7",0.333333333333333,0.0333333333333333,0.1,7.89473684210526,78.9473684210526,0.1,0.94054054
