"","L.D.DenM2","L.DenM2","L.PropIndM2","L.PropCov","L.D.RelCov","L.RelCov","PG.RelCov"
"B1_1",0.305555555555555,0.0833333333333333,0.272727272727273,0.444444436925926,48.6725663716814,13.2743362831858,0.822660099
"B1_10",0.211111111111111,0.0222222222222222,0.105263157894737,0.628571427783673,36.1904761904762,3.80952380952381,0.782383419
"B1_2",0.0388888888888889,0.0166666666666667,0.428571428571429,0.809523808698413,25.9259259259259,11.1111111111111,0.813186813
"B1_3",0.0111111111111111,0.0111111111111111,1,0.12499999409375,2.5974025974026,2.5974025974026,0.814814814
"B1_4",0.00555555555555556,0,0,0,0.980392156862745,0,0.939560439
"B1_5",0.0777777777777778,0,0,0,35,0,0.805970149
"B1_6",0.266666666666667,0.00555555555555556,0.0208333333333333,0.2,57.1428571428571,1.19047619047619,0.921465968
"B1_7",0.638888888888889,0.361111111111111,0.565217391304348,0,87.7862595419847,49.618320610687,0.849246231
"B1_8",0.00555555555555556,0,0,0.666666666666667,4.34782608695652,0,0.071428571
"B1_9",0.288888888888889,0,0,0.111111100691358,94.5454545454545,0,0.924170616
"B2_1",0,0,NA,0,0,0,0.544217687
"B2_10",0.266666666666667,0.1,0.375,NA,92.3076923076923,34.6153846153846,0.74301676
"B2_2",0.444444444444445,0.00555555555555556,0.0125,0.388888893111111,74.7663551401869,0.934579439252336,0.596491229
"B2_4",0.305555555555556,0.05,0.163636363636364,0.19999999348,22.7272727272727,3.71900826446281,0.601226994
"B2_5",0.288888888888889,0.0611111111111111,0.211538461538462,0.157894736842105,91.2280701754386,19.2982456140351,0.86
"B2_6",0.0277777777777778,0.0111111111111111,0.4,NA,2.90697674418605,1.16279069767442,0.64
"B2_7",0.161111111111111,0.0111111111111111,0.0689655172413793,NA,74.3589743589744,5.12820512820513,0.378109453
"B2_8",0.0111111111111111,0,0,NA,40,0,0.631205674
"B2_9",0.327777777777778,0.0277777777777778,0.0847457627118644,0.157894732166205,54.6296296296296,4.62962962962963,0.867298578
"B3_1",0.25,0.0777777777777778,0.311111111111111,1,42.0560747663551,13.0841121495327,0.591666667
"B3_10",0.527777777777778,0.372222222222222,0.705263157894737,0,51.9125683060109,36.6120218579235,0.861344538
"B3_2",0.216666666666666,0.0222222222222222,0.102564102564103,NA,15.1162790697674,1.55038759689922,0.809210526
"B3_3",0,0,NA,NA,0,0,0.619834711
"B3_4",0.0111111111111111,0,0,NA,3.84615384615385,0,0.494047619
"B3_5",0.00555555555555556,0.00555555555555556,1,NA,9.09090909090909,9.09090909090909,0.688118812
"B3_6",0.377777777777778,0.0111111111111111,0.0294117647058824,0,97.1428571428571,2.85714285714286,0.611842104
"B3_7",0.333333333333333,0.0333333333333333,0.1,NA,78.9473684210526,7.89473684210526,0.94054054
"B3_8",0.0666666666666666,0.0333333333333333,0.5,0.133333335477778,50,25,0.766839377
"B3_9",0,0,NA,0.666666641777777,NA,NA,0.839285714
"B4_1",0.177777777777777,0.0333333333333333,0.1875,0,66.6666666666667,12.5,0.894736843
"B4_10",0.233333333333333,0,0,0.666666651777778,76.3636363636364,0,0.619402985
"B4_2",0.105555555555556,0.05,0.473684210526316,0,54.2857142857143,25.7142857142857,0.79245283
