id,Elevation,Aspect,Slope,CarbonateStage,BioticCrustClass,PedonDepth,Depth200,H1.DryRed,H1.DryValue,H1.DryCClass,H1.MoistRed,H1.MoistValue,H1.MoistCClass,H1.SandPercent,H1.ClayPercent,H1.pH,H1.EfferScale,H1.Depth,H1.DWA_AWC,Tot.DryRed,Tot.DryValue,Tot.DryCClass,Tot.MoistRed,Tot.MoistValue,Tot.MoistCClass,Tot.EfferScale,DWAClay,DWASand,DWApH,DWA.AWHC,Sand.50,Clay.50,pH.50,DryValue.50,EfferScale.50,AWHC.50,MaxClay,MaxSand,MaxpH,MaxDryValue,MaxAWHC,MaxEffervescence,SlopeShape,DepthClass,H1.Texture,H1.SandSize,Tot.Texture,Tot.SandSize
B1_1,1895.879054,40,1,0,1,188,0,2,6,2,2,4,2,40,5,7.8,3,5,0.517811549,2,5,2,2,4,2,4,6.574468085,64.12234043,8.035106383,10.10693588,55,7,8,5,4,12.83080608,7,85,8.2,7,19.46971424,4,LV,VeryDeep,SiL,VF,SL,F
B1_10,1887.039746,344,2,0,0,44,0,2,5,2,2,3,2,50,5,7.8,1,4,0.332667594,2,5,2,3,4,2,2,7.363636364,53.52272727,8.054545455,14.87560293,70,5,8.2,6,4,9.155303766,15,75,8.2,6,22.58434366,4,LV,VeryDeep,SL,VF,SL,F
B1_2,1874.542794,100,6,0,1,51,0,2,6,2,2,4,2,60,5,7.8,0,6,1.593693315,2,6,2,2,4,2,3,5,67.94117647,8.294117647,9.684181901,70,5,8.4,6,3,9.155303766,5,70,8.4,6,10.46442617,3,CL,Shallow,SL,F,SL,F
B1_3,1876.981224,170,4,1,1,200,1,3,6,2,3,4,2,60,5,7.8,2,7,1.604109611,3,7,2,3,5,2,3,5.365,73.725,8.183,7.431472323,65,5,8,6,3,10.46442617,10,80,8.6,7,10.46442617,3,LV,ModeratelyDeep,SL,F,SL,F
B1_4,1885.820532,30,3,0,1,187,0,2,6,2,2,4,2,55,7,7.6,2,6,0.384924182,2,6,2,2,4,2,2,8.058823529,67.72727273,7.790769231,9.563477495,65,10,7.8,6,2,10.43140426,10,75,7.8,7,12.83080608,3,CL,VeryDeep,SL,F,SL,F
B1_5,1882.772495,60,4,1,0,153,0,2,5,2,2,4,2,55,5,6.8,0,6,0.42048572,2,6,3,2,4,3,4,5,62.77777778,8.279084967,11.04644531,70,5,8.4,7,4,9.155303766,5,70,8.5,7,13.10513826,4,CL,VeryDeep,SL,F,SL,F
B1_6,1880.029261,270,3,1,0,59,0,2,6,2,2,4,2,65,5,7.8,1,5,0.341974711,3,6,2,3,5,2,2,5.644067797,70.6779661,8.186440678,8.952721369,75,7,8.2,7,3,7.768319141,7,75,8.4,8,10.46442617,4,VV,VeryDeep,SL,F,SL,F
B1_7,1891.611802,0,5,1,1,116,0,2,5,2,2,3,2,60,5,7,0,7,1.386603223,2,6,2,2,4,2,3,5,60.47413793,8.098275862,11.57114259,60,5,8.2,6,3,11.68708431,5,65,8.6,8,11.68708431,4,CL,ModeratelyDeep,SL,F,SL,F
B1_8,1873.32358,320,2,0,1,200,1,2,6,2,2,4,2,80,7,7.8,2,6,0.291468771,2,7,2,2,4,2,3,6.36,71.85,8.091,7.93029323,70,5,8.1,7,3,9.155303766,10,80,8.1,7,11.35524954,3,LL,Deep,SL,F,SL,F
B1_9,1892.221409,20,5,0,1,180,0,2,6,2,2,4,2,50,5,7.6,1,4,0.299400834,3,6,2,3,5,2,3,6.822222222,52.69444444,8.233333333,13.87643392,55,7,8.2,7,3,12.83080608,10,60,8.6,7,16.67161622,4,CL,VeryDeep,SL,F,SL,F
B2_1,1880.943672,350,4,0,0,200,1,2,6,2,2,4,2,55,5,7.6,1,7,0.458679839,3,7,2,3,5,2,3,3.94,68.675,8.213,9.081446422,60,5,8.2,7,3,11.68708431,5,75,8.4,7,11.68708431,3,LL,VeryDeep,SL,F,LS,M
B2_10,1880.334065,210,1,1,1,200,1,2,5,2,2,3,2,50,5,6.4,0,5,2.772229948,2,6,2,2,4,2,3,7.3,52.75,8.07,13.61823236,50,8,8.2,6,3,14.3562924,8,75,8.6,7,16.41742319,4,VV,Shallow,SL,VF,L,VF
