id,Elevation,Aspect,Slope,SlopeShape,CarbonateStage,BioticCrustClass,PedonDepth,Depth200,H1.DryRed,H1.DryValue,H1.DryCClass,H1.MoistRed,H1.MoistValue,H1.MoistCClass,H1.Texture,H1.SandPercent,H1.SandSize,H1.ClayPercent,H1.pH,H1.EfferScale,H1.Depth,H1.DryHue,H1.MoistHue,H1.DryChroma,H1.MoistChroma,H1.Effervescence,Tot.DryRed,Tot.DryHue,Tot.DryValue,Tot.DryCClass,Tot.DryChroma,Tot.MoistRed,Tot.MoistHue,Tot.MoistValue,Tot.MoistCClass,Tot.MoistChroma,Tot.Texture,Tot.SandSize,Tot.Effervescence,Tot.EfferScale,Sub.DryRed,Sub.DryHue,Sub.DryValue,Sub.DryCClass,Sub.DryChroma,Sub.MoistRed,Sub.MoistHue,Sub.MoistValue,Sub.MoistCClass,Sub.MoistChroma,Sub.Texture,Sub.SandSize,Sub.Effervescence,Sub.EfferScale,AWC.0.25,AWC.0.50,AWC.0.100,AWC.0.150,AWC.0.200,AWC.25.50,AWC.50.100,AWC.100.150,AWC.150.200,DWAClay,DWASand,DWApH,SubDWAClay,SubDWASand,SubDWApH,SubAWC
19,1895,237,3,CL,3,1,153,0,2,5,2,3,3,2,SL,75,VF,10,8,0,3,7.5YR,5YR,4,3,NE,3,5YR,6,2,4,3,5YR,4,2,4,SL,VF,VE,4,3,5YR,6,2,4,3,5YR,4,2,4,SL,VF,VE,4,8.284689241,8.284689241,8.060948306,8.012532069,8.024802809,8.284689241,7.83720737,7.915699596,8.638339797,10.00653595,75.79738562,8.429411765,10.00666667,75.81333333,8.438,8.01960508
2,1992.443115,150,7,LL,1,2,157,0,2,7,2,2,3,2,SL,75,VF,10,7.6,1,5,7.5YR,7.5YR,4,4,VS,2,7.5YR,6,2,4,2,7.5YR,4,3,6,LS,F,VE,4,2,7.5YR,6,2,4,2,7.5YR,4,3,6,LS,F,VE,4,5.939888751,5.64678869,5.162926384,4.289535256,4.211653245,5.353688629,4.679064078,2.542753,2.542753,5.687898089,82.03821656,8.268789809,5.546052632,82.26973684,8.290789474,4.077671797
20,1987,51,8.5,LV,1,1,46,0,2,5,2,3,4,2,SL,60,VF,10,8.2,3,3,7.5YR,5YR,4,3,ST,4,2.5YR,5,2,4,4,2.5YR,4,2,4,L,F,VE,4,4,2.5YR,5,2,4,4,2.5YR,4,2,4,L,F,VE,4,13.09655039,13.45622616,13.45622616,13.45622616,13.45622616,14.01821956,.,.,.,16.90243902,48.12195122,8.129268293,17.44736842,47.18421053,8.123684211,13.62209274
21,1966.247314,100,3,CL,1,1,95,0,3,5,3,3,4,2,LS,85,VF,8,8.1,4,10,5YR,5YR,6,4,VE,3,5YR,5,3,6,3,5YR,4,2,4,LS,VF,VE,4,3,5YR,5,3,6,3,5YR,4,2,4,LS,VF,VE,4,5.304866902,4.003421314,3.125815124,3.125815124,3.125815124,2.701975727,2.150697136,.,.,6.021052632,84.56842105,8.382105263,5.788235294,84.51764706,8.415294118,3.084477434
22,1877,277,3,LV,2,2,154,0,3,6,3,3,3,2,LS,82,VF,9,8,0,5,5YR,5YR,6,4,NE,2,7.5YR,7,2,4,3,5YR,4,2,4,SL,VF,VE,4,2,7.5YR,7,2,4,3,5YR,4,2,4,SL,VF,VE,4,8.488252065,8.438144487,8.275687231,8.678437159,8.725321819,8.388036908,8.113229975,9.483937015,10.48349657,12.75324675,74.03896104,8.475324675,12.87919463,73.77181208,8.491275168,8.840444743
23,1980,54,1,LL,1,.,81,0,3,5,2,3,4,2,SL,75,VF,12,7.6,0,3,5YR,5YR,4,3,NE,3,5YR,5,2,4,3,5YR,4,2,4,SL,VF,SL,2,3,5YR,5,2,4,3,5YR,4,2,4,SL,VF,SL,2,8.193117315,9.774183428,10.15818088,10.15818088,10.15818088,11.35524954,10.7775316,.,.,11.40740741,64.44444444,8.148148148,11.38461538,64.03846154,8.169230769,10.2166363
24,1886,256,.,LL,3,1,48,0,2,6,2,3,4,2,SL,72,VF,12,8,2,5,7.5YR,5YR,4,3,SL,3,5YR,5,2,4,3,5YR,3,2,4,SL,VF,VE,4,3,5YR,5,2,4,3,5YR,3,2,4,SL,VF,VE,4,8.822192808,9.193331662,9.193331662,9.193331662,9.193331662,9.596743459,.,.,.,12.45833333,72.375,8.114583333,12.51162791,72.41860465,8.127906977,9.183080727
25,2013,288,3,CL,1,1,149,0,3,5,2,3,3,2,SL,76,F,9,8,0,6,5YR,5YR,3,3,NE,3,5YR,7,3,6,3,5YR,4,3,6,SL,F,VE,4,3,5YR,7,3,6,3,5YR,4,3,6,SL,F,VE,4,7.902176072,8.107802454,7.864115477,6.802382714,6.802382714,8.313428837,7.620428501,4.635581155,.,8.342281879,77.55033557,8.254362416,8.314685315,77.61538462,8.265034965,6.76113744
26,2047.95874,137,3,CV,0,1,31,0,2,5,3,2,4,3,LS,80,VF,5,8.2,4,9,7.5YR,7.5YR,6,6,VE,2,7.5YR,5,3,6,2,7.5YR,4,3,6,LS,VF,VE,4,2,7.5YR,7,2,3,2,7.5YR,6,2,4,SL,VF,VE,4,6.105274194,6.527096461,6.527096461,6.527096461,6.527096461,8.284689241,.,.,.,7.258064516,77.74193548,8.406451613,8.181818182,76.81818182,8.490909091,7.119226649
27,1929.957764,50,15,CL,0,1,153,0,2,6,2,2,4,3,LS,85,VF,6,8.2,4,12,7.5YR,7.5YR,4,6,VE,2,7.5YR,6,2,4,2,7.5YR,4,3,6,LS,VF,VE,4,2,7.5YR,6,2,4,2,7.5YR,4,3,6,LS,VF,VE,4,4.142056479,4.873299359,5.398554915,5.685548765,5.701975675,5.604542239,5.923810471,6.259536464,6.523321172,7.895424837,80.39215686,8.418300654,8.056737589,80,8.436879433,5.946445521
