id,Elevation,Aspect,Slope,SlopeShape,CarbonateStage,BioticCrustClass,DepthClass,PedonDepth,Depth200,H1.DryRed,H1.DryValue,H1.DryCClass,H1.MoistRed,H1.MoistValue,H1.MoistCClass,H1.Texture,H1.SandPercent,H1.SandSize,H1.ClayPercent,H1.pH,H1.EfferScale,H1.Depth,H1.DWA_AWC,Tot.DryRed,Tot.DryValue,Tot.DryCClass,Tot.MoistRed,Tot.MoistValue,Tot.MoistCClass,Tot.Texture,Tot.SandSize,Tot.EfferScale,DWAClay,DWASand,DWApH,DWA.AWHC,Sand.50,Clay.50,pH.50,DryValue.50,EfferScale.50,AWHC.50,MaxClay,MaxSand,MaxpH,MaxDryValue,MaxAWHC,MaxEffervescence
M2_8,1885.820532,240,4,LV,0,0,VeryDeep,200,1,2,6,2,2,4,1,SL,75,F,5,7.6,2,6,0.222910021,2,6,2,2,4,2,SL,F,3,4.98,68.475,8.155,8.895586484,75,3,8.2,7,3,7.092383724,7,80,8.2,7,11.54200385,3
M2_9,1894.964643,310,2,VV,1,1,VeryDeep,180,0,1,6,2,2,3,2,LS,80,F,5,7.4,0,5,0.126991678,2,7,2,2,5,2,LS,F,3,6.944444444,76.55555556,8.234444444,6.876986064,70,7,8,6,3,9.285436264,7,80,8.4,7,9.285436264,3
M3_1,1875.457206,0,3,LL,0,2,VeryDeep,186,0,2,6,2,2,4,2,SL,55,F,5,7.6,2,8,0.563661861,3,7,2,3,5,2,SL,F,3,4.064516129,70.24193548,8.258602151,8.727791438,75,3,8.2,7,3,7.092383724,5,75,8.6,7,11.68708431,3
M3_2,1881.858083,70,5,CC,1,1,ModeratelyDeep,91,0,2,5,2,2,4,2,SL,60,F,7,7,0,5,0.634176036,3,6,2,3,4,2,SL,F,3,6.318681319,71.59340659,8.21978022,8.269170297,70,7,8.2,6,3,9.285436264,7,80,8.6,8,10.44264508,3
M3_3,1871.799561,5,5,VV,0,2,VeryDeep,170,0,2,6,2,2,4,2,SL,65,F,5,7.6,2,7,0.430888136,2,7,3,2,5,2,SL,F,4,5,72.23529412,8.272941176,8.34989457,70,5,8.2,6,3,9.155303766,5,75,8.4,7,10.46442617,4
M3_5,1874.847598,310,3,VV,1,1,VeryDeep,183,0,2,6,2,2,4,2,SL,55,F,12,7.6,1,7,0.468388575,2,7,2,2,5,2,SL,F,3,3.584699454,69.3989071,8.396721311,8.943798533,75,3,8.2,7,3,7.092383724,5,75,8.8,7,14.97004172,3
M3_7,1891.002195,240,3,LV,1,1,VeryDeep,189,0,2,6,2,2,6,2,LS,85,F,5,8,1,6,0.080722317,2,6,2,2,6,2,LS,F,3,5,75.31746032,8.224338624,7.179166276,75,5,8.2,6,3,7.430334021,5,80,8.4,6,9.155303766,3
M3_8,1867.837113,340,2,LV,1,1,VeryDeep,186,0,2,6,2,2,4,2,SL,55,F,7,7.4,1,6,0.41389697,3,8,2,3,5,2,SL,F,3,11.16666667,60.61827957,8.424731183,11.17996223,60,10,8.2,8,3,11.35524954,15,70,8.8,8,11.96809109,3
M4_2,1866.313094,40,15,VV,0,3,VeryDeep,200,1,2,6,2,2,4,2,SL,60,F,3,7.4,1,8,0.47371537,2,6,2,2,5,2,SL,F,3,3.77,64.35,8.209,10.69872972,70,3,8.2,6,3,9.024204783,5,70,8.4,8,14.97004172,4
M4_3,1867.837113,300,2,LV,1,1,VeryDeep,188,0,2,6,2,2,4,2,SL,70,F,5,7.8,2,6,0.292190546,3,8,3,3,5,3,SL,F,3,11.83510638,60.69148936,8.444148936,10.78425629,70,7,8.4,7,3,9.285436264,23,70,8.6,8,14.5825984,4
M4_4,1879.724457,10,4,LL,0,1,VeryDeep,176,0,2,6,2,2,4,2,SL,65,F,5,7.8,1,5,0.297284834,3,8,2,3,5,2,LS,F,3,3.465909091,72.95454545,8.147727273,7.464425671,75,3,8.2,8,3,7.092383724,5,80,8.2,8,11.68708431,3
M4_5,1879.11485,270,2,VV,1,1,VeryDeep,190,0,2,7,2,2,4,2,SL,75,M,10,7.6,0,4,0.17441451,3,6,2,3,6,3,SL,M,3,6.652631579,76.02631579,8.383157895,7.227308885,75,7,8.4,6,3,7.768319141,7,80,8.4,7,7.768319141,3
M4_6,1858.693002,50,5,VV,1,2,VeryDeep,159,0,3,6,2,3,4,2,SL,70,F,3,6.8,1,5,0.283780025,3,5,3,3,4,3,SL,F,3,8.100628931,63.96226415,8.122012579,10.5804535,65,3,8.2,5,3,10.49185197,20,65,8.4,7,11.03755795,4
M4_7,1873.018776,70,10,LV,1,2,ModeratelyDeep,73,0,2,5,2,2,3,2,SL,50,F,5,8,1,14,2.870966905,3,8,1,3,6,2,SL,F,4,9.575342466,57.60273973,8.331506849,11.83129088,55,15,8.4,8,4,11.96809109,15,75,8.6,8,13.10513826,4
M4_9,1882.467691,20,0,LL,0,0,ModeratelyDeep,67,0,2,5,2,2,3,2,L,45,VF,25,7.6,0,9,1.743172371,2,5,2,2,4,2,L,F,3,19.28358209,48.95522388,7.964179104,12.77812192,50,18,8,5,3,12.70284261,25,55,8.4,7,12.97694987,4
