id,Elevation,Aspect,Slope,SlopeShape,CarbonateStage,BioticCrustClass,DepthClass,PedonDepth,Depth200,H1.DryRed,H1.DryValue,H1.DryCClass,H1.MoistRed,H1.MoistValue,H1.MoistCClass,H1.Texture,H1.SandPercent,H1.SandSize,H1.ClayPercent,H1.pH,H1.EfferScale,H1.Depth,H1.DWA_AWC,Tot.DryRed,Tot.DryValue,Tot.DryCClass,Tot.MoistRed,Tot.MoistValue,Tot.MoistCClass,Tot.Texture,Tot.SandSize,Tot.EfferScale,DWAClay,DWASand,DWApH,DWA.AWHC,Sand.50,Clay.50,pH.50,DryValue.50,EfferScale.50,AWHC.50,MaxClay,MaxSand,MaxpH,MaxDryValue,MaxAWHC,MaxEffervescence
B3_1,1866.617898,310,6,CV,1,1,ModeratelyDeep,81,0,3,6,3,3,4,2,SL,60,F,5,7.6,2,6,0.865709949,3,7,2,3,6,2,SL,F,4,7.580246914,58.22222222,8.175308642,12.22625207,45,10,8.2,7,4,15.90292714,10,74,8.4,7,15.90292714,4
B3_10,1895.57425,250,5,CV,1,2,VeryDeep,42,0,2,5,2,2,4,2,SL,45,F,5,7.8,2,8,0.686370132,2,7,2,2,5,2,LS,F,3,6.80952381,70.47619048,7.961904762,8.478073096,80,3,8,7,3,4.553469578,15,80,8,7,9.885726076,3
B3_2,1890.392587,250,4,VV,1,0,Shallow,67,0,2,5,2,2,3,2,SL,55,F,5,7.6,2,4,1.248108406,3,6,2,3,4,2,SL,F,3,4.194029851,51.86567164,8.244776119,14.41924863,55,3,8.6,8,4,13.39304941,5,55,8.6,8,17.1592533,4
B3_3,1877.895635,90,2,LL,0,0,ModeratelyDeep,200,1,2,6,2,2,4,2,SL,50,F,5,7.6,2,5,1.117167293,2,7,2,2,5,2,SL,F,3,7.92,49.9,8.0075,14.33118875,55,7,8,7,3,12.83080608,20,65,8.2,7,20.52934586,3
B3_4,1873.628383,100,5,CL,0,0,VeryDeep,148,0,2,6,2,2,4,2,SL,70,F,3,7.6,0,7,0.315847167,3,7,3,3,5,3,SL,F,3,3,70.23648649,8.190540541,8.888926529,70,3,8.2,7,3,9.024204783,3,75,8.6,8,10.49185197,3
B3_5,1893.745428,35,1,CL,1,0,Deep,178,0,2,6,3,2,4,3,L,45,VF,15,7.8,3,5,0.496164922,2,5,2,2,4,2,L,VF,3,15.99438202,46.85393258,7.968539326,14.54869312,35,19,8,5,3,17.23838077,19,70,8.2,6,17.54675254,3
B3_6,1867.837113,270,6,VV,1,1,VeryDeep,169,0,2,6,2,2,4,2,SL,70,F,5,7.6,1,5,0.257171454,3,7,3,3,5,3,SL,F,3,10.82248521,58.84615385,8.468639053,11.46514059,55,18,8.2,7,3,11.75090901,18,65,8.8,8,11.75090901,3
B3_7,1874.847598,260,5,CC,0,2,VeryDeep,135,0,2,6,3,2,4,2,SL,65,F,3,7.6,0,6,0.372491786,3,6,3,3,5,3,SL,F,3,4.896296296,73.25925926,8.234074074,7.808299479,70,5,8.2,8,3,9.155303766,7,80,8.4,8,9.285436264,3
B3_8,1878.200439,246,1,LV,0,2,Deep,95,0,2,5,3,2,3,2,SL,70,VF,5,7.3,0,5,0.339085325,2,5,3,2,3,2,SL,VF,2,9.736842105,70.31578947,8.211578947,9.235518304,75,10,8.2,6,3,8.284689241,10,75,8.4,7,11.35524954,4
B3_9,1874.847598,35,5,CL,0,4,ModeratelyDeep,200,1,2,5,2,2,4,2,SL,70,F,5,7.6,1,7,0.67460133,2,6,2,3,5,2,LS,F,3,5.7,79.65,8.372,5.416702921,80,5,8.4,7,3,5.079667113,7,80,8.4,7,5.635062899,3
B4_1,1888.258961,190,4,CL,0,5,VeryShallow,11,0,2,6,2,2,4,2,SL,70,F,5,7.8,3,11,9.155303766,2,6,2,2,4,2,SL,F,3,5,70,7.8,9.155303766,70,5,7.8,6,3,9.155303766,.,.,.,.,.,.
B4_10,1874.542794,230,1,LV,3,1,VeryShallow,56,0,3,5,2,3,4,2,LS,80,F,8,8.1,3,5,4.231293194,3,7,2,2,6,2,SL,F,4,10.92857143,75.44642857,8.191071429,8.269667337,75,10,8.2,7,4,8.284689241,12,75,8.2,7,8.638339797,4
B4_2,1881.248476,110,11,VV,0,2,ModeratelyDeep,7,0,2,6,2,2,4,2,SL,60,F,5,7.6,2,7,1.460885539,2,6,2,2,4,2,SL,F,2,5,60,7.6,11.68708431,60,5,7.6,6,2,11.68708431,.,.,.,.,.,.
B4_3,1877.590832,210,6,VV,0,1,VeryShallow,69,0,2,5,2,2,3,2,SL,60,F,3,7.6,2,5,8.459203036,2,6,2,2,4,3,SL,F,3,3,70.28985507,7.805797101,8.774904071,70,3,7.8,6,3,9.024204783,3,80,8,7,9.024204783,3
B4_4,1890.697391,220,5,CL,0,0,ModeratelyDeep,153,0,2,5,2,2,3,2,SL,60,F,5,7.8,3,5,0.846890167,2,6,2,2,5,2,SL,F,4,4.790849673,64.83660131,8.351633987,10.43256856,60,5,8.2,6,4,11.68708431,7,75,8.6,7,11.68708431,4
