"id","maxClay","minClay","maxSand","minSand","maxDepth","maxpH","minpH","maxDryValue","minDryValue","maxDryChroma","minDryChroma","maxMoistValue","minMoistValue","maxMoistChroma","minMoistChroma","Surface","Subsurface","Depth50","Depth100","Depth150","Depth200","AWC25","AWC50","AWC100","MaxAWC","TotalAWC","Elevation","Slope","SlopeShape","CarbonateStage","BioticCrustClass"
"CLHS29P",8,5,90,80,163,8.3,8.1,8,6,4,3,5,4,6,3,3,6,1,1,1,0,2.19588805196,3.14808098676,4.53594572888,5.923810471,18.341115008,2058.533203,3,"CC",1,2
"CLHS30P",5,3,90,90,134,8.7,8,7,6,4,3,4,4,6,4,4,4,1,1,0,0,0.7984290358,0.8284301014,0.81319856706,0.858431167,3.008882366,2018.158203,6,"LV",0,1
"CLHS31P",8,8,80,75,20,8.2,8.2,5,5,6,6,4,4,6,6,6,6,0,0,0,0,6.7299079954,6.7299079954,6.7299079954,7.939054282,13.862864753,1857.619141,5,"LL",1,3
"CLHS32P",15,4,90,70,114,8.6,8,7,5,6,4,5,3,6,4,4,6,1,1,0,0,9.34065797368,7.04354795848,3.87598689874,9.885726076,18.533206197,1965.045654,3,"CL",0,1
"CLHS33P",10,6,85,75,86,8.6,8.1,7,7,6,4,5,4,6,6,6,6,1,0,0,0,6.21481985444,5.92494137672,5.80359689767442,8.284689241,22.384270022,1844.641602,4,"CV",0,1
"CLHS34P",5,5,85,80,19,8.2,8,7,7,4,4,4,4,4,4,4,4,0,0,0,0,3.74444915878947,3.74444915878947,3.74444915878947,5.079667113,7.622420113,1873.480713,6,"VV",0,5
"CLHS35P",10,4,85,85,77,8.5,8.1,6,5,6,6,5,4,6,6,6,6,1,0,0,0,2.6096503218,3.22244530284,3.57447400605195,4.226379012,9.335777325,1897.032959,5,"CL",2,2
"CLHS36P",8,5,85,80,152,8.6,8.1,7,6,6,4,5,4,6,4,6,6,1,1,1,0,3.68367623604,3.29262598652,3.18817409094,5.923810471,16.687021479,1860.503174,4,"LL",2,1
"CLHS37P",4,4,85,85,17,8.4,8,8,7,4,2,5,4,4,4,4,4,0,0,0,0,2.27994333,2.27994333,2.27994333,2.27994333,4.55988666,1881.411621,7,"LV",0,2
"CLHS38P",11,8,77,72,94,8.3,8,7,5,6,4,4,4,6,3,3,6,1,0,0,0,8.28355101864,8.11130265032,7.9823136972766,9.16939977,24.542393514,1867,8,"LVQ",1,2
"CLHS39P",10,6,85,80,19,8.1,8.1,6,5,6,6,4,4,6,6,6,6,0,0,0,0,4.7010356928421,4.7010356928421,4.7010356928421,5.353688629,9.580067641,1897.032959,6,"LV",0,5
"CLHS40P",15,10,80,67,122,8.4,7.8,7,5,6,3,5,3,4,3,3,3,1,1,0,0,9.84100786952,9.20200987126,8.51536654595,10.24554657,34.613369311,1876,NA,"LL",3,1
"CLHS41P",10,5,85,75,151,8.6,8,7,7,4,4,5,4,6,6,6,6,1,1,1,0,4.84187208028,5.90223460504,7.09346192302,8.284689241,25.035941953,1890.063477,4,"LL",1,1
"CLHS42P",13,6,85,70,58,8.3,8,7,5,4,4,5,3,4,3,3,4,1,0,0,0,9.17279410612,6.82821867848,6.27666506531035,9.721906099,19.985300544,1878,5,"CL",2,1
"CLHS43P",19,9,76,56,154,8.6,8,8,4,6,2,5,3,6,3,3,4,1,1,1,0,11.1650909816,11.1469424388,10.786517061,11.54553373,50.31292831,1882,4,"CL",3,1
"CLHS44P",9,4,85,80,126,8.5,8,8,5,6,3,5,4,6,6,6,6,1,1,0,0,4.18663713996,3.80342537968,3.47210813734,5.079667113,14.339749044,1886.458496,3,"LL",1,1
"CLHS45P",4,3,95,85,104,8.3,8,6,6,4,4,4,4,6,4,4,6,1,1,0,0,1.58847563396,0.9963854457,0.67109702642,2.27994333,3.820354344,1893.427979,1,"CC",0,1
"CLHS46P",6,3,97,75,99,8.2,8,8,6,4,4,6,4,6,3,3,4,1,0,0,0,3.554037949,2.9800649603,1.64146317817172,7.599177745,13.261620714,1893.427979,1,"LL",1,2
"CLHS47P",15,6,80,70,150,8.6,8.1,7,6,6,4,5,3,6,4,4,6,1,1,0,0,7.89807784816,7.91856606508,7.92881017354,9.885726076,47.347159091,1909.289795,5,"VV",0,2
"CLHS48P",9,4,85,75,80,8.4,8.2,7,5,6,4,4,3,6,4,4,4,1,0,0,0,6.67850592676,5.21759427468,4.4387930073,7.261741337,16.622781765,1940.532227,2,"CC",0,1
"CLHS49P",8,5,90,78,150,8.7,8.1,7,6,6,4,5,4,6,4,4,6,1,1,0,0,4.3595992314,5.37658746298,6.09254082849,6.808494194,15.576047457,1885.737549,1,"LL",1,1
"CLHS50P",10,7,85,85,26,8.3,8.1,5,5,6,6,4,4,6,4,4,6,0,0,0,0,3.83556728988,3.85059850996154,3.85059850996154,4.226379012,7.367169907,1925.391602,10,"LL",0,1
"CLHS57P",12,9,75,72,87,8.2,7.6,8,6,6,4,6,4,6,4,6,6,1,0,0,0,9.10905501848,8.72701843564,8.64167689816092,9.281489696,43.081380207,1996,3,"CL",3,1
"CLHS59P",12,8,82,76,149,8.2,7.8,7,5,4,4,4,3,4,2,2,4,1,1,0,0,6.74708706032,6.63520411616,6.03156863813,8.388036908,26.393160407,1993,3,"LL",1,1
"CLHS60P",19,8,75,55,149,8.2,7.6,7,5,6,3,4,3,4,4,4,4,1,1,0,0,8.5817133168,8.2603837994,8.24984307022,11.69215502,36.995026111,1982,2,"LL",1,1
"CLHS61P",10,8,75,73,149,8.6,7.8,7,4,6,4,5,3,4,4,4,4,1,1,0,0,8.6439655132,8.68314400714,8.54777112257,8.820193321,41.930893444,2001,7,"LL",1,6
"CLHS67P",12,6,78,70,122,NA,NA,7,5,4,3,4,4,6,3,3,3,1,1,0,0,9.28649342304,9.17295035702,8.30744728462,9.643319988,50.196921658,2006,3,"CL",2,1
"CLHS68P",9,4,84,75,139,8.2,8,7,5,4,3,4,3,4,2,2,3,1,1,0,0,7.3921476968,7.3023092974,5.78079019721,8.110854892,18.061251535,1978,0,"LV",0,1
"CLHS73P",13,7,79,68,96,8.4,7.9,8,4,6,2,5,3,6,3,3,4,1,0,0,0,9.41770671624,9.18427455162,8.66484552096875,10.0215894,42.362408429,1988,3,"CL",2,1
"CLHS77P",15,9,75,72,58,8.4,8,8,4,4,3,4,3,3,2,2,3,1,0,0,0,8.90158283852,9.2159468547,9.16099749239655,9.627503629,35.837412195,2020,4,"CL",3,3
"CLHS80P",14,9,76,70,152,8.6,8,8,4,6,1,7,3,6,3,3,4,1,1,1,0,8.46775871924,8.84244074762,9.17811550245,9.643319988,52.927674944,1884,4,"LL",3,1
"CLHS82P",9,8,80,80,64,8.1,7.9,7,7,6,4,4,4,6,4,4,6,1,0,0,0,5.9830982834,5.9534543772,5.94696977271875,6.220249533,12.144060004,1864,6,"LL",1,3
"CLHS85P",12,9,76,73,123,8.6,8.2,7,5,4,4,5,4,4,3,3,4,1,1,0,0,8.81908237824,8.74340880602,8.51404902351,9.082701726,41.421763057,1878,NA,"CL",2,NA
"CLHS90P",5,5,85,80,25,8.2,8,6,6,6,6,4,4,6,6,6,6,0,0,0,0,3.25308895164,3.25308895164,3.25308895164,5.079667113,7.622420113,1942.2146,4,"LL",0,1
"CLHS97P",10,9,80,75,145,NA,NA,7,6,6,4,4,4,6,4,4,4,1,1,0,0,7.13323566216,7.22018672208,7.67803791522,8.284689241,29.246016018,1874,2,"LV",2,0
"CLHS98P",17,9,75,64,152,8.3,7.4,8,5,6,4,6,3,6,4,4,4,1,1,1,0,10.27531939488,10.34207076424,9.79853292016,10.63016152,47.002438209,1886,1,"LL",2,1
