PedonID,HzNum,Method,Top,Bottom,Horizon,DryHue,DryValue,DryChroma,MoistHue,MoistValue,MoistChroma,RF_knd,RF_perc,RF_sz,Texture,Psand,SandSize,Pclay,pH,Effer
CLHS05P,2,Soil Pit,10,23,Bk,7.5YR,8,4,7.5YR,5,6,CAN,25,GR,SL,80,F,10,8.4,VE
CLHS05P,3,Soil Pit/Auger,23,91,C,7.5YR,8,3,7.5YR,5,6,SST,15,GR,LS,85,F,8,8.8,VE
CLHS05P,4,NA,91,91,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS06P,1,Soil pit,0,5,A,7.5YR,7,4,7.5YR,4,3,GR,1,CAN,FLS,80,F,8,8,ST
CLHS06P,2,Soil pit,5,19,Bk1,7.5YR,7,4,7.5YR,4,4,GR,1,CAN,FLS,85,F,7,8.2,VE
CLHS06P,3,Soil Pit,19,39,Bk2,7.5YR,8,4,7.5YR,4,6,GR,1,CAN,FLS,85,F,5,8.2,VE
CLHS06P,4,Soil pit/auger,39,70,Bk3,7.5YR,7,4,7.5YR,5,4,GR,5,CAN,SL,75,M,10,8.2,VE
CLHS06P,5,auger,70,80,Bk4,7.5YR,8,4,7.5YR,4,6,GR,25,CAN,LS,80,M,9,8.2,VE
CLHS06P,6,auger,80,115,Bk5,7.5YR,7,6,7.5YR,5,6,GR,1,CAN,LS,80,VF,9,8,VE
CLHS06P,7,auger,115,161,Bk6,7.5YR,6,4,7.5YR,4,3,GR,1,CAN,L,50,VF,21,NA,NA
CLHS07P,1,Soil pit,0,8,A,7.5YR,7,4,7.5YR,5,6,SST,30,GR,LS,85,F,8,8.2,VE
CLHS07P,2,Soil pit,8,27,C,7.5YR,7,4,7.5YR,4,6,SST,37.5,GR,LS,85,F,8,8.2,VE
CLHS07P,3,NA,27,27,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS08P,1,Soil Pit,0,6,A,7.5YR,7,4,7.5YR,4,6,CAN,1,GR,LS,85,VF,6,8.1,VE
CLHS08P,2,Soil Pit,9,25,Bk1,7.5YR,7,6,7.5YR,5,6,CAN,1,GR,LS,85,VF,6,8.3,VE
CLHS08P,3,Soil Pit/Auger,25,110,Bk2,7.5YR,7,4,7.5YR,5,6,CAN,5,GR,LS,85,VF,4,8.4,VE
CLHS08P,4,Auger,110,150,Bk3,7.5YR,7,6,7.5YR,5,6,CAN,1,GR,LS,80,VF,7,8.6,VE
CLHS09P,1,Soil Pit,0,9,A,7.5YR,6,4,7.5YR,4,6,CAN,1,GR,LS,85,VF,5,8.1,SL
CLHS09P,2,Soil Pit,9,28,Bk,7.5YR,6,6,7.5YR,5,6,CAN,2.5,GR,SL,70,F,10,8.5,VE
CLHS09P,3,Soil Pit,28,45,C,10YR,7,4,10YR,5,6,SST,50,GR,SL,70,F,15,8.6,VE
CLHS09P,4,NA,45,45,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS10P,1,Soil pit,0,9,A,5YR,6,6,5YR,4,4,CAN,5,GR,LS,85,VF,5,8.1,VE
CLHS10P,2,Soil pit,9,28,Bk,5YR,5,6,5YR,4,4,CAN,1,GR,SL,75,F,10,8.1,VE
CLHS10P,3,Soil pit/auger,28,53,C,5YR,7,4,5YR,5,4,SST,10,GR,LS,87,F,4,8.6,VE
CLHS10P,4,NA,53,53,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS11P,1,Soil Pit,0,7,A,5YR,6,6,5YR,4,6,CAN,5,GR,LS,85,VF,8,8.1,VE
CLHS11P,2,Soil Pit,7,30,Bk1,5YR,5,6,5YR,4,4,CAN,5,GR,LS,85,VF,6,8.3,VE
CLHS11P,3,Soilt Pit/Auger,30,72,Bk2,5YR,6,6,5YR,4,6,CAN,5,GR,LS,85,VF,6,8.3,VE
CLHS11P,4,Auger,72,150,Bk3,5YR,5,6,5YR,4,4,CAN,5,GR,SL,75,VF,8,8.6,VE
CLHS12P,1,Soil Pit,0,9,A,5YR,5,4,5YR,4,4,SST,25,GR,LS,85,VF,5,8.1,VE
CLHS12P,2,Soil Pit,9,30,C1,5YR,4,4,5YR,3,4,SST,15,GR,SL,75,VF,10,8.4,VE
CLHS12P,3,Soil Pit/Auger,30,65,C2,5YR,4,4,5YR,3,4,SST,75,GR,SL,75,F,10,8.4,VE
CLHS12P,4,NA,65,65,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS13P,1,Soil pit,0,13,A,7.5YR,5,6,7.5YR,4,6,CAN,1,GR,SL,75,VF,10,8.1,VE
CLHS13P,2,Soil pit/auger,13,48,Bk1,7.5YR,7,4,7.5YR,5,6,CAN,1,GR,SL,75,VF,8,8.5,VE
CLHS13P,3,auger,48,88,Bk2,7.5YR,7,4,7.5YR,5,6,CAN,1,GR,LS,80,VF,7,8.7,VE
CLHS13P,4,auger,88,133,Bw1,7.5YR,8,2,7.5YR,6,4,SST,1,GR,S,90,VF,4,8.8,VE
CLHS13P,5,auger,133,150,Bw2,7.5YR,6,6,7.5YR,5,6,NA,0,NA,S,90,VF,6,8.9,VE
CLHS14P,1,Soil Pit,0,5,A,7.5YR,8,4,7.5YR,5,4,CAN,5,GR,LS,80,VF,6,8.1,ST
CLHS14P,2,Soil Pit,5,13,Bk1,7.5YR,6,4,7.5YR,4,6,CAN,10,GR,LS,85,VF,8,8.2,VE
CLHS14P,3,Soil Pit,13,31,Bk2,7.5YR,8,3,7.5YR,4,6,CAN,15,GR,SL,70,VF,6,8.4,VE
CLHS14P,4,NA,31,31,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS15P,1,Soil Pit,0,8,A,7.5YR,7,6,7.5YR,4,6,CAN,1,GR,LS,80,VF,6,8,SL
CLHS15P,2,Soil Pit,8,15,Bk1,7.5YR,7,4,7.5YR,4,6,CAN,5,GR,LS,80,VF,8,8.2,ST
CLHS15P,3,Soil Pit,15,31,Bk2,7.5YR,6,6,7.5YR,5,6,CAN,5,GR,SL,75,VF,10,8.5,VE
CLHS15P,4,Soil Pit,31,44,Bk3,7.5YR,7,6,7.5YR,6,4,CAM,15,GR,SL,70,F,10,8.6,VE
CLHS15P,5,NA,44,44,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS16P,1,Soil Pit,0,9,A,7.5YR,7,4,7.5YR,4,6,CAN,1,GR,LS,85,VF,6,8.1,ST
CLHS16P,2,Soil Pit,9,28,Bk,7.5YR,6,4,7.5YR,4,6,CAN,5,GR,LS,80,VF,8,8.3,VE
CLHS16P,3,NA,28,28,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS17P,1,Soil Pit,0,5,A,7.5YR,7,4,7.5YR,5,6,CAN,1,GR,LS,85,VF,7,8,ST
CLHS17P,2,Soil Pit,5,14,Bk1,7.5YR,7,6,7.5YR,4,6,CAN,5,GR,LS,80,VF,8,8.3,VE
CLHS17P,3,Soil Pit,14,26,Bk2,7.5YR,7,6,7.5YR,4,4,CAN,10,GR,SL,75,VF,10,8.3,VE
CLHS17P,4,NA,26,26,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS18P,1,Soil pit,0,5,A,5YR,6,4,5YR,4,4,SST,1,GR,LS,85,VF,6,8.1,ST
CLHS18P,2,NA,5,5,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS19P,1,Soil Pit,0,3,A,7.5YR,5,4,5YR,3,3,NA,0,NA,VFSL,75,VF,10,8,NE
CLHS19P,2,Soil Pit,3,10,ABw,5YR,4,4,5YR,3,3,NA,0,NA,VFSL,75,VF,10,8.1,VS
CLHS19P,3,Soil Pit/Auger,10,53,Bw,5YR,5,4,5YR,4,3,GR,1,M,VFSL,75,VF,10,8.3,ST
CLHS19P,4,Auger,53,85,Bk,5YR,6,4,5YR,4,4,GR,2,F,VFSL,76,VF,10,8.4,VE
CLHS19P,5,Auger,85,100,Bkk,5YR,7,3,5YR,5,4,GR,35,F.M,FSL,77,F,9,8.5,VE
CLHS19P,6,Auger,100,130,B'k,5YR,6,4,5YR,4,6,GR,4,M,VFSL,77,VF,9,8.6,VE
CLHS19P,7,Auger,130,153,B'kk,2.5YR,7,3,2.5YR,4,4,GR,15,C,VFSL,75,VF,12,8.6,VE
CLHS20P,1,Soil pit,0,3,A,7.5YR,5,4,5YR,4,3,CH,10,NA,VFSL,60,VF,10,8.2,ST
CLHS20P,2,Soil pit,3,10,BA,5YR,5,4,5YR,3,4,GR,25,NA,L,45,VF,15,8.1,ST
CLHS20P,3,Soil pit,10,32,Bk,2.5YR,5,4,2.5YR,4,4,GR,40,NA,L,50,F,18,8.1,VE
CLHS20P,4,Auger,32,41,Cr/Bk,2.5YR,5,4,2.5YR,4,4,NA,NA,NA,L,42,F,18,8.2,VE
CLHS20P,5,Auger,41,46,Cr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VE
CLHS20P,6,Auger,46,46,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS21P,1,Soil Pit,0,10,A,5YR,5,6,5YR,4,4,CAN,1,GR,LS,85,VF,8,8.1,VE
CLHS21P,2,Soil Pit,10,26,Bk1,5YR,5,6,5YR,4,4,CAN,5,GR,SL,80,VF,10,8.4,VE
CLHS21P,3,Soil Pit/Auger,26,82,Bk2,5YR,5,6,5YR,4,4,SST,1,GR,LS,85,VF,5,8.4,VE
CLHS21P,4,Auger,82,95,Bk3,5YR,5,6,5YR,4,4,SST,15,GR,LS,88,F,4,8.5,VE
CLHS22P,1,Soil pit,0,5,A,5YR,6,6,5YR,3,4,NA,0,NA,VFLS,82,VF,9,8,NE
CLHS22P,2,Soil pit,5,17,AB,5YR,5,4,5YR,4,4,NA,0,NA,VFSL,70,VF,15,8.3,VE
CLHS22P,3,Soil pit/auger,17,53,NA,5YR,6,4,5YR,4,6,NA,0,NA,VFSL,76,VF,12,8.4,VE
CLHS22P,4,Auger,53,80,Bk,7.5YR,7,4,5YR,5,6,NA,0,NA,VFSL,78,VF,11,8.4,VE
CLHS22P,5,Auger,80,130,Bkk,7.5YR,7,3,5YR,4,4,NA,0,NA,VFSL,75,VF,13,8.6,VE
CLHS22P,6,Auger,130,154,NA,7.5YR,7,4,7.5YR,5,4,NA,0,NA,VFSL,65,VF,15,8.6,VE
CLHS23P,1,NA,0,3,A,5YR,5,4,5YR,4,3,NA,0,NA,VFSL,75,VF,12,7.6,NE
CLHS23P,2,NA,3,12,BA,5YR,6,6,5YR,4,4,NA,0,NA,VFLS,85,VF,8,8,VS
CLHS23P,3,NA,12,54,BW1,5YR,5,4,5YR,4,4,GR,20,NA,VFSL,60,VF,10,8.1,SL
CLHS23P,4,NA,54,63,BW2,7.5YR,5,6,5YR,4,6,GR,3,NA,FSL,70,F,14,8.2,ST
CLHS23P,5,NA,63,81,BK,5YR,6,4,5YR,4,4,NA,NA,NA,VFSL,60,VF,15,8.4,VE
CLHS23P,6,NA,81,81,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS24P,1,Pit,0,5,A,7.5YR,6,4,5YR,4,3,MG,1,NA,VFSL,72,VF,12,8,SL
CLHS24P,2,Pit,5,19,ABw,5YR,5,4,5YR,3,4,MG,4,NA,VFSL,75,VF,11,8.1,SL
CLHS24P,3,Pit,19,36,Bk,5YR,5,4,5YR,3,4,MG,7,NA,VFSL,72,VF,12,8.1,VE
CLHS24P,4,Pit,36,48,Bkk,5YR,7,3,5YR,4,4,CG,25,GR,VFSL,70,VF,15,8.2,VE
CLHS25P,1,Soil pit,0,6,A,5YR,5,3,5YR,3,3,NA,0,NA,FSL,76,F,9,8,NE
CLHS25P,2,Soil pit/auger,6,35,Bw,5YR,6,6,5YR,6,4,NA,0,NA,FSL,75,F,8,8.1,ST
CLHS25P,3,Auger,35,88,Bk1,5YR,7,4,5YR,4,6,NA,0,NA,FSL,74,F,10,8.2,VE
CLHS25P,4,Auger,88,149,Bk2,5YR,7,6,7.5YR,4,6,M,3,GR,LMS,82,M,7,8.4,VE
CLHS26P,1,Soil pit,0,9,A,7.5YR,5,6,7.5YR,4,6,SST,1,GR,LS,80,VF,5,8.2,VE
CLHS26P,2,Soil pit,9,17,Bw1,7.5YR,5,6,7.5YR,4,6,SST,5,GR,LS,80,VF,5,8.3,VE
CLHS26P,3,Soil pit,17,31,Bw2,7.5YR,7,3,7.5YR,6,4,SST,15,GR,SL,75,VF,10,8.6,VE
