,ACHY,AMID,AMSIN,ARPU9,ARTR2,ARTR2/D,ATCA2,ATCA2/D,BOGR,BOGR/D,BRTE,CHVI8,CHVI8/D,CLLU2,ECCOC,ELEL,EPVI,ERCI6,GRFA,GUSA,GUSA/D,HECO26,HECO26/D,JUOS,KRLA2,LAOC3,LEMO2,OPPO,OPPO/D,PIED,PIED/D,PLPA2,SALS0,SALS0/D,SPCO,SPCR/D,UNKSPR,HIJA,UNKF10
B1_1,0,0,0,0,0.064377682,0.051502146,0,0.004291845,0.060085837,0.004291845,0,0,0,0,0.004291845,0,0,0,0,0.004291845,0.004291845,0.008583691,0,0,0.017167382,0,0,0,0,0,0,0,0,0,0,0.021459227,0,0,0
B1_10,0,0,0,0,0.014925373,0.034825871,0,0,0.71641791,0.039800995,0,0,0,0,0,0,0,0,0,0.044776119,0,0.124378109,0,0,0.009950249,0,0,0,0,0,0,0,0,0,0,0.004975124,0,0,0
B1_2,0,0,0,0,0,0,0.094736842,0,0.131578947,0,0.010526316,0,0,0,0,0,0,0.010526316,0,0.021052632,0,0.105263158,0,0,0.010526316,0,0,0.021052632,0,0,0,0,0.005263158,0,0,0,0,0,0
B1_3,0.010869565,0,0,0.048913043,0,0,0.032608696,0,0.119565217,0.027173913,0.010869565,0,0,0,0,0,0,0,0,0,0,0.010869565,0,0,0.010869565,0,0,0.119565217,0,0,0,0,0.005434783,0.005434783,0,0,0,0,0
B1_4,0,0,0,0,0,0.011299435,0.028248588,0,0.129943503,0.028248588,0.050847458,0,0,0,0,0,0,0.005649718,0,0,0,0,0,0,0.016949153,0.056497175,0,0.016949153,0,0,0,0,0,0,0,0.005649718,0.005649718,0,0
B1_5,0,0,0,0,0,0.012345679,0.086419753,0,0.432098765,0.012345679,0.012345679,0,0,0,0,0,0,0,0,0,0.00617284,0.104938272,0.012345679,0,0,0,0,0,0,0,0,0,0,0,0,0.012345679,0,0,0
B1_6,0,0,0,0,0,0.014218009,0.061611374,0,0.393364929,0.023696682,0.023696682,0.009478673,0,0,0,0.004739336,0,0,0,0.009478673,0,0.056872038,0,0,0,0,0,0.004739336,0,0,0,0,0,0,0,0.004739336,0.004739336,0,0
B1_7,0.023364486,0,0,0,0.121495327,0.056074766,0.014018692,0,0.313084112,0.018691589,0.004672897,0.014018692,0,0,0,0,0,0,0.009345794,0,0,0.042056075,0,0,0,0.028037383,0,0.014018692,0,0,0,0.004672897,0,0,0,0,0.009345794,0,0
B1_8,0,0,0.005882353,0,0,0,0.011764706,0,0.005882353,0,0.011764706,0,0,0.005882353,0,0.005882353,0,0.005882353,0,0,0,0,0,0,0.005882353,0.094117647,0,0.017647059,0,0,0,0.064705882,0,0,0,0,0,0,0
B1_9,0,0,0,0,0,0.034825871,0,0,0.23880597,0.009950249,0,0,0,0,0,0,0,0,0,0.009950249,0,0.15920398,0,0,0,0,0,0.004975124,0,0,0,0,0,0,0,0.009950249,0,0,0
B2_1,0,0.021978022,0,0.005494505,0,0,0,0,0.373626374,0.021978022,0.005494505,0,0,0.005494505,0,0,0,0,0,0,0,0.038461538,0,0,0.054945055,0.043956044,0,0.082417582,0,0,0,0.005494505,0,0,0,0,0,0,0
