,ACHY,AMID,ARPU9,ARTR2,ARTR2.D,ATCA2,ATCA2.D,Bare.Soil,BOGR2,BRTE,CHLE4,ECCOC,ELEL5,EPVI,ERCI6,GRFA,GUSA2,GUSA2.D,HECO26,JUOS,KRLA2,LEMO2,OPPO,OPPO.D,PEPU7,PHAU3,PIED,PIED.D,PLPA2,SALSO,SPCR,CLLU2,LAOC3,SALSO.D,SPCO,HIJA
19,0.555555556,0,0,12.22222222,1.666666667,1.111111111,0,25,22.77777778,0,0.555555556,0,0,1.111111111,0,0,0,0,12.22222222,0,0,0,0,0,0,0,0,0,0,0,0.555555556,0,0,0,0,0
20,0,0,0,0,0,0,0,29.44444444,10.55555556,0,0,0,1.111111111,0,0,0,2.222222222,0.555555556,21.11111111,0,0.555555556,0,0,0,0,0,15.55555556,0,0,0,0,0,0,0,0,0
21,1.666666667,0,0,0,1.111111111,2.222222222,0,11.11111111,11.66666667,0,0,0,0,0,0,0,0,0,31.11111111,0,0,0,0,0,0,0,0,0,0,0,0.555555556,0,0,0,0,0
23,0,0,0,0,0,3.333333333,0,26.11111111,22.22222222,1.666666667,0,0,0,0,0,0,0.555555556,1.666666667,6.111111111,0,1.111111111,0,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0
24,0,0,0,3.333333333,1.666666667,0.555555556,0,23.33333333,8.888888889,0,0,0,0,0.555555556,0,0,0.555555556,0,21.11111111,0.555555556,0,0,0,0,0,0,0,0,0,0,2.222222222,0,0,0,0,0
32,0,0,0,0,0.555555556,2.222222222,0,20,41.11111111,0.555555556,0,0,0,0,0,0,0,0,2.777777778,0,1.666666667,0,3.888888889,0,0,0,0,0,0,0,8.888888889,0,0,0,0,0
33,1.666666667,0,0,0.555555556,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9.444444444,0,0.555555556,0,0,2.222222222,0.555555556,9.444444444,10.55555556,0,0,0,0,0,0,0,0
38,0,0,0,2.222222222,0,2.777777778,0,21.66666667,29.44444444,0,0,0,0,0,0,0,7.777777778,1.111111111,13.33333333,0,0,0,0,0,0,0,0,0,0,0,2.222222222,0,0,0,0,0
39,0,0,1.111111111,0,0,0,0,8.333333333,5,0,0,0.555555556,0,0,0,0,0,2.222222222,0,8.333333333,0,0,1.111111111,0,0,0,16.11111111,3.888888889,0,0,0,0,0,0,0,0
40,0.555555556,0,0,1.111111111,1.666666667,3.888888889,0,11.11111111,20,0.555555556,0,0,0,0,0,0,1.666666667,0,19.44444444,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
