,ACHY,AMID,ARPU9,ARTR2,ARTR2.D,ATCA2,ATCA2.D,Bare.Soil,BOGR2,BRTE,CHLE4,ECCOC,ELEL5,EPVI,ERCI6,GRFA,GUSA2,GUSA2.D,HECO26,JUOS,KRLA2,LEMO2,OPPO,OPPO.D,PEPU7,PHAU3,PIED,PIED.D,PLPA2,SALSO,SPCR,CLLU2,LAOC3,SALSO.D,SPCO,HIJA
M1_7,0,1,0,0,0,12.33333333,0,10.33333333,0,18.66666667,0,0,0,0,2.333333333,0.333333333,0,0,0,0,0,0,2,0,0,0,0,0,1,0.333333333,25.33333333,0,3.333333333,0,0,0
M1_8,0,0,0,0,0,4,1.333333333,22.66666667,0,0.333333333,0,0,0,0,0.666666667,0,0,0,0,0,0,0,2.333333333,0,0,0,0,0,0,8,29.66666667,0,0,0.333333333,0,0
M2_1,2,0,0.333333333,1,5.333333333,0.666666667,0,17,37,0.333333333,0,0,0,0,0,0,3,0,9.333333333,0,0,0,0.333333333,0,0,0,0,0,0,0,11,0,0,0,0,0
M2_10,0,4,0,0.333333333,0,6.333333333,0,21.66666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,1.333333333,23.66666667,0,1.666666667,0,0,0
M2_3,0.333333333,0,0,0,6.666666667,1.333333333,0.666666667,9.666666667,39,0,0,0,0,0,0,0,1.666666667,0.333333333,19.33333333,0,0,0,2,0,0,0,0,0,0,0,7.666666667,0,0,0,0,0
M2_5,0,2.666666667,0,0,0,3.666666667,0,17.33333333,28,0.333333333,0,0,0,0,0,1.333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,1.666666667,1,0,0,0
M2_6,0,0.333333333,0,0,0,10.66666667,1.666666667,22.66666667,0,0.666666667,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0.333333333,1,25,0,0,0,0,0
M2_7,0,0,0,0,0,4.666666667,0,18.33333333,1.666666667,5,0,0,0,0,3.666666667,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,26,0,0.333333333,0.666666667,0,0
M2_8,0,8,0,0,0,3,0,16.33333333,10.66666667,0.666666667,0,0,0.333333333,0,0,0.666666667,0,0,0,0,1,0,1,0,0,0,0,0,3,0,34.33333333,0,3.666666667,0,0,0
M2_9,0,1.666666667,0,0,1.666666667,3.333333333,0,13,8.333333333,0,0,0,0,0,0.666666667,1.666666667,0,0,0.333333333,0,0.333333333,0,2.333333333,0,0,0,0,0,2.333333333,0,21.33333333,0,6.333333333,0,0,0
M3_1,0,0,0,0,0,0,0,17.66666667,36.33333333,0.333333333,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,19,0,1,0,0,0
M3_2,1.666666667,0,0,1.333333333,8.666666667,1,0,18,32,0,0,0,0.333333333,0,0,0,4.333333333,0,11.66666667,0,0,0,0,0,0,0,0,0,0,0,3,0,0.333333333,0,0,0
M3_3,7,0,0,0.666666667,0.333333333,2,1.333333333,15.33333333,29,0,0,0,0,0,0,0,6.333333333,0.333333333,21,0,0,0,0.333333333,0,0,0,0,0,0,0,5,0,0.333333333,0,1,0
M3_5,0,0,0,0,6,0.666666667,0.666666667,8.333333333,43.66666667,0.333333333,0,0,0,0,0,0,0,0,5.666666667,0,0,0,0.333333333,0.333333333,0,0,0,0,0.333333333,0,17.66666667,0,0,0,0,0
M3_7,0,3,0,0.666666667,0.333333333,0,0,14.66666667,7.333333333,4,0,0,0,0,0,0.333333333,0,0,0,0,0.666666667,0,0.333333333,0.333333333,0,0,0,0,1.666666667,0,18.33333333,0.666666667,4.666666667,1.333333333,0.333333333,0
M3_8,2.333333333,0,0,0,8.666666667,3,0,17,28.33333333,0.666666667,0,0,0,0,0,0,0.666666667,0.666666667,16.66666667,0,0,0,1.666666667,0,0,0,0,0,0.666666667,0,7.333333333,0,0,0,0,0
M4_2,4.666666667,0,0,1.666666667,0,2.333333333,0.333333333,11,23.66666667,0,0,0,0,0.333333333,0,0,8.333333333,1,13.66666667,0,1,0,0,0,0,0,0,0,0,0,13.66666667,0,0.333333333,0,0,0
M4_3,2.666666667,0,0,0,4.333333333,0.333333333,0,8.333333333,44.33333333,0,0,0.333333333,0,0.333333333,0,0,2.666666667,0.333333333,20.33333333,0,0,0,0.666666667,0,0,0,0,0,0,0,5,0,0,0,0,0
M4_4,0,1,0,0,0.333333333,0,0,21,39.33333333,0,0,0,0,0,0,0,0,0,5.666666667,0,1,0,4,0.333333333,0,0,0,0,0.666666667,0,7.333333333,0.666666667,0,0,0,0
M4_5,0,4.333333333,0,0,0,0,0,12.66666667,14,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0,0,0,3.333333333,0,0,0,0,0,0.333333333,0,23.33333333,1,8,0,0,0
M4_6,2,0,0,0.666666667,6.333333333,2,0,15,23.66666667,0,0,0,0.333333333,0,0,0,3.666666667,0,7,0,0,0,0,0,0,0,0,0,0,0,10.66666667,0,0,0,0,0
M4_7,2.666666667,0,0.333333333,0,3,0.666666667,0,13.33333333,21.33333333,0,0,0,0,0,0,0,16.66666667,0.666666667,9.333333333,0,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,1.333333333,0,0,0,0,0
M4_9,0,0,0.333333333,11.66666667,1.333333333,3,0,36,29.33333333,0,0,0,0.666666667,0,0,0,2.333333333,0,0.333333333,0,0,0,5.666666667,0,0,0,0,0,0,0,3,0,0,0,0,0
