"","ACHY","AMID","ARPU9","ARTR2","ARTR2.D","ATCA2","ATCA2.D","Bare.Soil","BOGR2","BOGR2.D","BRTE","CHLE4","CHVI8","CLLU2","ECCOC","ELEL5","EPVI","ERCI6","GRFA","GUSA2","GUSA2.D","HECO26","HECO26.D","JUOS","KRLA2","LAOC3","LEMO2","OPPO","OPPO.D","PEPU7","PIED","PLPA2","SALSO","SALSO.D","SPCO","SPCR","SPCR.D","CHVI8.D","HIJA"
"B2_1",0,0.0266666666666667,0.00666666666666667,0,0,0,0,0.446666666666667,0.453333333333333,0.0266666666666667,0.00666666666666667,0,0,0.00666666666666667,0,0,0,0,0,0,0,0.0466666666666667,0,0,0.0666666666666667,0.0533333333333333,0,0.1,0,0,0,0.00666666666666667,0,0,0,0.406666666666667,0,0,0
"B2_10",0,0,0,0.06,0.0666666666666667,0,0,0.466666666666667,0.413333333333333,0.0266666666666667,0,0,0,0,0,0,0,0,0.0266666666666667,0,0,0.333333333333333,0.0133333333333333,0,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0
"B2_2",0,0,0,0,0.06,0.0466666666666667,0,0.293333333333333,0.873333333333333,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0
"B2_4",0,0,0,0.02,0.02,0,0,0.2,0.726666666666667,0.0333333333333333,0.00666666666666667,0,0,0,0,0,0,0,0.00666666666666667,0,0,0.0666666666666667,0,0,0.0333333333333333,0,0,0,0,0,0,0,0.00666666666666667,0,0,0.26,0.02,0,0
"B2_5",0.0266666666666667,0,0,0,0.04,0,0,0.233333333333333,0.706666666666667,0.0266666666666667,0,0,0,0,0,0,0,0,0,0,0.00666666666666667,0.126666666666667,0,0,0,0,0,0.00666666666666667,0,0,0,0,0,0,0,0.38,0.0133333333333333,0,0
"B2_6",0.00666666666666667,0,0,0,0.00666666666666667,0.00666666666666667,0,0.313333333333333,0.64,0.02,0,0,0.06,0,0,0,0,0,0.0133333333333333,0,0,0.193333333333333,0,0,0.00666666666666667,0,0,0.0266666666666667,0,0,0,0.00666666666666667,0,0,0,0.14,0.00666666666666667,0,0
"B2_7",0.00666666666666667,0,0,0,0.12,0,0.0133333333333333,0.313333333333333,0.68,0.02,0,0,0.00666666666666667,0,0.00666666666666667,0,0,0,0,0.00666666666666667,0.00666666666666667,0.113333333333333,0,0,0,0.0133333333333333,0.00666666666666667,0,0,0,0,0,0,0,0,0.22,0,0,0
"B2_8",0,0,0,0,0,0,0,0.553333333333333,0.353333333333333,0.1,0,0,0,0,0,0,0,0,0,0,0,0.0266666666666667,0,0,0,0,0,0.16,0.00666666666666667,0,0,0,0,0,0,0.506666666666667,0.0333333333333333,0,0
"B2_9",0,0,0,0.0333333333333333,0.04,0.00666666666666667,0,0.46,0.706666666666667,0.04,0,0,0,0,0,0,0,0,0,0,0,0.133333333333333,0,0,0.0266666666666667,0,0,0,0,0,0,0,0,0,0,0.2,0.00666666666666667,0,0
"B3_1",0.0266666666666667,0,0,0.0133333333333333,0.04,0,0,0.36,0.466666666666667,0.04,0,0,0,0,0,0,0.00666666666666667,0,0,0.166666666666667,0.0133333333333333,0.353333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0266666666666667,0.00666666666666667,0,0
"B3_10",0,0,0,0.106666666666667,0.0466666666666667,0.02,0,0.273333333333333,0.446666666666667,0.0133333333333333,0,0,0,0,0,0.00666666666666667,0,0,0,0.00666666666666667,0.00666666666666667,0.12,0.00666666666666667,0.0333333333333333,0.0133333333333333,0,0,0,0,0,0.0333333333333333,0,0,0.00666666666666667,0,0.28,0,0,0
"B3_2",0,0,0,0,0.0133333333333333,0,0,0.393333333333333,0.413333333333333,0.0466666666666667,0,0,0,0,0,0.00666666666666667,0,0,0,0.0333333333333333,0,0.233333333333333,0.00666666666666667,0,0.0266666666666667,0,0,0.00666666666666667,0,0,0,0,0,0,0,0.293333333333333,0,0,0
"B3_3",0,0,0,0,0,0.00666666666666667,0,0.573333333333333,0.453333333333333,0.0266666666666667,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133333333333333,0,0.0133333333333333,0,0,0,0,0.06,0.0133333333333333,0,0.213333333333333,0.0266666666666667,0,0
"B3_4",0,0.00666666666666667,0,0,0,0.0266666666666667,0,0.233333333333333,0.68,0.02,0.00666666666666667,0,0,0,0,0,0,0.04,0,0,0,0.0533333333333333,0,0,0,0.0133333333333333,0,0.173333333333333,0,0,0,0.00666666666666667,0.00666666666666667,0,0,0.533333333333333,0.00666666666666667,0,0
"B3_5",0,0,0,0,0,0,0,0.46,0.246666666666667,0,0,0,0,0.00666666666666667,0,0,0,0.0133333333333333,0,0.00666666666666667,0,0.0133333333333333,0,0.00666666666666667,0.00666666666666667,0,0,0,0,0,0,0,0.0866666666666667,0.00666666666666667,0,0.613333333333333,0.02,0,0
"B3_6",0.0133333333333333,0,0,0.00666666666666667,0.153333333333333,0.0266666666666667,0,0.273333333333333,0.586666666666667,0.0533333333333333,0,0,0.00666666666666667,0,0,0,0,0,0,0,0.00666666666666667,0.333333333333333,0.02,0,0,0,0,0.00666666666666667,0,0,0,0,0,0,0,0.213333333333333,0,0,0
"B3_7",0.0266666666666667,0,0,0.0133333333333333,0.0933333333333333,0.0333333333333333,0,0.313333333333333,0.506666666666667,0.0266666666666667,0,0,0,0,0,0,0.0133333333333333,0,0,0.14,0.0466666666666667,0.393333333333333,0.00666666666666667,0,0,0,0,0,0,0,0.02,0,0,0,0,0.0333333333333333,0,0,0
"B3_8",0,0,0,0,0.0133333333333333,0,0,0.366666666666667,0.753333333333333,0.04,0,0,0,0,0,0,0,0,0,0,0.00666666666666667,0,0,0,0,0.00666666666666667,0,0,0.00666666666666667,0,0,0,0,0,0,0.0733333333333333,0.00666666666666667,0,0
"B3_9",0,0.00666666666666667,0,0,0,0,0,0.34,0.926666666666667,0.02,0.00666666666666667,0,0,0,0,0,0,0,0.00666666666666667,0,0,0.0533333333333333,0.00666666666666667,0,0,0.0133333333333333,0,0.0933333333333333,0,0,0,0.0266666666666667,0,0,0,0.186666666666667,0.00666666666666667,0,0
"B4_1",0.0266666666666667,0,0,0.00666666666666667,0.04,0.0133333333333333,0.02,0.306666666666667,0.506666666666667,0.0266666666666667,0,0,0,0,0,0,0,0,0,0.04,0.04,0.386666666666667,0.0133333333333333,0,0,0,0,0.00666666666666667,0.00666666666666667,0,0,0,0,0,0.00666666666666667,0.153333333333333,0,0,0
"B4_10",0.0133333333333333,0,0,0,0.0333333333333333,0.0533333333333333,0,0.58,0.286666666666667,0.02,0,0,0.00666666666666667,0,0,0,0,0,0,0.0666666666666667,0.02,0.513333333333333,0,0.00666666666666667,0,0,0,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0
"B4_2",0.00666666666666667,0,0.00666666666666667,0.00666666666666667,0.0466666666666667,0.04,0,0.32,0.406666666666667,0.02,0.0133333333333333,0,0,0,0,0,0,0,0,0.0533333333333333,0.0133333333333333,0.04,0,0,0,0,0,0.0266666666666667,0,0.00666666666666667,0,0,0,0,0,0.173333333333333,0,0,0
"B4_3",0,0,0,0.00666666666666667,0.113333333333333,0.00666666666666667,0,0.333333333333333,0.693333333333333,0.1,0,0,0,0,0,0,0,0,0,0.02,0.0133333333333333,0.133333333333333,0,0,0,0,0.00666666666666667,0,0,0,0.04,0,0,0,0,0.0666666666666667,0,0,0
"B4_4",0.0133333333333333,0,0,0,0.0666666666666667,0,0,0.366666666666667,0.58,0.0533333333333333,0,0,0,0,0,0,0,0,0,0,0.00666666666666667,0.22,0.0133333333333333,0.00666666666666667,0,0,0,0.00666666666666667,0,0,0,0,0,0,0,0.246666666666667,0,0,0
"B4_6",0,0,0,0.0733333333333333,0.0333333333333333,0,0,0.273333333333333,0.266666666666667,0.04,0,0,0,0,0,0,0,0,0,0.00666666666666667,0.00666666666666667,0.126666666666667,0,0,0.0133333333333333,0,0,0.02,0,0,0,0,0,0,0,0.706666666666667,0.0133333333333333,0,0
"B4_7",0,0,0,0,0.02,0.0333333333333333,0,0.16,0.8,0.06,0,0,0,0,0,0,0,0,0,0,0,0.00666666666666667,0,0,0.00666666666666667,0,0,0.02,0.00666666666666667,0,0,0,0,0.00666666666666667,0,0.306666666666667,0.0266666666666667,0,0
"B4_8",0.0133333333333333,0,0,0,0,0.0866666666666667,0,0.246666666666667,0,0,0.16,0,0,0,0,0,0,0,0,0,0.00666666666666667,0.00666666666666667,0,0,0,0,0,0.246666666666667,0,0,0,0,0,0.00666666666666667,0,0.853333333333333,0.0133333333333333,0,0
"B4_9",0.04,0,0,0,0.04,0.00666666666666667,0,0.293333333333333,0.24,0.0333333333333333,0,0,0,0,0,0.00666666666666667,0,0,0,0.02,0.00666666666666667,0.206666666666667,0,0.02,0,0,0,0.0266666666666667,0.00666666666666667,0,0.126666666666667,0,0,0,0,0.166666666666667,0,0,0
"IL1_1",0,0,0,0.22,0.0466666666666667,0,0,0.446666666666667,0.653333333333333,0.0333333333333333,0,0,0,0,0,0,0,0.0133333333333333,0,0,0,0.0733333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0933333333333333,0,0,0.0133333333333333
