ident	Latitude	Longitude	y_proj	x_proj	comment	altitude
61-2	38.00119216	-109.8894724	4206528.447	597502.24	02-AUG-13 8:48:45AM	2010.948242
61-3	38.00109417	-109.8896205	4206517.42	597489.3657	02-AUG-13 8:47:57AM	2011.669434
61-4	38.00127531	-109.8898956	4206537.23	597464.9653	02-AUG-13 8:46:20AM	2013.351563
61-5	38.00137572	-109.8897921	4206548.48	597473.9212	02-AUG-13 8:45:15AM	2011.669434
61-6	38.00148292	-109.8896396	4206560.535	597487.1732	02-AUG-13 8:44:36AM	2010.948242
62	37.97182683	-109.8741169	4203286.359	598889.8627	62	
63	37.97163354	-109.9207982	4203216.361	594789.8617	63	
63-1	38.00099568	-109.9040885	4206491.432	596219.2039	01-AUG-13 3:06:28PM	1996.047852
63-2	38.0008568	-109.9041086	4206476.001	596217.6192	01-AUG-13 3:07:26PM	1996.528564
63-3	38.00073191	-109.904104	4206462.148	596218.1872	01-AUG-13 3:08:07PM	1999.172119
63-4	38.00073559	-109.9044376	4206462.213	596188.8922	01-AUG-13 3:09:20PM	1999.652832
63-5	38.00085596	-109.9044305	4206475.575	596189.3531	01-AUG-13 3:10:00PM	1997.730225
63-6	38.00097255	-109.9044263	4206488.516	596189.5688	01-AUG-13 3:10:38PM	1996.28833
64	37.97135803	-109.920233	4203186.366	594839.8598	64	
64-1	37.99819345	-109.8687962	4206217.586	599321.6502	30-JUL-13 1:25:58PM	1991.241455
64-2	37.9983082	-109.8689319	4206230.174	599309.5803	30-JUL-13 1:26:28PM	1991.721924
64-3	37.9983724	-109.8690654	4206237.155	599297.7772	30-JUL-13 1:27:13PM	1993.164063
64-4	37.99858438	-109.8688136	4206260.945	599319.5922	30-JUL-13 1:28:01PM	1992.923584
64-5	37.9984895	-109.8687119	4206250.525	599328.6547	30-JUL-13 1:28:47PM	1992.443115
64-6	37.9983931	-109.8685885	4206239.961	599339.618	30-JUL-13 1:29:18PM	1991.721924
64P	37.99835874	-109.8687939	4206235.929	599321.626	30-JUL-13 1:13:26PM	1992.923584
65	37.96984887	-109.8559317	4203086.361	600489.8595	65	
65-1	37.99629754	-109.9023506	4205971.939	596377.9336	01-AUG-13 12:58:35PM	2007.58374
65-2	37.9961781	-109.902307	4205958.732	596381.9244	01-AUG-13 12:59:37PM	2008.7854
65-3	37.99602572	-109.9022309	4205941.902	596388.8066	01-AUG-13 1:00:47PM	2008.7854
65-4	37.99602136	-109.9025969	4205941.04	596356.672	01-AUG-13 1:02:22PM	2009.746582
65-5	37.99613259	-109.9026169	4205953.361	596354.7748	01-AUG-13 1:03:13PM	2008.545166
65-6	37.99627692	-109.9026612	4205969.33	596350.6927	01-AUG-13 1:04:00PM	2006.862793
66	37.96974041	-109.8633333	4203066.364	599839.8647	66	
66-1	37.99571316	-109.8747731	4205936.018	598800.1858	30-JUL-13 2:51:41PM	2008.545166
66-2	37.99585355	-109.8746282	4205951.75	598812.7226	30-JUL-13 2:52:40PM	2010.467773
66-3	37.99595573	-109.8745442	4205963.176	598819.9601	30-JUL-13 2:53:15PM	2010.948242
66-4	37.99583486	-109.8742252	4205950.104	598848.1339	30-JUL-13 2:55:24PM	2010.467773
66-5	37.99573118	-109.8743532	4205938.463	598837.0272	30-JUL-13 2:56:10PM	2010.227295
66-6	37.99561827	-109.8743993	4205925.887	598833.1381	30-JUL-13 2:57:12PM	2009.506348
67	37.9696529	-109.9408642	4202976.358	593029.8646	67	
67-1	37.99336614	-109.8641183	4205686.965	599738.9283	30-JUL-13 4:35:46PM	2003.97876
67-2	37.9934891	-109.864034	4205700.699	599746.1587	30-JUL-13 4:36:38PM	2005.661133
67-3	37.99359044	-109.8639443	4205712.039	599753.9041	30-JUL-13 4:37:13PM	2006.38208
67-4	37.99345801	-109.8636154	4205697.697	599782.9572	30-JUL-13 4:37:52PM	2006.38208
67-5	37.99335105	-109.8637092	4205685.729	599774.8661	30-JUL-13 4:38:17PM	2004.699951
67-6	37.99324871	-109.8637877	4205674.289	599768.1156	30-JUL-13 4:38:48PM	2003.97876
68	37.9688619	-109.8750729	4202956.365	598809.8635	68	
68-1	37.98845585	-109.8686813	4205137.253	599344.8745	02-AUG-13 2:08:49PM	1985.954102
68-2	37.98835326	-109.8685803	4205125.977	599353.8824	02-AUG-13 2:08:07PM	1986.434814
68-3	37.9882401	-109.8684531	4205113.557	599365.201	02-AUG-13 2:07:35PM	1985.713867
68-4	37.98809216	-109.8687832	4205096.79	599336.4145	02-AUG-13 2:06:56PM	1985.713867
68-5	37.9882132	-109.8688615	4205110.136	599329.3764	02-AUG-13 2:06:27PM	1985.473633
68-6	37.98832644	-109.8689338	4205122.624	599322.8789	02-AUG-13 2:05:38PM	1985.233154
69	37.96830794	-109.9022902	4202866.367	596419.8619	69	
69-1	37.98777038	-109.8823502	4205046.693	598145.4454	01-AUG-13 10:15:25AM	1986.434814
69-2	37.98780257	-109.8824899	4205050.117	598133.1397	01-AUG-13 10:10:34AM	1989.078369
69-3	37.98784968	-109.8826288	4205055.197	598120.8803	01-AUG-13 10:11:17AM	1988.5979
69-4	37.98812485	-109.8825551	4205085.808	598126.9838	01-AUG-13 10:12:18AM	1988.117188
69-5	37.98808672	-109.882419	4205081.72	598138.9882	01-AUG-13 10:13:07AM	1985.954102
69-6	37.9880547	-109.882239	4205078.357	598154.8342	01-AUG-13 10:13:57AM	1985.473633
7	38.01318959	-109.9315805	4207816.359	593789.8652	7	
70	37.96803461	-109.9513612	4202786.363	592109.861	70	
70-1	37.98780475	-109.8783973	4205054.682	598492.5278	01-AUG-13 8:22:46AM	1982.108887
70-2	37.98777063	-109.8782486	4205051.054	598505.6386	01-AUG-13 8:22:13AM	1983.551025
70-3	37.98772303	-109.87806	4205045.971	598522.2638	01-AUG-13 8:21:40AM	1984.031494
70-4	37.9874403	-109.8781509	4205014.505	598514.6555	01-AUG-13 8:20:29AM	1984.512207
70-5	37.9875108	-109.8783035	4205022.165	598501.1575	01-AUG-13 8:19:56AM	1984.512207
70-6	37.98756192	-109.8784504	4205027.683	598488.1932	01-AUG-13 8:18:23AM	1983.79126
71	37.96667883	-109.8919548	4202696.359	597329.8639	71	
72	37.96621397	-109.9594699	4202576.363	591399.8623	72	
73	37.96381851	-109.9535841	4202316.365	591919.8619	73	
73-1	37.98166534	-109.8675134	4204385.044	599456.5965	30-JUL-13 12:17:42PM	1984.752686
73-2	37.98155109	-109.8674472	4204372.439	599462.5661	30-JUL-13 12:18:35PM	1986.915527
73-3	37.98142579	-109.8673905	4204358.595	599467.7189	30-JUL-13 12:19:10PM	1988.357422
73-4	37.98130106	-109.8677036	4204344.422	599440.3854	30-JUL-13 12:20:00PM	1987.636475
73-5	37.98141548	-109.8677486	4204357.069	599436.2854	30-JUL-13 12:20:31PM	1987.155762
73-6	37.9815438	-109.8678192	4204371.232	599429.9067	30-JUL-13 12:21:04PM	1986.915527
74	37.96337142	-109.9142027	4202306.361	595379.8638	74	
75	37.96344082	-109.9516542	4202276.365	592089.8668	75	
76	37.96280975	-109.9119343	4202246.365	595579.8661	76	
76-1	37.98163894	-109.9372921	4204309.859	593328.4491	03-AUG-13 3:52:48PM	1898.234375
76-2	37.98171421	-109.937164	4204318.339	593339.609	03-AUG-13 3:53:43PM	1899.195801
76-3	37.98183893	-109.9370697	4204332.273	593347.725	03-AUG-13 3:54:38PM	1899.436035
76-4	37.98169744	-109.9367848	4204316.859	593372.9251	03-AUG-13 3:47:10PM	1895.59082
76-5	37.98157557	-109.9369016	4204303.22	593362.8253	03-AUG-13 3:49:26PM	1898.234375
76-6	37.98146585	-109.9370283	4204290.919	593351.8415	03-AUG-13 3:50:19PM	1897.753906
77	37.96239861	-109.9359596	4202176.362	593469.8667	77	
77-1	37.97944481	-109.8625519	4204143.973	599895.3501	30-JUL-13 10:29:11AM	2020.801758
77-2	37.9792889	-109.8625433	4204126.684	599896.3124	30-JUL-13 10:29:57AM	2021.522705
77-3	37.97915001	-109.8625153	4204111.303	599898.9594	30-JUL-13 10:30:30AM	2022.9646
77-4	37.97912948	-109.8628643	4204108.65	599868.3412	30-JUL-13 10:31:18AM	2023.445313
77-5	37.97924615	-109.8628707	4204121.589	599867.6163	30-JUL-13 10:31:55AM	2022.243652
77-6	37.9793868	-109.8628786	4204137.187	599866.7337	30-JUL-13 10:32:31AM	2021.522705
78	37.96216937	-109.9405164	4202146.362	593069.8656	78	
79	37.96130612	-109.9447407	4202046.366	592699.8618	79	
79-1	37.97491673	-109.9498888	4203551.435	592230.5875	04-AUG-13 9:40:28AM	1863.146729
79-2	37.97497029	-109.9497311	4203557.534	592244.3682	04-AUG-13 9:41:19AM	1864.348389
79-3	37.97508094	-109.9496092	4203569.931	592254.9339	04-AUG-13 9:42:00AM	1864.10791
79-4	37.97486267	-109.949401	4203545.919	592273.4941	04-AUG-13 9:38:57AM	1866.51123
79-5	37.97481271	-109.9495159	4203540.263	592263.4709	04-AUG-13 9:37:47AM	1865.30957
79-6	37.97469386	-109.9496756	4203526.917	592249.5878	04-AUG-13 9:36:54AM	1864.10791
8	38.01284988	-109.9338637	4207776.365	593589.8631	8	
80	37.95951909	-109.9364565	4201856.364	593429.8665	80	
80-1	37.97449764	-109.9371297	4203517.65	593351.7613	04-AUG-13 12:47:47PM	1871.79834
80-2	37.97459772	-109.9372229	4203528.661	593343.4482	04-AUG-13 12:47:17PM	1872.759766
80-3	37.97473954	-109.9373188	4203544.301	593334.8465	04-AUG-13 12:46:47PM	1873.720947
80-4	37.97488346	-109.9369907	4203560.598	593363.4787	04-AUG-13 12:46:06PM	1874.20166
80-5	37.97477759	-109.9369035	4203548.939	593371.2692	04-AUG-13 12:45:33PM	1873
80-6	37.97464063	-109.9368206	4203533.826	593378.7237	04-AUG-13 12:45:07PM	1873
81	37.95933595	-109.9262144	4201846.366	594329.8621	81	
82	37.95873991	-109.9104007	4201796.367	595719.865	82	
82-1	37.97275529	-109.9294547	4203332.049	594028.0882	03-AUG-13 2:14:18PM	1873.480713
82-2	37.97269637	-109.9295707	4203325.393	594017.9742	03-AUG-13 2:14:44PM	1874.922607
82-3	37.97261917	-109.9297347	4203316.662	594003.6723	03-AUG-13 2:15:12PM	1875.40332
82-4	37.97284196	-109.9299148	4203341.201	593987.567	03-AUG-13 2:16:02PM	1876.364746
82-5	37.97290684	-109.9297383	4203348.577	594002.9889	03-AUG-13 2:16:30PM	1876.364746
82-6	37.97297121	-109.9295916	4203355.868	594015.7904	03-AUG-13 2:16:56PM	1876.845459
82P	37.97278974	-109.9296285	4203335.696	594012.7826	03-AUG-13 2:01:08PM	1873.961426
83	37.95886019	-109.9534268	4201766.366	591939.8645	83	
83-1	37.97227124	-109.9445024	4203263.25	592707.0053	04-AUG-13 11:00:53AM	1873
83-2	37.97235447	-109.9446133	4203272.375	592697.1605	04-AUG-13 11:00:23AM	1874.441895
83-3	37.97245547	-109.9447409	4203283.455	592685.8209	04-AUG-13 10:59:48AM	1875.162842
83-4	37.97266728	-109.9444841	4203307.212	592708.1121	04-AUG-13 10:58:57AM	1874.682373
83-5	37.97257667	-109.9443838	4203297.258	592717.0385	04-AUG-13 10:58:27AM	1872.759766
83-6	37.9724595	-109.9442017	4203284.438	592733.1765	04-AUG-13 10:57:59AM	1872.038818
83P	37.97241088	-109.9444978	4203278.749	592707.2346	04-AUG-13 10:44:17AM	1873.240479
84	37.95790784	-109.8888994	4201726.359	597609.8619	84	
85	37.957777	-109.9331806	4201666.359	593719.8659	85	
86	37.95701928	-109.9095155	4201606.362	595799.8664	86	
