type	ident	Latitude	Longitude	y_proj	x_proj	comment	display	symbol	dist	proximity	color	altitude	depth	temp	time	wpt_class	sub_class	attrib	link	state	country	city	address	zip	facility	crossroad	ete	dtype	model	filename	ltime	magvar	geoidheight	desc	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	dir
WAYPOINT	43-4	37.95147305	-109.9478741	4200952.857	592435.9586	22-JUL-13 5:14:34PM		City (Small)				1891.745605																	garmin GPSMap60CSX Software Version 4.20		7/22/2013 11:14			22-JUL-13 5:14:34PM								
WAYPOINT	43-5	37.95160901	-109.9478945	4200967.922	592433.9987	22-JUL-13 5:15:06PM		City (Small)				1891.505371																	garmin GPSMap60CSX Software Version 4.20		7/22/2013 11:15			22-JUL-13 5:15:06PM								
WAYPOINT	43-6	37.95172007	-109.9479202	4200980.219	592431.5987	22-JUL-13 5:15:45PM		City (Small)				1890.543945																	garmin GPSMap60CSX Software Version 4.20		7/22/2013 11:15			22-JUL-13 5:15:45PM								
WAYPOINT	44	37.98253882	-109.9608335	4204387.007	591258.8945	44		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					44							
WAYPOINT	44-1	37.95117441	-109.9500609	4200917.553	592244.199	23-JUL-13 1:05:14PM		City (Small)				1879.248779																	garmin GPSMap60CSX Software Version 4.20		7/23/2013 7:05			23-JUL-13 1:05:14PM								
WAYPOINT	44-2	37.95106452	-109.9499852	4200905.435	592250.9938	23-JUL-13 1:05:45PM		City (Small)				1879.729492																	garmin GPSMap60CSX Software Version 4.20		7/23/2013 7:05			23-JUL-13 1:05:45PM								
WAYPOINT	44-3	37.95094181	-109.949841	4200891.963	592263.8139	23-JUL-13 1:06:23PM		City (Small)				1880.690674																	garmin GPSMap60CSX Software Version 4.20		7/23/2013 7:06			23-JUL-13 1:06:23PM								
WAYPOINT	44-4	37.9507906	-109.9500822	4200874.946	592242.8085	23-JUL-13 1:07:32PM		City (Small)				1881.6521																	garmin GPSMap60CSX Software Version 4.20		7/23/2013 7:07			23-JUL-13 1:07:32PM								
WAYPOINT	44-5	37.95089127	-109.9501923	4200886.007	592233.0133	23-JUL-13 1:08:34PM		City (Small)				1881.171387																	garmin GPSMap60CSX Software Version 4.20		7/23/2013 7:08			23-JUL-13 1:08:34PM								
WAYPOINT	44-6	37.95096285	-109.9503148	4200893.828	592222.1572	23-JUL-13 1:10:11PM		City (Small)				1880.690674																	garmin GPSMap60CSX Software Version 4.20		7/23/2013 7:10			23-JUL-13 1:10:11PM								
