ident,Latitude,Longitude,y_proj,x_proj,altitude,ident,Latitude,Longitude,y_proj,x_proj,altitude,,,POINT_X,POINT_Y,,,,,,,
B4-6P,37.97480383,-109.9264699,4203563.007,594286.6665,1880.690674,B4_7,37.95116703,-109.91523,4200951.798,595304.4269,1877.57,,,594497.9574,4201686.838,,,,,,,
B4-7P,37.95116703,-109.91523,4200951.798,595304.4269,1877.566406,B4_8,37.97145216,-109.9245831,4203193.03,594456.686,1888.14,,,595445.2177,4201081.982,,,,,,,
B4-8P,37.97145216,-109.9245831,4203193.03,594456.686,1888.140869,B4_9,37.97235045,-109.9188951,4203298.486,594955.1316,1891.51,,,593215.6915,4203794.371,,,,,,,
B4-9P,37.97235045,-109.9188951,4203298.486,594955.1316,1891.505371,B4_10,37.97236076,-109.9201622,4203298.339,594843.8244,1889.58,,,594842.3722,4201686.245,,,,,,,
Il1-10P,37.9550274,-109.9258873,4201369.279,594363.1484,1878.287354,IL1_1,37.95973132,-109.9475158,4201869.516,592457.087,1871.08,,,592475.9579,4201864.144,,,,,,,
Il1-1P,37.95973132,-109.9475158,4201869.516,592457.087,1871.077393,IL1_3,37.98141028,-109.9400779,4204282.34,593083.1137,1885.02,,,593280.3534,4201268.818,,,,,,,
Il1-3P,37.98141028,-109.9400779,4204282.34,593083.1137,1885.016602,IL1_4,37.97704339,-109.934215,4203803.685,593603.5585,1878.53,,,593092.783,4204264.134,,,,,,,
Il1-4P,37.97704339,-109.934215,4203803.685,593603.5585,1878.527832,IL1_5,37.98181957,-109.9450736,4204322.77,592643.8611,1875.64,,,593607.8687,4203792.925,,,,,,,
Il1-5P,37.98181957,-109.9450736,4204322.77,592643.8611,1875.643555,IL1_8,37.95914954,-109.9470815,4201805.395,592495.9667,1877.09,,,592671.6777,4204321.286,,,,,,,
Il1-8P,37.95914954,-109.9470815,4201805.395,592495.9667,1877.085938,IL1_9,37.9703517,-109.9325325,4203062.892,593759.8422,1863.87,,,593322.8941,4201392.597,,,,,,,
Il1-9P,37.9703517,-109.9325325,4203062.892,593759.8422,1863.867676,IL1_10,37.9550274,-109.9258873,4201369.279,594363.1484,1878.29,,,593778.5089,4203344.737,,,,,,,
Il2-10P,37.96001924,-109.9309682,4201918.019,593910.4067,1873,IL2_1,37.96023524,-109.9319236,4201941.023,593826.2038,1861.95,,,592495.9161,4201803.815,,,,,,,
