id,top,bottom,Horizon,DryHue,DryValue,DryChroma,MoistHue,MoistValue,MoistChroma,Texture,FGr,Gr,CoGr,CB,CH,SandPercent,SandSize,ClayPercent,pH,Effervescence,Elevation,Elevation,Landform,Aspect,Slope,SlopeShape,ParentMaterial1,ParentMaterial2,BedrockGeology1,BedrockGeology2,SoilDepthClass,CarbonateStage,BioticCrustClass
B1_5,153,153,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_6,0,5,A,7.5YR,6,4,7.5YR,4,4,SL,NA,NA,NA,NA,NA,65,F,5,7.8,VS,6168,1880.029261,SUMMIT,270,3,VV,Eolian,Residuum,Sandstone,NA,Moderately Deep,1,0
B1_6,5,34,B,5YR,6,4,5YR,5,4,LS,NA,1,NA,NA,NA,70,F,5,8.2,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_6,34,53,B2,5YR,7,4,5YR,5,4,SL,NA,1,NA,NA,NA,75,F,7,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_6,35,59,Cr,5YR,8,3,5YR,7,4,SL,NA,1,NA,NA,NA,65,M,5,8.4,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_6,59,59,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_7,0,7,A,7.5YR,5,4,7.5YR,3,3,SL,0.5,NA,NA,NA,0.5,60,F,5,7,NE,6206,1891.611802,BS,0,5,LC,Eolian,Residuum,Sandstone,NA,Deep,1,1
B1_7,7,20,AB,7.5YR,5,4,7.5YR,4,4,SL,1,NA,NA,NA,NA,60,F,5,7.6,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_7,20,105,B,7.5YR,6,4,7.5YR,4,4,SL,1,1,NA,NA,NA,60,F,5,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_7,105,116,C,7.5YR,8,2,7.5YR,6,4,SL,3,2,NA,NA,NA,65,F,5,8.6,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_8,0,6,A,7.5YR,6,4,7.5YR,4,3,SL,0.5,NA,NA,NA,NA,80,F,7,7.8,SL,6146,1873.32358,FLAT,320,2,LL,Eolian,NA,Sandstone,Silicate,Very Deep,0,1
B1_8,6,65,B,7.5YR,7,4,7.5YR,5,4,SL,1,NA,NA,NA,NA,70,F,5,8.1,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_8,65,113,BC,7.5YR,7,4,7.5YR,4,4,SL,0.5,NA,NA,NA,NA,80,F,5,8.1,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_8,113,148,C,7.5YR,7,4,7.5YR,6,4,SL,0.5,NA,NA,NA,NA,80,F,5,8.1,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_8,148,200,Ab,7.5YR,6,4,7.5YR,4,4,SL,0.5,NA,NA,NA,NA,60,F,10,8.1,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_9,0,4,A,7.5YR,6,4,7.5YR,4,4,SL,NA,NA,NA,NA,NA,50,F,5,7.6,VS,6208,1892.221409,TS,20,5,CL,Eolian,Alluvium,Sandstone,NA,Very Deep,0,1
B1_9,4,20,B,5YR,5,6,5YR,4,4,SL,NA,1,NA,NA,NA,60,F,5,7.8,VS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_9,20,46,B2,5YR,6,4,5YR,5,6,SL,1,NA,NA,NA,1,55,F,5,8,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_9,46,75,B3,5YR,7,4,5YR,5,4,SL,7,8,NA,NA,NA,55,MIX,7,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_9,75,100,B4,5YR,6,4,5YR,4,4,SL,NA,4,NA,NA,NA,60,F,7,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_9,100,160,B5,5YR,6,6,5YR,5,4,L,NA,NA,NA,NA,NA,45,F,7,8.4,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_9,160,180,B6,5YR,7,4,5YR,5,4,SL,1,NA,NA,NA,NA,55,F,10,8.6,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_9,180,180,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_10,0,4,A,7.5YR,5,4,7.5YR,3,3,SL,NA,NA,NA,NA,NA,50,VF,5,7.8,VS,6191,1887.039746,SH,344,2,LV,Eolian,Residuum,Sandstone,NA,Shallow,0,0
B1_10,4,21,B,5YR,5,6,5YR,4,4,SiL,5,NA,NA,NA,NA,30,VF,7,8,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_10,21,28,B2,7.5YR,5,4,5YR,4,4,SL,5,NA,NA,NA,NA,75,F,15,8,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1_10,28,44,Cr,7.5YR,6,4,7.5YR,4,4,SL,NA,15,25,NA,NA,70,F,5,8.2,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_1,0,7,A,7.5YR,6,4,7.5YR,4,4,SL,NA,NA,NA,NA,NA,55,F,5,7.6,VS,6171,1880.943672,BS,350,4,LL,Eolian,NA,Sandstone,NA,Very Deep,0,0
B2_1,7,43,B,7.5YR,6,4,7.5YR,4,4,SL,1,NA,NA,NA,NA,65,F,5,7.8,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_1,43,94,B2,5YR,7,4,5YR,5,4,SL,1,1,NA,NA,NA,60,F,5,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_1,94,200,C,5YR,7,3,5YR,5,4,LS,1,NA,NA,NA,NA,75,M,3,8.4,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_2,0,4,A,7.5YR,6,4,7.5YR,5,4,SL,4,NA,NA,NA,1,50,F,5,7.8,SL,6173,1881.55328,SH,0,4,LV,Eolian,Residuum,Sandstone,NA,Very Deep,0,2
B2_2,4,28,B,5YR,7,6,5YR,5,4,SL,4,NA,NA,NA,NA,50,F,5,8.2,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_2,28,40,B2,5YR,7,6,5YR,5,6,SL,NA,NA,NA,NA,NA,50,F,5,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_2,40,99,C,5YR,8,3,5YR,7,4,LS,NA,NA,NA,NA,NA,80,M,3,8.4,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_2,99,128,Ab,5YR,6,8,5YR,5,6,SL,NA,NA,NA,NA,NA,60,F,7,7.8,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_2,128,165,Bb,5YR,8,4,5YR,6,6,SL,NA,NA,NA,NA,NA,75,F,5,8.4,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_2,165,200,Cb,5YR,8,1,5YR,7,4,SL,NA,NA,NA,NA,NA,55,MIX,5,8.4,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_4,0,4,A,7.5YR,6,6,7.5YR,4,3,SL,NA,NA,NA,NA,NA,65,VF,5,7.3,NE,6222,1896.488661,BS,91,1,LV,Eolian,Residuum,Sandstone(w),NA,Deep,1,1
B2_4,4,6,A2,7.5YR,6,4,7.5YR,4,3,SL,NA,NA,NA,NA,NA,50,F,5,7.8,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_4,6,19,B,7.5YR,5,6,7.5YR,3,4,SL,NA,NA,NA,NA,NA,60,F,7,8,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_4,19,67,B2,5YR,6,6,7.5YR,4,4,SL,NA,NA,NA,NA,NA,60,F,7,8,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_4,67,107,2Cr,10YR,8,2,10YR,7,3,LS,NA,NA,NA,NA,30,80,F,3,8.6,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_5,0,7,A,7.5YR,6,4,7.5YR,4,4,SL,1,NA,NA,NA,1,60,F,5,7.4,SL,6155,1876.066813,SH,200,4,LV,Eolian,Residuum,Sandstone,NA,Very Deep,0,1
B2_5,7,34,B,5YR,6,6,5YR,4,6,SL,NA,1,NA,NA,NA,70,F,5,8.2,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_5,34,111,B2,5YR,7,6,5YR,5,6,SL,NA,1,NA,NA,NA,70,F,5,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_5,111,165,B3,5YR,8,4,5YR,6,6,SL,NA,NA,NA,NA,NA,70,F,5,8.6,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_5,165,185,B4,5YR,7,6,5YR,5,6,SL,NA,2,NA,NA,NA,70,F,5,8.6,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_5,185,185,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_6,0,6,A,7.5YR,6,4,7.5YR,4,4,SL,NA,NA,NA,NA,NA,55,VF,5,7.2,NE,6158,1876.981224,BS,10,3,CC,Eolian,NA,Sandstone,NA,Very Deep,1,1
B2_6,6,18,B,7.5YR,6,6,7.5YR,4,4,SL,NA,NA,NA,NA,NA,60,VF,5,8,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_6,18,48,B2,7.5YR,6,4,7.5YR,4,4,SL,NA,4,NA,NA,NA,60,VF,5,8,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_6,48,148,C,7.5YR,7,4,7.5YR,5,4,SL,NA,NA,NA,NA,NA,70,MIX,5,8.2,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_6,148,175,Ab,7.5YR,5,4,7.5YR,4,4,SCL,NA,NA,NA,NA,NA,60,VF,23,8.2,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_6,175,200,Bb,7.5YR,6,4,7.5YR,6,6,L,NA,NA,NA,NA,NA,50,F,18,8.6,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_7,0,7,A,7.5YR,6,4,7.5YR,4,4,SL,1,NA,NA,NA,NA,60,F,5,7.8,SL,6121,1865.703487,BS,0,10,CL,Eolian,NA,Sandstone,NA,Deep,1,1
B2_7,7,37,B,5YR,6,6,7.5YR,4,6,SL,2,NA,NA,NA,NA,60,F,5,8.1,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_7,37,106,B2,7.5YR,7,4,7.5YR,5,6,SL,3,NA,NA,NA,NA,60,F,7,8.3,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_7,106,106,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_8,0,7,A,5YR,6,4,5YR,4,3,SL,NA,NA,NA,NA,1,75,VF,11,8.1,ST,6164,1878.810046,BS,250,3,LC,Eolian,Alluvium,Sandstone,NA,Very Deep,0,1
B2_8,7,15,BA,5YR,6,6,5YR,4,4,SL,1,NA,NA,NA,NA,75,VF,12,8.2,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2_8,15,58,Bw,5YR,6,4,5YR,4,6,SL,NA,1,NA,NA,NA,75,VF,10,8.2,VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
