"id","Elevation","Aspect","Slope","SlopeShape","CarbonateStage","BioticCrustClass","DepthClass","PedonDepth","Depth200","H1.DryRed","H1.DryValue","H1.DryCClass","H1.MoistRed","H1.MoistValue","H1.MoistCClass","H1.Texture","H1.SandPercent","H1.SandSize","H1.ClayPercent","H1.pH","H1.EfferScale","H1.Depth","H1.DWA_AWC","Tot.DryRed","Tot.DryValue","Tot.DryCClass","Tot.MoistRed","Tot.MoistValue","Tot.MoistCClass","Tot.Texture","Tot.SandSize","Tot.EfferScale","DWAClay","DWASand","DWApH","DWA.AWHC","MaxClay","MaxSand","MaxpH","MaxDryValue","MaxAWHC","MaxEffervescence"
"B1_1",1895.879054,40,1,"LV",0,1,"VeryDeep",188,0,"2",6,"2","2",4,"2","SiL",40,"VF",5,7.8,"3",5,0.51781154893617,"2","5","2","2","4","2","SL","F","4",6.57446808510638,64.1223404255319,8.03510638297872,10.1069358774468,7,85,8.2,7,19.46971424,"4"
"B1_10",1887.039746,344,2,"LV",0,0,"VeryDeep",44,0,"2",5,"2","2",3,"2","SL",50,"VF",5,7.8,"1",4,0.332667593777778,"2","5","2","3","4","2","SL","F","2",7.36363636363636,53.5227272727273,8.05454545454545,14.8756029268636,15,75,8.2,6,22.58434366,"4"
"B1_2",1874.542794,100,6,"CL",0,1,"Shallow",51,0,"2",6,"2","2",4,"2","SL",60,"F",5,7.8,"0",6,1.593693315,"2","6","2","2","4","2","SL","F","3",5,67.9411764705882,8.29411764705882,9.68418190129412,5,70,8.4,6,10.46442617,"3"
"B1_3",1876.981224,170,4,"LV",1,1,"ModeratelyDeep",200,1,"3",6,"2","3",4,"2","SL",60,"F",5,7.8,"2",7,1.60410961117647,"3","7","2","3","5","2","SL","F","3",5.365,73.725,8.183,7.431472322735,10,80,8.6,7,10.46442617,"3"
"B1_4",1885.820532,30,3,"CL",0,1,"VeryDeep",187,0,"2",6,"2","2",4,"2","SL",55,"F",7,7.6,"2",6,0.3849241824,"2","6","2","2","4","2","SL","F","2",8.05882352941176,67.7272727272727,7.79076923076923,9.56347749529947,10,75,7.8,7,12.83080608,"3"
"B1_5",1882.772495,60,4,"CL",1,0,"VeryDeep",153,0,"2",5,"2","2",4,"2","SL",55,"F",5,6.8,"0",6,0.420485719572192,"2","6","3","2","4","3","SL","F","4",5,62.7777777777778,8.27908496732026,11.0464453147712,5,70,8.5,7,13.10513826,"4"
"B1_6",1880.029261,270,3,"VV",1,0,"VeryDeep",59,0,"2",6,"2","2",4,"2","SL",65,"F",5,7.8,"1",5,0.341974711437908,"3","6","2","3","5","2","SL","F","2",5.64406779661017,70.6779661016949,8.1864406779661,8.95272136886441,7,75,8.4,8,10.46442617,"4"
"B1_7",1891.611802,0,5,"CL",1,1,"ModeratelyDeep",116,0,"2",5,"2","2",3,"2","SL",60,"F",5,7,"0",7,1.38660322322034,"2","6","2","2","4","2","SL","F","3",5,60.4741379310345,8.09827586206896,11.5711425898276,5,65,8.6,8,11.68708431,"4"
"B1_8",1873.32358,320,2,"LL",0,1,"Deep",200,1,"2",6,"2","2",4,"2","SL",80,"F",7,7.8,"2",6,0.291468770637931,"2","7","2","2","4","2","SL","F","3",6.36,71.85,8.091,7.930293230235,10,80,8.1,7,11.35524954,"3"
"B1_9",1892.221409,20,5,"CL",0,1,"VeryDeep",180,0,"2",6,"2","2",4,"2","SL",50,"F",5,7.6,"1",4,0.2994008344,"3","6","2","3","5","2","SL","F","3",6.82222222222222,52.6944444444444,8.23333333333333,13.8764339176111,10,60,8.6,7,16.67161622,"4"
"B2_1",1880.943672,350,4,"LL",0,0,"VeryDeep",200,1,"2",6,"2","2",4,"2","SL",55,"F",5,7.6,"1",7,0.4586798391,"3","7","2","3","5","2","LS","M","3",3.94,68.675,8.213,9.08144642247,5,75,8.4,7,11.68708431,"3"
"B2_10",1880.334065,210,1,"VV",1,1,"Shallow",200,1,"2",5,"2","2",3,"2","SL",50,"VF",5,6.4,"0",5,2.77222994814815,"2","6","2","2","4","2","L","VF","3",7.3,52.75,8.07,13.61823235775,8,75,8.6,7,16.41742319,"4"
