id,maxClay,minClay,maxSand,minSand,maxDepth,maxpH,minpH,maxDryValue,minDryValue,maxDryChroma,minDryChroma,maxMoistValue,minMoistValue,maxMoistChroma,minMoistChroma,Surface,Subsurface,Depth50,Depth100,Depth150,Depth200,AWC25,AWC50,AWC100,MaxAWC,TotalAWC,Elevation,Slope,SlopeShape,CarbonateStage,BioticCrustClass
B4_2,5,5,60,60,7,7.6,7.6,6,6,4,4,4,4,4,4,4,0,0,0,0,0,11.68708431,11.68708431,11.68708431,11.68708431,11.68708431,1881.248476,11,VV,0,2
B4_3,3,3,80,60,69,8,7.6,7,5,4,3,6,3,6,4,4,6,1,0,0,0,9.587940676,9.30607273,8.774904071,11.84288425,25.42055861,1877.590832,6,VV,0,1
B4_4,7,3,75,60,153,8.6,7.8,7,5,4,3,5,3,6,4,4,4,1,1,1,0,11.63485534,11.66096983,10.77538184,11.68708431,61.99366223,1890.697391,5,CL,0,0
B4_6,5,5,70,65,47,7.8,7.6,6,5,4,4,4,3,4,4,4,4,0,0,0,0,9.469493143,9.322425775,9.322425775,10.46442617,19.61972994,1880.638869,6,VV,0,2
B4_7,7,5,80,75,176,8.5,7.4,8,6,6,4,5,4,6,3,3,4,1,1,1,0,7.700722117,7.734520629,7.536327723,7.768319141,28.04663942,1877.590832,1,LL,0,1
B4_8,5,5,70,60,200,8.2,7.8,7,6,4,4,5,4,4,4,4,4,1,1,1,1,10.6847478,9.920025785,9.537664776,11.68708431,41.77124042,1888.258961,5,VV,0,0
B4_9,5,5,60,60,7,7.8,7.8,6,6,4,4,5,5,4,4,4,0,0,0,0,0,11.68708431,11.68708431,11.68708431,11.68708431,11.68708431,1891.611802,10,VV,0,4
IL1_1,5,5,65,60,40,8.2,6.6,7,5,6,4,5,4,6,4,4,4,0,0,0,0,11.63817798,11.19802105,11.19802105,11.68708431,33.83859479,1871.189954,12,CV,0,2
IL1_10,7,7,70,60,95,8.1,7.8,6,6,4,4,5,4,4,3,3,4,1,0,0,0,11.54200385,11.54200385,11.04318365,11.54200385,32.36944396,1878.200439,12,CC,0,1
IL1_3,7,7,70,55,200,8.2,7.8,6,6,4,4,4,3,4,4,4,4,1,1,1,1,10.11862661,10.28063585,10.36164046,12.83080608,32.55888742,1884.90612,1,LL,1,3
IL1_4,7,5,65,50,96,8.6,7.6,8,5,6,1,6,3,4,4,4,4,1,0,0,0,12.99292265,13.77728275,12.36058967,14.56164285,48.29952018,1878.505243,4,CC,1,2
IL1_5,10,5,80,60,121,8.4,6.5,8,5,6,2,7,4,6,4,4,4,1,1,0,0,10.19532081,10.03051114,10.25289118,11.68708431,56.26393363,1875.762009,4,VV,1,2
IL1_8,7,5,80,60,148,8.3,7.2,6,5,6,4,5,4,6,4,4,4,1,1,0,0,9.736749781,10.63937682,10.23319465,11.54200385,44.47797976,1876.981224,2,LV,1,2
IL1_9,10,10,65,65,8,7.8,7.8,5,5,4,4,4,4,4,4,4,4,0,0,0,0,10.43140426,10.43140426,10.43140426,10.43140426,10.43140426,1863.874665,18,VV,1,5
IL2_1,5,5,70,70,9,7.8,7.8,6,6,4,4,4,4,4,4,4,0,0,0,0,0,9.155303766,9.155303766,9.155303766,9.155303766,9.155303766,1862.045842,7,LV,0,5
IL2_10,7,5,75,70,74,8.4,6.6,8,5,4,3,6,4,4,4,4,4,1,0,0,0,8.349139491,8.058729316,8.005545398,9.285436264,35.49449544,1873.018776,5,CL,0,1
IL2_2,10,5,60,50,58,8.4,7.6,7,6,6,4,5,3,6,4,4,6,1,0,0,0,14.31345024,14.39079455,14.12455081,14.97004172,39.11765347,1879.11485,3,LV,1,1
IL2_3,10,5,60,50,200,8.6,6.4,8,6,6,2,7,4,6,4,4,4,1,1,1,1,11.88533372,13.42768772,14.19886472,14.97004172,68.26998414,1887.649354,4,LV,0,0
IL2_4,7,7,65,45,43,8.2,7.6,5,5,4,4,4,3,4,3,3,4,0,0,0,0,14.67834546,13.7233382,13.7233382,16.67161622,38.65626515,1876.67642,3,CL,1,1
IL2_5,38,5,80,40,200,8.2,7.6,8,5,6,4,6,4,6,4,4,6,1,1,1,1,9.417128247,10.25783064,9.345202634,12.62060452,58.26078748,1869.970739,3,VV,0,0
IL2_7,10,7,70,70,59,8.6,7.6,7,5,6,3,5,4,4,4,4,4,1,0,0,0,9.310381647,9.327011902,9.320669855,9.493314452,46.63505951,1875.457206,4,LL,1,1
IL2_8,5,5,60,55,46,8.2,7,8,5,6,3,6,4,4,3,3,4,0,0,0,0,12.76480531,12.9201747,12.9201747,13.10513826,51.00249909,1891.306998,3,CC,1,1
IL2_9,5,5,75,60,56,8.2,7.8,6,5,4,4,4,3,6,4,4,6,1,0,0,0,10.32492422,11.00600426,11.07897713,11.68708431,19.11741833,1868.751524,10,VV,1,2
IL3_1,7,5,40,40,34,8.1,7.6,6,5,4,4,4,3,4,4,4,4,0,0,0,0,19.07173666,19.03846918,19.03846918,19.46971424,57.3618333,1887.649354,2,LL,1,1
IL3_10,7,5,75,55,154,8.6,7,8,6,4,4,5,4,6,3,3,4,1,1,1,0,10.26125742,9.708280595,9.98162359,13.10513826,49.6484911,1885.515728,5,LV,1,4
IL3_2,5,5,80,75,181,8.4,7.6,6,5,6,4,5,3,4,4,4,4,1,1,1,0,5.549800495,5.314733804,5.197200458,7.430334021,17.58966825,1884.90612,6,LV,0,2
IL3_3,7,5,75,60,200,8.4,7.4,7,6,6,4,5,4,6,4,4,4,1,1,1,1,8.158516137,7.929619127,8.000680846,11.68708431,46.63559991,1875.762009,5,LV,1,3
IL3_4,18,10,75,35,146,8.2,6.6,6,4,6,4,4,3,6,4,4,4,1,1,0,0,15.32978753,12.84508437,12.42703358,19.50414362,110.4853512,1905.937576,3,VV,1,3
IL3_6,7,7,70,70,74,8.3,7.6,7,5,6,3,5,4,4,3,3,4,1,0,0,0,9.285436264,9.285436264,9.285436264,9.285436264,27.85630879,1889.478176,5,LL,1,1
IL3_7,7,7,70,60,27,8.1,7.4,5,5,6,4,4,4,4,4,4,4,0,0,0,0,10.81990222,10.87339123,10.87339123,11.54200385,30.11287638,1884.90612,5,CC,1,1
IL3_9,7,5,80,70,106,8.4,7.8,8,5,6,3,8,4,6,4,4,4,1,1,0,0,8.409346656,8.84739146,8.788148526,9.285436264,40.92170571,1877.895635,2,CL,1,1
IL4_10,3,3,75,60,200,8.4,7.4,8,6,6,2,5,4,6,4,4,6,1,1,1,1,10.87014101,10.68099649,10.58642423,11.84288425,38.45132473,1895.879054,10,VV,1,5
IL4_2,5,5,80,65,200,8.4,7.8,8,7,4,4,6,5,4,4,4,4,1,1,1,1,9.155303766,9.155303766,9.548040487,10.46442617,33.85470082,1867.837113,5,VV,0,2
IL4_3,15,3,40,35,25,8.1,7.8,6,5,4,4,4,3,4,4,4,4,0,0,0,0,18.84678145,18.84678145,18.84678145,19.90275063,38.41606813,1882.772495,8,LV,1,1
IL4_4,7,7,70,65,15,7.8,7.6,7,6,6,6,5,5,4,4,4,4,0,0,0,0,9.825467045,9.825467045,9.825467045,10.44264508,19.72808134,1893.745428,5,CL,1,6
IL4_5,7,5,80,75,23,8.1,7.8,6,5,6,4,4,4,4,4,4,4,0,0,0,0,5.781054599,5.781054599,5.781054599,7.768319141,12.84798625,1870.88515,8,VV,1,1
IL4_7,10,3,70,60,200,8.2,7.4,7,5,4,3,5,3,4,3,4,4,1,1,1,1,11.61421515,11.5781095,11.56005667,11.84288425,42.97159613,1869.056328,1,VV,0,1
IL4_8,5,5,70,70,10,8.1,8.1,7,7,4,4,5,5,4,4,4,0,0,0,0,0,9.155303766,9.155303766,9.155303766,9.155303766,9.155303766,1885.515728,11,VV,0,6
