"","DWAClay","DWASand","DWApH","H1.DWA_AWC","H1.ClayPercent","H1.SandPercent","H1.Texture","H1.SandSize","H1.pH","H1.EfferScale","H1.MoistRed","H1.MoistCClass","H1.MoistValue","Tot.MoistRed","Tot.MoistCClass","Tot.MoistValue","MaxEffervescence","Elevation","CarbonateStage","BioticCrustClass","PedonDepth","Depth200","DepthClass","SlopeShape"
"B4_4",4.79084967320261,64.8366013071895,8.35163398692811,0.846890167391304,5,60,"SL","F",7.8,3,2,2,3,2,2,5,4,1890.697391,0,0,69,0,"ModeratelyDeep","CL"
"B4_6",5,69.3617021276596,7.77446808510638,0.41036965372549,5,65,"SL","F",7.6,2,2,2,3,2,2,4,3,1880.638869,0,2,153,0,"VeryDeep","VV"
"B4_7",5.98863636363636,77.3863636363636,8.22159090909091,0.79046106606383,5,75,"SL","VF",7.4,0,2,2,4,2,2,4,4,1877.590832,0,1,47,0,"Shallow","LL"
"B4_8",5,67.05,8.176,0.35674180125,5,65,"SL","F",7.8,2,2,2,4,2,2,5,3,1888.258961,0,0,176,0,"VeryDeep","VV"
"B4_9",5,60,7.8,0.40904795085,5,60,"SL","F",7.8,2,2,2,5,2,2,5,2,1891.611802,0,4,200,1,"VeryDeep","VV"
"IL1_1",5,62,7.64,1.168708431,5,60,"SL","VF",6.6,0,2,2,4,2,2,4,4,1871.189954,0,2,40,0,"Shallow","CV"
"IL1_10",7,62.2105263157895,8.08421052631579,7.21375240625,7,60,"SL","F",7.8,1,2,2,4,2,2,4,3,1878.200439,0,1,8,0,"VeryShallow","CC"
"IL1_3",7,60.725,7.97,0.684190040505263,7,70,"SL","F",8.2,3,2,2,4,2,2,4,3,1884.90612,1,3,95,0,"ModeratelyDeep","LL"
"IL1_4",6.125,57.96875,8.40416666666667,0.3654925778,7,65,"SL","VF",7.6,0,2,2,3,2,2,4,4,1878.505243,1,2,200,1,"VeryDeep","CC"
"IL1_5",7.97520661157025,67.0247933884298,8.02809917355372,0.9739236925,5,60,"SL","F",6.5,0,2,2,4,2,2,5,4,1875.762009,1,2,96,0,"ModeratelyDeep","VV"
