"id","Elevation","Aspect","Slope","SlopeShape","CarbonateStage","BioticCrustClass","PedonDepth","Depth200","H1.DryRed","H1.DryValue","H1.DryCClass","H1.MoistRed","H1.MoistValue","H1.MoistCClass","H1.Texture","H1.SandPercent","H1.SandSize","H1.ClayPercent","H1.pH","H1.EfferScale","H1.Depth","H1.DryHue","H1.MoistHue","H1.DryChroma","H1.MoistChroma","H1.Effervescence","H1.DWA_AWC","Tot.DryRed","Tot.DryHue","Tot.DryValue","Tot.DryCClass","Tot.DryChroma","Tot.MoistRed","Tot.MoistHue","Tot.MoistValue","Tot.MoistCClass","Tot.MoistChroma","Tot.Texture","Tot.SandSize","Tot.Effervescence","Tot.EfferScale","Sub.DryRed","Sub.DryHue","Sub.DryValue","Sub.DryCClass","Sub.DryChroma","Sub.MoistRed","Sub.MoistHue","Sub.MoistValue","Sub.MoistCClass","Sub.MoistChroma","Sub.Texture","Sub.SandSize","Sub.Effervescence","Sub.EfferScale","AWC.0.25","AWC.0.50","AWC.0.100","AWC.0.150","AWC.0.200","AWC.25.50","AWC.50.100","AWC.100.150","AWC.150.200","DWAClay","DWASand","DWApH","SubDWAClay","SubDWASand","SubDWApH","SubAWC"
"18",1981.868652,121,5,"LV",0,5,5,0,"3",6,"2","3",4,"2","LS",85,"VF",6,8.1,"3",5,"5YR","5YR","4",4,"ST",2.829454983,"3","5YR","6","2","4","3","5YR","4","2","4","LS","VF","ST","3","1","10YR","4","1","1","1","10YR","3","2","3","CL","CO","LS","0",2.829454983,2.829454983,2.829454983,2.829454983,2.829454983,NA,NA,NA,NA,6,85,8.1,NA,NA,NA,NA
"19",1895,237,3,"CL",3,1,153,0,"2",5,"2","3",3,"2","SL",75,"VF",10,8,"0",3,"7.5YR","5YR","4",3,"NE",0.162444887078431,"3","5YR","6","2","4","3","5YR","4","2","4","SL","VF","VE","4","3","5YR","6","2","4","3","5YR","4","2","4","SL","VF","VE","4",8.284689241,8.284689241,8.06094830567,8.01253206911333,8.02480280887582,8.284689241,7.83720737034,7.915699596,8.638339797,10.0065359477124,75.797385620915,8.42941176470588,10.0066666666667,75.8133333333333,8.438,8.01960508023333
"2",1992.443115,150,7,"LL",1,2,157,0,"2",7,"2","2",3,"2","SL",75,"VF",10,7.6,"1",5,"7.5YR","7.5YR","4",4,"VS",0.263843606401274,"2","7.5YR","6","2","4","2","7.5YR","4","3","6","LS","F","VE","4","2","7.5YR","6","2","4","2","7.5YR","4","3","6","LS","F","VE","4",5.9398887514,5.6467886902,5.16292638412,4.28953525608,4.21165324466242,5.353688629,4.67906407804,2.542753,2.542753,5.68789808917197,82.0382165605096,8.2687898089172,5.54605263157895,82.2697368421053,8.29078947368421,4.07767179741447
"20",1987,51,8.5,"LV",1,1,46,0,"2",5,"2","3",4,"2","SL",60,"VF",10,8.2,"3",3,"7.5YR","5YR","4",3,"ST",0.740559752608696,"4","2.5YR","5","2","4","4","2.5YR","4","2","4","L","F","VE","4","4","2.5YR","5","2","4","4","2.5YR","4","2","4","L","F","VE","4",13.0965503868,13.4562261614634,13.4562261614634,13.4562261614634,13.4562261614634,14.018219559375,NA,NA,NA,16.9024390243902,48.1219512195122,8.12926829268293,17.4473684210526,47.1842105263158,8.12368421052632,13.6220927368421
"21",1966.247314,100,3,"CL",1,1,95,0,"3",5,"3","3",4,"2","LS",85,"VF",8,8.1,"4",10,"5YR","5YR","6",4,"VE",0.366019525894737,"3","5YR","5","3","6","3","5YR","4","2","4","LS","VF","VE","4","3","5YR","5","3","6","3","5YR","4","2","4","LS","VF","VE","4",5.3048669016,4.00342131424,3.12581512445263,3.12581512445263,3.12581512445263,2.70197572688,2.1506971358,NA,NA,6.02105263157895,84.5684210526316,8.38210526315789,5.78823529411765,84.5176470588235,8.41529411764706,3.08447743368235
"22",1877,277,3,"LV",2,2,154,0,"3",6,"3","3",3,"2","LS",82,"VF",9,8,"0",5,"5YR","5YR","6",4,"NE",0.171904502987013,"2","7.5YR","7","2","4","3","5YR","4","2","4","SL","VF","VE","4","2","7.5YR","7","2","4","3","5YR","4","2","4","SL","VF","VE","4",8.48825206544,8.43814448672,8.27568723107,8.67843715898,8.72532181900649,8.388036908,8.11322997542,9.4839370148,10.48349657,12.7532467532468,74.038961038961,8.47532467532467,12.8791946308725,73.7718120805369,8.49127516778523,8.84044474273154
"23",1980,54,1,"LL",1,NA,81,0,"3",5,"2","3",4,"2","SL",75,"VF",12,7.6,"0",3,"5YR","5YR","4",3,"NE",0.319938511,"3","5YR","5","2","4","3","5YR","4","2","4","SL","VF","SL","2","3","5YR","5","2","4","3","5YR","4","2","4","SL","VF","SL","2",8.193117315,9.7741834275,10.1581808775556,10.1581808775556,10.1581808775556,11.35524954,10.7775316034516,NA,NA,11.4074074074074,64.4444444444444,8.14814814814815,11.3846153846154,64.0384615384615,8.16923076923077,10.2166363037308
"24",1886,256,NA,"LL",3,1,48,0,"2",6,"2","3",4,"2","SL",72,"VF",12,8,"2",5,"7.5YR","5YR","4",3,"SL",0.966821843333333,"3","5YR","5","2","4","3","5YR","3","2","4","SL","VF","VE","4","3","5YR","5","2","4","3","5YR","3","2","4","SL","VF","VE","4",8.8221928076,9.193331661625,9.193331661625,9.193331661625,9.193331661625,9.59674345947826,NA,NA,NA,12.4583333333333,72.375,8.11458333333333,12.5116279069767,72.4186046511628,8.12790697674419,9.18308072739535
"25",2013,288,3,"CL",1,1,149,0,"3",5,"2","3",3,"2","SL",76,"F",9,8,"0",6,"5YR","5YR","3",3,"NE",0.313505841825503,"3","5YR","7","3","6","3","5YR","4","3","6","SL","F","VE","4","3","5YR","7","3","6","3","5YR","4","3","6","SL","F","VE","4",7.9021760716,8.1078024541,7.86411547739,6.80238271365101,6.80238271365101,8.3134288366,7.62042850068,4.635581155,NA,8.34228187919463,77.5503355704698,8.25436241610738,8.31468531468532,77.6153846153846,8.26503496503497,6.76113743987413
"26",2047.95874,137,3,"CV",0,1,31,0,"2",5,"3","2",4,"3","LS",80,"VF",5,8.2,"4",9,"7.5YR","7.5YR","6",6,"VE",1.47474206506452,"2","7.5YR","5","3","6","2","7.5YR","4","3","6","LS","VF","VE","4","2","7.5YR","7","2","3","2","7.5YR","6","2","4","SL","VF","VE","4",6.10527419396,6.52709646112903,6.52709646112903,6.52709646112903,6.52709646112903,8.284689241,NA,NA,NA,7.25806451612903,77.741935483871,8.40645161290323,8.18181818181818,76.8181818181818,8.49090909090909,7.119226649
"27",1929.957764,50,15,"CL",0,1,153,0,"2",6,"2","2",4,"3","LS",85,"VF",6,8.2,"4",12,"7.5YR","7.5YR","4",6,"VE",0.221918037882353,"2","7.5YR","6","2","4","2","7.5YR","4","3","6","LS","VF","VE","4","2","7.5YR","6","2","4","2","7.5YR","4","3","6","LS","VF","VE","4",4.14205647892,4.8732993592,5.3985549151,5.68554876458667,5.70197567453595,5.60454223948,5.923810471,6.25953646356,6.523321172,7.89542483660131,80.3921568627451,8.41830065359477,8.05673758865248,80,8.43687943262411,5.94644552062411
