"id","top","bottom","Horizon","DryRed","DryValue","DryCClass","MoistRed","MoistValue","MoistCClass","Texture","SandPercent","SandSize","ClayPercent","pH","EfferScale","Theta_fc","Theta_pwp","AWHC","HzNum",".id","Depth","DryHue","MoistHue","DryChroma","MoistChroma","Effervescence"
"B1_7",105,116,"C","2",8,"1","2",6,"2","SL",65,"F",5,8.6,"4",0.16366872,0.059024459,10.46442617,NA,4,11,"7.5YR","7.5YR","2",4,"VE"
"B1_8",0,6,"A","2",6,"2","2",4,"2","SL",80,"F",7,7.8,"2",0.104209268,0.047858639,5.635062899,NA,1,6,"7.5YR","7.5YR","4",3,"SL"
"B1_8",6,65,"B","2",7,"2","2",5,"2","SL",70,"F",5,8.1,"3",0.144918306,0.053365269,9.155303766,NA,2,59,"7.5YR","7.5YR","4",4,"ST"
"B1_8",65,113,"BC","2",7,"2","2",4,"2","SL",80,"F",5,8.1,"3",0.093772599,0.042975928,5.079667113,NA,3,48,"7.5YR","7.5YR","4",4,"ST"
"B1_8",113,148,"C","2",7,"2","2",6,"2","SL",80,"F",5,8.1,"3",0.093772599,0.042975928,5.079667113,NA,4,35,"7.5YR","7.5YR","4",4,"ST"
"B1_8",148,200,"Ab","2",6,"2","2",4,"2","SL",60,"F",10,8.1,"3",0.18588602,0.072333525,11.35524954,NA,5,52,"7.5YR","7.5YR","4",4,"ST"
"B1_9",0,4,"A","2",6,"2","2",4,"2","SL",50,"F",5,7.6,"1",0.210873721,0.061173304,14.97004172,NA,1,4,"7.5YR","7.5YR","4",4,"VS"
"B1_9",4,20,"B","3",5,"3","3",4,"2","SL",60,"F",5,7.8,"1",0.178911483,0.06204064,11.68708431,NA,2,16,"5YR","5YR","6",4,"VS"
"B1_9",20,46,"B2","3",6,"2","3",5,"3","SL",55,"F",5,8,"3",0.193537487,0.062486104,13.10513826,NA,3,26,"5YR","5YR","4",6,"ST"
"B1_9",46,75,"B3","3",7,"2","3",5,"2","SL",55,"MIX",7,8.2,"3",0.194530427,0.066222367,12.83080608,NA,4,29,"5YR","5YR","4",4,"ST"
"B1_9",75,100,"B4","3",6,"2","3",4,"2","SL",60,"F",7,8.2,"3",0.181338524,0.065918486,11.54200385,NA,5,25,"5YR","5YR","4",4,"ST"
"B1_9",100,160,"B5","3",6,"3","3",5,"2","L",45,"F",7,8.4,"3",0.230085589,0.063369427,16.67161622,NA,6,60,"5YR","5YR","6",4,"ST"
"B1_9",160,180,"B6","3",7,"2","3",5,"2","SL",55,"F",10,8.6,"4",0.196941126,0.072335852,12.46052744,NA,7,20,"5YR","5YR","4",4,"VE"
