PedonID,Latitude,Longitude,Northing,Easting,altitude,CarbonateStage,ExcavationDepth,IRLDepth,IRL150,IRL100,IRL50,MaxClay,MaxRF,MaxAWC,TotalAWC,AWC25,AWC50,AWC100,ARTR2_L_Total,ARTR2_D_Total,ARTR2_ALL_Total,ARTR2_L_Mature,ARTR2_D_Mature,ARTER_ALL_Mature,ARTR2_L_GT050,ARTR2_D_GT050,ARTR2_ALL_GT050,ATCA2_L_Total,ATCA2_D_Total,ATCA2_ALL_Total,EPVI_L_Total,EPVI_D_Total,EPVI_ALL_Total,KRLA2_L_Total,KRLA2_D_total,KRLA2_ALL_total,JUOS_PIED_Total,LPI_ARTR_D_DP,LPI_ARTR_Alive,LPI_ARTR_all,Bare_Soil,PerGrass,Total_Foliar,Total_Litter
CLHS23P,37.98183382,-109.8711196,4204399.896,599139.6656,1980,1,81,81,Y,Y,N,15,20,11.355,44.409,8.19288,9.77394,10.15792593,0,5,5,0,5,5,0,0,0,9,0,9,0,0,0,96,0,96,0,0,0,0,0.261,0.3007,0.389,0.3387
CLHS25P,37.98145655,-109.8623667,4204367.393,599908.8838,2013,1,150,150,N,N,N,10,3,8.563,28.923,7.90204,8.10772,7.86412,0,21,21,0,21,21,0,4,4,4,0,4,4,0,4,4,0,4,0,0.0057,0,0.0057,0.0777,0.5277,0.6333,0.7
CLHS26P,37.97923928,-109.8436128,4204142.302,601558.014,2047.95874,0,31,31,Y,Y,Y,10,15,8.285,18.445,6.1056,6.527419355,6.527419355,5,1,6,5,1,6,1,0,1,3,0,3,0,0,0,0,0,0,2,0,0.0057,0.0057,0.2167,0.2223,0.3943,0.45
CLHS28P,37.97881994,-109.8821969,4204054.382,598169.8752,1943.176025,1,83,83,Y,Y,N,5,10,2.543,2.834,1.02236,0.58608,0.402361446,7,0,7,7,0,7,1,0,1,1,0,1,0,0,0,12,0,12,0,0,0,0,0.511,0.0613,0.2447,0.3053
CLHS29P,37.97700081,-109.8409897,4203896.792,601791.4853,2058.533203,1,163,150,N,N,N,8,5,5.924,18.341,2.19556,3.1479,4.53595,6,13,19,6,13,19,2,0,2,5,0,5,0,0,0,194,0,194,0,0.0057,0,0.0057,0.1223,0.3777,0.6277,0.7557
CLHS30P,37.96982557,-109.8559168,4203084.433,600490.2289,2018.158203,0,134,NA,NA,NA,NA,5,15,0.858,3.008,0.798,0.828,0.81286,11,2,13,11,2,13,2,0,2,1,0,1,12,0,12,0,0,0,1,0,0,0,0.261,0.167,0.4663,0.4443
CLHS32P,37.96903666,-109.8748262,4202976.659,598830.3314,1965.045654,0,114,114,Y,N,N,15,20,9.886,18.533,9.34084,7.04358,3.87579,32,28,60,32,28,60,3,1,4,6,0,6,0,0,0,0,0,0,1,0.0223,0.0167,0.039,0.229,0.1737,0.3017,0.375
CLHS35P,37.96331677,-109.9141366,4202301.006,595384.7779,1897.032959,2,77,77,Y,Y,N,10,5,4.226,9.335,2.6094,3.22212,3.57412987,0,12,12,0,12,12,0,2,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0.1057,0.0333,0.4887,0.6497
B1_1,37.9457,-109.92004,4200340,594889,NA,0,188,150,N,N,N,7,15,19.47,71.54,16.0846,11.3714,12.03675,15,40,55,15,37,52,9,5,14,1,1,2,0,0,0,55,1,56,0,0.0466,0.0366,0.0832,0.0898,0.6334,0.7334,0.4266
B1_2,37.95677167,-109.9299263,4201558.733,594006.0809,1874.44,0,51,51,Y,Y,N,5,2,11.687,31.306,10.23392,9.69446,9.683882353,3,4,7,3,4,7,2,0,2,19,0,19,0,0,0,1,0,1,0,0,0,0,0.1168,0.4834,0.5866,0.3732
B1_3,37.96868655,-109.9186458,4202892.208,594981.7479,1877.09,1,165,150,N,N,N,10,2,11.687,34.989,10.80644,10.63522,9.78696,2,0,2,1,0,1,0,0,0,19,1,20,0,0,0,55,0,55,0,0,0,0,0.2066,0.46,0.5702,0.3234
B1_4,37.94908958,-109.9227854,4200713.589,594643.283,1885.74,0,187,150,N,N,N,10,6,12.831,50.615,10.78164,10.60632,10.51866,0,1,1,0,1,1,0,0,0,13,0,13,0,0,0,88,0,88,0,0.0066,0,0.0066,0.13,0.4466,0.5298,0.3632
B1_5,37.94971436,-109.917225,4200788.577,595131.0229,1882.85,1,153,153,N,N,N,5,4,13.105,57.516,11.34244,10.75512,9.95506,0,14,14,0,14,14,0,1,1,26,0,26,0,0,0,0,0,0,0,0.0068,0,0.0068,0.1866,0.4468,0.5034,0.3932
B1_6,37.95630832,-109.9259306,4201511.361,594357.7024,1879.97,1,59,53,Y,Y,N,7,1,10.464,37.851,9.4168,8.84206,8.952389831,1,47,48,1,47,48,0,10,10,27,1,28,0,0,0,6,0,6,0,0.01,0,0.01,0.1,0.5804,0.6502,0.3234
