PedonID,Latitude,Longitude,Northing,Easting,altitude,CarbonateStage,ExcavationDepth,IRLDepth,IRL150,IRL100,IRL50,MaxClay,MaxRF,MaxAWC,TotalAWC,AWC25,AWC50,AWC100,ARTR2_L_Total,ARTR2_D_Total,ARTR2_ALL_Total,ARTR2_L_Mature,ARTR2_D_Mature,ARTER_ALL_Mature,ARTR2_L_GT050,ARTR2_D_GT050,ARTR2_ALL_GT050,ATCA2_L_Total,ATCA2_D_Total,ATCA2_ALL_Total,EPVI_L_Total,EPVI_D_Total,EPVI_ALL_Total,KRLA2_L_Total,KRLA2_D_total,KRLA2_ALL_total,JUOS_PIED_Total,LPI_ARTR_D_DP,LPI_ARTR_Alive,LPI_ARTR_all,Bare_Soil,PerGrass,Total_Foliar,Total_Litter
IL4_2,37.96824114,-109.9247647,4202836.562,594444.8461,1867.95,0,165,150,N,N,N,5,4,10.464,33.854,9.155,9.155,9.5477,8,33,41,8,33,41,3,5,8,12,5,17,3,0,3,0,0,0,0,0.0234,0.0034,0.0268,0.1366,0.4538,0.5668,0.3268
IL4_3,37.95492447,-109.922852,4201360.938,594629.9419,1882.85,1,25,25,Y,Y,Y,15,22,19.903,38.416,18.8466,18.8466,18.8466,0,12,12,0,12,12,0,0,0,10,0,10,0,0,0,73,0,73,0,0.0066,0,0.0066,0.1498,0.5102,0.5468,0.28
IL4_4,37.95706672,-109.941061,4201580.29,593027.4904,1893.67,1,15,7,Y,Y,Y,7,20,10.443,19.728,9.8254,9.8254,9.8254,2,9,11,2,9,11,0,0,0,2,0,2,0,0,0,0,0,0,0,0.0168,0,0.0168,0.1166,0.3166,0.4232,0.2132
IL4_5,37.95924844,-109.9301552,4201833.314,593982.814,1870.84,1,23,23,Y,Y,Y,7,10,7.768,12.848,5.781217391,5.781217391,5.781217391,8,13,21,6,13,19,0,0,0,6,0,6,0,0,0,65,0,65,0,0.0134,0.0034,0.0168,0.1132,0.5302,0.5898,0.1934
IL4_7,37.97278027,-109.9312851,4203333.614,593866.3161,1869.15,0,190,150,N,N,N,10,2,11.843,42.971,11.61424,11.57812,11.56006,0,52,52,0,52,52,0,7,7,17,1,18,0,0,0,0,0,0,0,0.0566,0,0.0566,0.1966,0.4838,0.6,0.2666
IL4_8,37.96950722,-109.9237093,4202978.113,594535.9246,1885.5,0,10,10,Y,Y,Y,5,3,9.155,9.155,9.155,9.155,9.155,68,10,78,38,10,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0034,0.0068,0.0102,0.11,0.0202,0.2668,0.3002
IL4_9,37.95729588,-109.9318476,4201614.959,593836.6227,1888.38,0,32,32,Y,Y,Y,5,4,10.492,31.448,10.48192,10.484125,10.484125,2,40,42,2,40,42,0,0,0,2,0,2,0,0,0,1,0,1,0,0.0268,0.0034,0.0302,0.0736,0.5836,0.65,0.3868
IL4_10,37.97925353,-109.9387363,4204044.378,593203.666,1895.83,1,180,150,N,N,N,3,3,11.843,38.451,10.87028,10.68114,10.58657,27,18,45,26,18,44,12,1,13,5,0,5,1,0,1,0,0,0,0,0.0236,0.0334,0.057,0.1966,0.3934,0.58,0.2534
M1_1,37.94830117,-109.9263933,4200622.452,594327.2939,1890.78,0,182,150,N,N,N,10,1,10.431,33.119,7.08544,7.42672,8.39626,7,0,7,7,0,7,3,0,3,12,0,12,0,0,0,105,0,105,0,0.0068,0,0.0068,0.1566,0.2332,0.4398,0.4766
M1_2,37.94755275,-109.9269675,4200538.829,594277.7958,1894.87,1,187,150,N,N,N,5,1,9.155,36.62,9.155,9.155,9.155,37,40,77,37,40,77,3,3,6,4,0,4,0,0,0,133,0,133,0,0.0368,0.0168,0.0536,0.14,0.2864,0.5164,0.4866
M1_4,37.94896795,-109.9296886,4200693.103,594036.906,1888.38,1,171,150,N,N,N,7,3,7.768,23.008,5.08,5.24128,5.85952,1,11,12,1,11,12,0,0,0,0,0,0,0,0,0,145,0,145,0,0.0134,0.0034,0.0168,0.1402,0.2768,0.4964,0.44
M1_5,37.95943905,-109.9273559,4201857.291,594228.4883,1863.87,0,131,150,N,N,N,25,1,17.615,53.795,10.69764,10.56432,13.37398,9,38,47,9,38,47,1,7,8,15,0,15,0,0,0,0,0,0,0,0.0532,0.01,0.0632,0.1432,0.5132,0.6134,0.3132
M1_6,37.95013195,-109.9264233,4200825.557,594322.3165,1894.63,1,181,150,N,N,N,7,3,9.155,24.691,8.26732,8.01766,7.89283,0,0,0,0,0,0,0,0,0,20,3,23,0,0,0,33,0,33,0,0,0,0,0.2066,0.3368,0.5268,0.3632
M1_7,37.94750079,-109.9293084,4200530.696,594072.1897,1894.87,1,190,150,N,N,N,10,2,11.355,38.82,9.155,9.155,9.155,1,0,1,1,0,1,0,0,0,53,0,53,0,0,0,0,0,0,0,0,0,0,0.1034,0.2034,0.5066,0.3998
M1_8,37.95584883,-109.91891,4201467.513,594975.0762,1875.16,1,171,150,N,N,N,10,1,9.493,33.976,8.86024,9.07262,9.18157,0,0,0,0,0,0,0,0,0,68,1,69,0,0,0,0,0,0,0,0,0,0,0.2266,0.2932,0.4232,0.4
M1_10,37.95085372,-109.9331961,4200898.805,593726.3351,1878.77,1,187,150,N,N,N,10,1,11.355,37.355,9.285,9.285,9.285,0,9,9,0,9,9,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0.09,0.4266,0.5668,0.4068
M2_1,37.95659406,-109.9212695,4201547.798,594766.8271,1872.76,1,112,78,Y,Y,N,15,2,10.483,40.345,10.30828,9.90064,9.91462,14,41,55,14,41,55,1,2,3,4,1,5,0,0,0,1,0,1,0,0.0568,0.0068,0.0636,0.17,0.5098,0.6198,0.2266
M2_3,37.95942748,-109.9288212,4201854.526,594099.7752,1864.11,0,63,63,Y,Y,N,10,4,6.523,23.428,6.06124,6.29212,6.283380952,0,57,57,0,57,57,0,1,1,5,1,6,0,0,0,0,0,0,0,0.0598,0,0.0598,0.0966,0.59,0.6966,0.2434
M2_5,37.94963834,-109.9262644,4200770.949,594336.9106,1892.71,1,176,150,N,N,N,7,7,11.687,45.533,7.98992,8.26732,9.015,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,23,0,23,0,0,0,0,0.1732,0.3566,0.4632,0.37
M2_6,37.95896857,-109.9248354,4201807.642,594450.5101,1859.54,1,186,150,N,N,N,18,1,14.054,45.212,7.913,7.6715,7.72835,0,0,0,0,0,0,0,0,0,186,4,190,0,0,0,0,0,0,0,0,0,0,0.2266,0.23,0.3734,0.36
M2_7,37.95552076,-109.9177943,4201432.25,595073.519,1873.24,0,165,150,N,N,N,7,1,11.687,29.615,7.19424,6.13712,6.41496,0,0,0,0,0,0,0,0,0,80,7,87,0,0,0,0,0,0,0,0,0,0,0.1832,0.2668,0.48,0.4202
M2_8,37.94855163,-109.9292061,4200647.396,594079.8343,1885.74,0,104,150,N,N,N,7,2,11.542,30.617,5.24348,5.7615,6.42675,0,4,4,0,4,4,0,0,0,4,0,4,0,0,0,18,0,18,0,0,0,0,0.1634,0.4234,0.6,0.3434
M2_9,37.94838424,-109.9282748,4200629.765,594161.8754,1894.87,1,180,150,N,N,N,7,2,9.285,20,8.444,8.8645,7.87025,1,11,12,1,11,12,0,3,3,10,1,11,0,0,0,81,0,81,0,0.0168,0,0.0168,0.13,0.287,0.473,0.3834
M2_10,37.95237537,-109.9274837,4201073.404,594226.2837,1883.81,0,187,150,N,N,N,5,0,9.155,42.414,6.05596,6.57398,6.83299,0,0,0,0,0,0,0,0,0,23,0,23,0,0,0,3,0,3,0,0,0.0034,0.0034,0.2164,0.2134,0.3634,0.4634
M3_1,37.95327491,-109.9297001,4201170.974,594030.4064,1875.4,0,186,150,N,N,N,5,4,13.105,48.131,12.14076,10.53538,9.30881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,111,0,0,0,0,0.1766,0.547,0.603,0.2834
M3_2,37.95791245,-109.9253478,4201689.94,594406.8491,1881.89,1,91,60,Y,Y,N,7,5,11.542,36.35,10.6628,10.04338,8.26921978,14,47,61,12,47,59,2,5,7,2,0,2,0,0,0,0,0,0,0,0.0868,0.01,0.0968,0.18,0.4134,0.5802,0.2732
M3_3,37.95821177,-109.9216125,4201726.944,594734.6165,1871.8,0,170,150,N,N,N,5,1,10.464,37.513,9.88804,9.52152,8.99326,6,30,36,5,30,35,0,1,1,2,2,4,0,0,0,6,0,6,0,0.0068,0,0.0068,0.1532,0.4934,0.6566,0.3134
M3_5,37.95772252,-109.9221397,4201672.122,594688.9278,1874.92,1,183,150,N,N,N,12,1,14.97,43.331,14.207,11.27974,9.18587,0,80,80,0,80,80,0,8,8,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.0834,0.63,0.7164,0.2366
M3_7,37.94856981,-109.9296931,4200648.923,594037.0232,1891.02,1,189,150,N,N,N,5,5,9.155,24.208,7.56812,7.84406,7.63703,2,1,3,2,1,3,0,0,0,0,0,0,0,0,0,23,0,23,0,0.01,0,0.01,0.1466,0.253,0.4232,0.4634
M3_8,37.9589368,-109.927981,4201800.932,594174.2131,1867.71,1,186,150,N,N,N,15,3,12.831,67.765,11.17172,10.9282,11.27033,0,50,50,0,50,50,0,4,4,20,0,20,0,0,0,0,0,0,0,0.0864,0,0.0864,0.17,0.4372,0.59,0.3098
M4_2,37.95881325,-109.9256025,4201789.631,594383.3255,1866.27,0,190,150,N,N,N,5,1,14.97,74.972,10.65692,9.85618,9.75689,7,19,26,4,19,23,0,0,0,4,1,5,3,0,3,19,0,19,0,0,0.0166,0.0166,0.11,0.4302,0.5968,0.2868
M4_3,37.95754457,-109.9231026,4201651.399,594604.57,1867.95,1,188,150,N,N,N,23,3,14.583,63.818,9.1966,9.2408,9.2044,5,31,36,5,31,36,1,0,1,7,0,7,1,0,1,0,0,0,0,0.04,0,0.04,0.0834,0.6,0.7,0.2732
M4_4,37.95296805,-109.9308422,4201135.774,593930.4544,1879.73,0,176,150,N,N,N,5,5,11.687,33.796,11.4424,10.7376,8.9148,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,84,0,84,0,0.0034,0,0.0034,0.21,0.49,0.5468,0.2534
M4_5,37.94902956,-109.9301663,4200699.457,593994.8572,1879.01,1,190,150,N,N,N,10,5,8.285,21.133,5.5928,5.71272,6.74036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0,0,0,0,0.1268,0.3134,0.4798,0.3232
M4_6,37.95990927,-109.9274854,4201909.335,594216.511,1858.82,1,159,148,Y,N,N,20,3,11.038,41.108,10.1984,10.3452,10.4186,5,51,56,4,51,55,1,4,5,23,0,23,0,0,0,16,0,16,0,0.0668,0.0034,0.0702,0.15,0.3734,0.51,0.3
M4_7,37.95788974,-109.9243977,4201688.383,594490.352,1873,1,73,60,Y,Y,N,15,5,14.97,47.135,14.10392,13.03596,11.83115068,6,16,22,5,16,21,0,1,1,0,0,0,16,0,16,1,0,1,0,0.03,0,0.03,0.1334,0.2802,0.5066,0.3134
M4_9,37.97703995,-109.9386222,4203798.881,593216.4924,1882.61,0,67,64,Y,Y,N,25,1,12.977,51.488,12.88932,12.79616,12.77825373,110,12,122,99,12,111,14,2,16,10,1,11,0,0,0,0,0,0,0,0.0268,0.1032,0.13,0.36,0.2836,0.5032,0.2034
