id,top,bottom,Horizon,DryHue,DryValue,DryChroma,MoistHue,MoistValue,MoistChroma,Texture,SandPercent,SandSize,ClayPercent,pH,Effervescence,Theta_fc,Theta_pwp,AWHC,HzNum,Elevation,Aspect,Slope,SlopeShape,CarbonateStage,BioticCrustClass
B1_8,65,113,BC,7.5YR,7,4,7.5YR,4,4,SL,80,F,5,8.1,ST,0.093772599,0.042975928,5.079667113,,NA,NA,NA,NA,NA,NA
B1_8,113,148,C,7.5YR,7,4,7.5YR,6,4,SL,80,F,5,8.1,ST,0.093772599,0.042975928,5.079667113,,NA,NA,NA,NA,NA,NA
B1_8,148,200,Ab,7.5YR,6,4,7.5YR,4,4,SL,60,F,10,8.1,ST,0.18588602,0.072333525,11.35524954,,NA,NA,NA,NA,NA,NA
B1_9,0,4,A,7.5YR,6,4,7.5YR,4,4,SL,50,F,5,7.6,VS,0.210873721,0.061173304,14.97004172,,1892.221409,20,5,CL,0,1
B1_9,4,20,B,5YR,5,6,5YR,4,4,SL,60,F,5,7.8,VS,0.178911483,0.06204064,11.68708431,,NA,NA,NA,NA,NA,NA
B1_9,20,46,B2,5YR,6,4,5YR,5,6,SL,55,F,5,8,ST,0.193537487,0.062486104,13.10513826,,NA,NA,NA,NA,NA,NA
B1_9,46,75,B3,5YR,7,4,5YR,5,4,SL,55,MIX,7,8.2,ST,0.194530427,0.066222367,12.83080608,,NA,NA,NA,NA,NA,NA
B1_9,75,100,B4,5YR,6,4,5YR,4,4,SL,60,F,7,8.2,ST,0.181338524,0.065918486,11.54200385,,NA,NA,NA,NA,NA,NA
B1_9,100,160,B5,5YR,6,6,5YR,5,4,L,45,F,7,8.4,ST,0.230085589,0.063369427,16.67161622,,NA,NA,NA,NA,NA,NA
B1_9,160,180,B6,5YR,7,4,5YR,5,4,SL,55,F,10,8.6,VE,0.196941126,0.072335852,12.46052744,,NA,NA,NA,NA,NA,NA
B1_9,180,180,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
B1_10,0,4,A,7.5YR,5,4,7.5YR,3,3,SL,50,VF,5,7.8,VS,0.210873721,0.061173304,14.97004172,,1887.039746,344,2,LV,0,0
B1_10,4,21,B,5YR,5,6,5YR,4,4,SiL,30,VF,7,8,SL,0.288987813,0.063144376,22.58434366,,NA,NA,NA,NA,NA,NA
B1_10,21,28,B2,7.5YR,5,4,5YR,4,4,SL,75,F,15,8,ST,0.166867273,0.075113473,9.175379918,,NA,NA,NA,NA,NA,NA
B1_10,28,44,Cr,7.5YR,6,4,7.5YR,4,4,SL,70,F,5,8.2,VE,0.144918306,0.053365269,9.155303766,,NA,NA,NA,NA,NA,NA
B2_1,0,7,A,7.5YR,6,4,7.5YR,4,4,SL,55,F,5,7.6,VS,0.193537487,0.062486104,13.10513826,,1880.943672,350,4,LL,0,0
B2_1,7,43,B,7.5YR,6,4,7.5YR,4,4,SL,65,F,5,7.8,SL,0.16366872,0.059024459,10.46442617,,NA,NA,NA,NA,NA,NA
B2_1,43,94,B2,5YR,7,4,5YR,5,4,SL,60,F,5,8.2,ST,0.178911483,0.06204064,11.68708431,,NA,NA,NA,NA,NA,NA
B2_1,94,200,C,5YR,7,3,5YR,5,4,LS,75,M,3,8.4,ST,0.112720965,0.041797128,7.092383724,,NA,NA,NA,NA,NA,NA
B2_2,0,4,A,7.5YR,6,4,7.5YR,5,4,SL,50,F,5,7.8,SL,0.210873721,0.061173304,14.97004172,,1881.55328,0,4,LV,0,2
B2_2,4,28,B,5YR,7,6,5YR,5,4,SL,50,F,5,8.2,SL,0.210873721,0.061173304,14.97004172,,NA,NA,NA,NA,NA,NA
B2_2,28,40,B2,5YR,7,6,5YR,5,6,SL,50,F,5,8.2,ST,0.210873721,0.061173304,14.97004172,,NA,NA,NA,NA,NA,NA
B2_2,40,99,C,5YR,8,3,5YR,7,4,LS,80,M,3,8.4,ST,0.083890239,0.038355544,4.553469578,,NA,NA,NA,NA,NA,NA
B2_2,99,128,Ab,5YR,6,8,5YR,5,6,SL,60,F,7,7.8,NE,0.181338524,0.065918486,11.54200385,,NA,NA,NA,NA,NA,NA
B2_2,128,165,Bb,5YR,8,4,5YR,6,6,SL,75,F,5,8.4,VE,0.121022648,0.046719307,7.430334021,,NA,NA,NA,NA,NA,NA
B2_2,165,200,Cb,5YR,8,1,5YR,7,4,SL,55,MIX,5,8.4,VE,0.193537487,0.062486104,13.10513826,,NA,NA,NA,NA,NA,NA
B2_4,0,4,A,7.5YR,6,6,7.5YR,4,3,SL,65,VF,5,7.3,NE,0.16366872,0.059024459,10.46442617,,1896.488661,91,1,LV,1,1
B2_4,4,6,A2,7.5YR,6,4,7.5YR,4,3,SL,50,F,5,7.8,NE,0.210873721,0.061173304,14.97004172,,NA,NA,NA,NA,NA,NA
B2_4,6,19,B,7.5YR,5,6,7.5YR,3,4,SL,60,F,7,8,SL,0.181338524,0.065918486,11.54200385,,NA,NA,NA,NA,NA,NA
B2_4,19,67,B2,5YR,6,6,7.5YR,4,4,SL,60,F,7,8,ST,0.181338524,0.065918486,11.54200385,,NA,NA,NA,NA,NA,NA
B2_4,67,107,2Cr,10YR,8,2,10YR,7,3,LS,80,F,3,8.6,VE,0.083890239,0.038355544,4.553469578,,NA,NA,NA,NA,NA,NA
B2_5,0,7,A,7.5YR,6,4,7.5YR,4,4,SL,60,F,5,7.4,SL,0.178911483,0.06204064,11.68708431,,1876.066813,200,4,LV,0,1
B2_5,7,34,B,5YR,6,6,5YR,4,6,SL,70,F,5,8.2,SL,0.144918306,0.053365269,9.155303766,,NA,NA,NA,NA,NA,NA
B2_5,34,111,B2,5YR,7,6,5YR,5,6,SL,70,F,5,8.2,ST,0.144918306,0.053365269,9.155303766,,NA,NA,NA,NA,NA,NA
B2_5,111,165,B3,5YR,8,4,5YR,6,6,SL,70,F,5,8.6,ST,0.144918306,0.053365269,9.155303766,,NA,NA,NA,NA,NA,NA
B2_5,165,185,B4,5YR,7,6,5YR,5,6,SL,70,F,5,8.6,VE,0.144918306,0.053365269,9.155303766,,NA,NA,NA,NA,NA,NA
