id,bottom,bottom,Horizon,DryHue,DryValue,DryChroma,MoistHue,MoistValue,MoistChroma,Texture,SandPercent,SandSize,ClayPercent,pH,Effervescence,Theta_fc,Theta_pwp,AWHC,HzNum
CLHS12P,0,9,A,5YR,5,4,5YR,4,4,LS,85,VF,5,8.1,VE,0.070626535,0.045199005,2.542753,1
CLHS12P,9,30,C1,5YR,4,4,5YR,3,4,SL,75,VF,10,8.4,VE,0.142929541,0.060082649,8.284689241,2
CLHS12P,30,65,C2,5YR,4,4,5YR,3,4,SL,75,F,10,8.4,VE,0.142929541,0.060082649,8.284689241,3
CLHS12P,65,65,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
CLHS13P,0,13,A,7.5YR,5,6,7.5YR,4,6,SL,75,VF,10,8.1,VE,0.142929541,0.060082649,8.284689241,1
CLHS13P,13,48,Bk1,7.5YR,7,4,7.5YR,5,6,SL,75,VF,8,8.5,VE,0.133943934,0.054553391,7.939054282,2
CLHS13P,48,88,Bk2,7.5YR,7,4,7.5YR,5,6,LS,80,VF,7,8.7,VE,0.104209268,0.047858639,5.635062899,3
CLHS13P,88,133,Bw1,7.5YR,8,2,7.5YR,6,4,S,90,VF,4,8.8,VE,0.056353114,0.049268856,0.708425839,4
CLHS13P,133,150,Bw2,7.5YR,6,6,7.5YR,5,6,S,90,VF,6,8.9,VE,0.064237574,0.053861162,1.03764114,5
CLHS14P,0,5,A,7.5YR,8,4,7.5YR,5,4,LS,80,VF,6,8.1,ST,0.098915741,0.045378855,5.353688629,1
CLHS14P,5,13,Bk1,7.5YR,6,4,7.5YR,4,6,LS,85,VF,8,8.2,VE,0.086693704,0.051921849,3.477185496,2
CLHS14P,13,31,Bk2,7.5YR,8,3,7.5YR,4,6,SL,70,VF,6,8.4,VE,0.147975845,0.055774288,9.220155775,3
CLHS14P,31,31,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
CLHS15P,0,8,A,7.5YR,7,6,7.5YR,4,6,LS,80,VF,6,8,SL,0.098915741,0.045378855,5.353688629,1
CLHS15P,8,15,Bk1,7.5YR,7,4,7.5YR,4,6,LS,80,VF,8,8.2,ST,0.109640891,0.050402787,5.923810471,2
CLHS15P,15,31,Bk2,7.5YR,6,6,7.5YR,5,6,SL,75,VF,10,8.5,VE,0.142929541,0.060082649,8.284689241,3
CLHS15P,31,44,Bk3,7.5YR,7,6,7.5YR,6,4,SL,70,F,10,8.6,VE,0.160883369,0.065950224,9.493314452,4
CLHS15P,44,44,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
CLHS16P,0,9,A,7.5YR,7,4,7.5YR,4,6,LS,85,VF,6,8.1,ST,0.075697345,0.047402795,2.829454983,1
CLHS16P,9,28,Bk,7.5YR,6,4,7.5YR,4,6,LS,80,VF,8,8.3,VE,0.109640891,0.050402787,5.923810471,2
CLHS16P,28,28,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
CLHS17P,0,5,A,7.5YR,7,4,7.5YR,5,6,LS,85,VF,7,8,ST,0.081049151,0.049641242,3.140790895,1
CLHS17P,5,14,Bk1,7.5YR,7,6,7.5YR,4,6,LS,80,VF,8,8.3,VE,0.109640891,0.050402787,5.923810471,2
CLHS17P,14,26,Bk2,7.5YR,7,6,7.5YR,4,4,SL,75,VF,10,8.3,VE,0.142929541,0.060082649,8.284689241,3
CLHS17P,26,26,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
CLHS18P,0,5,A,5YR,6,4,5YR,4,4,LS,85,VF,6,8.1,ST,0.075697345,0.047402795,2.829454983,1
CLHS18P,5,5,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
CLHS19P,0,3,A,7.5YR,5,4,5YR,3,3,VFSL,75,VF,10,8,NE,0.142929541,0.060082649,8.284689241,1
CLHS19P,3,10,ABw,5YR,4,4,5YR,3,3,VFSL,75,VF,10,8.1,VS,0.142929541,0.060082649,8.284689241,2
CLHS19P,10,53,Bw,5YR,5,4,5YR,4,3,VFSL,75,VF,10,8.3,ST,0.142929541,0.060082649,8.284689241,3
CLHS19P,53,85,Bk,5YR,6,4,5YR,4,4,VFSL,76,VF,10,8.4,VE,0.138798847,0.058955969,7.984287777,4
