id,Latitude,Longitude,y_proj,x_proj,altitude
B4_8,37.97145216,-109.9245831,4203193.03,594456.686,1888.14
B4_9,37.97235045,-109.9188951,4203298.486,594955.1316,1891.51
B4_10,37.97236076,-109.9201622,4203298.339,594843.8244,1889.58
IL1_1,37.95973132,-109.9475158,4201869.516,592457.087,1871.08
IL1_3,37.98141028,-109.9400779,4204282.34,593083.1137,1885.02
IL1_4,37.97704339,-109.934215,4203803.685,593603.5585,1878.53
IL1_5,37.98181957,-109.9450736,4204322.77,592643.8611,1875.64
IL1_8,37.95914954,-109.9470815,4201805.395,592495.9667,1877.09
IL1_9,37.9703517,-109.9325325,4203062.892,593759.8422,1863.87
IL1_10,37.9550274,-109.9258873,4201369.279,594363.1484,1878.29
IL2_1,37.96023524,-109.9319236,4201941.023,593826.2038,1861.95
IL2_2,37.95583734,-109.9448631,4201440.093,592695.019,1879.25
IL2_3,37.9531957,-109.9167747,4201175.312,595166.0929,1887.66
IL2_4,37.98176391,-109.9443618,4204317.303,592706.4499,1876.61
IL2_5,37.95583927,-109.9301061,4201455.096,593991.4741,1870.12
IL2_7,37.97387109,-109.9370998,4203448.802,593354.2168,1875.4
IL2_8,37.95643816,-109.9402539,4201511.354,593099.1963,1891.27
IL2_9,37.97811359,-109.9322413,4203924.417,593775.5497,1868.67
IL2_10,37.96001924,-109.9309682,4201918.019,593910.4067,1873
IL3_1,37.95414923,-109.9217653,4201276.025,594726.4107,1887.66
IL3_2,37.95977667,-109.9457234,4201876.328,592614.4894,1884.78
IL3_3,37.98205535,-109.9456935,4204348.314,592589.1287,1875.88
IL3_4,37.94623009,-109.9217592,4200397.355,594737.1186,1905.92
IL3_6,37.95630949,-109.9421314,4201495.203,592934.4104,1889.34
IL3_7,37.95726713,-109.9469453,4201596.666,592510.2938,1884.78
IL3_9,37.98065356,-109.944813,4204193.653,592668.2136,1877.81
IL3_10,37.97926753,-109.9438768,4204040.797,592752.1843,1885.5
IL4_2,37.96824114,-109.9247647,4202836.562,594444.8461,1867.95
IL4_3,37.95492447,-109.922852,4201360.938,594629.9419,1882.85
IL4_4,37.95706672,-109.941061,4201580.29,593027.4904,1893.67
IL4_5,37.95924844,-109.9301552,4201833.314,593982.814,1870.84
IL4_7,37.97278027,-109.9312851,4203333.614,593866.3161,1869.15
IL4_8,37.96950722,-109.9237093,4202978.113,594535.9246,1885.5
IL4_9,37.95729588,-109.9318476,4201614.959,593836.6227,1888.38
IL4_10,37.97925353,-109.9387363,4204044.378,593203.666,1895.83
M1_1,37.94830117,-109.9263933,4200622.452,594327.2939,1890.78
M1_2,37.94755275,-109.9269675,4200538.829,594277.7958,1894.87
M1_4,37.94896795,-109.9296886,4200693.103,594036.906,1888.38
M1_5,37.95943905,-109.9273559,4201857.291,594228.4883,1863.87
M1_6,37.95013195,-109.9264233,4200825.557,594322.3165,1894.63
M1_7,37.94750079,-109.9293084,4200530.696,594072.1897,1894.87
M1_8,37.95584883,-109.91891,4201467.513,594975.0762,1875.16
M1_10,37.95085372,-109.9331961,4200898.805,593726.3351,1878.77
M2_1,37.95659406,-109.9212695,4201547.798,594766.8271,1872.76
M2_3,37.95942748,-109.9288212,4201854.526,594099.7752,1864.11
M2_5,37.94963834,-109.9262644,4200770.949,594336.9106,1892.71
M2_6,37.95896857,-109.9248354,4201807.642,594450.5101,1859.54
M2_7,37.95552076,-109.9177943,4201432.25,595073.519,1873.24
M2_8,37.94855163,-109.9292061,4200647.396,594079.8343,1885.74
M2_9,37.94838424,-109.9282748,4200629.765,594161.8754,1894.87
M2_10,37.95237537,-109.9274837,4201073.404,594226.2837,1883.81
M3_1,37.95327491,-109.9297001,4201170.974,594030.4064,1875.4
M3_2,37.95791245,-109.9253478,4201689.94,594406.8491,1881.89
M3_3,37.95821177,-109.9216125,4201726.944,594734.6165,1871.8
M3_5,37.95772252,-109.9221397,4201672.122,594688.9278,1874.92
M3_7,37.94856981,-109.9296931,4200648.923,594037.0232,1891.02
M3_8,37.9589368,-109.927981,4201800.932,594174.2131,1867.71
M4_2,37.95881325,-109.9256025,4201789.631,594383.3255,1866.27
M4_3,37.95754457,-109.9231026,4201651.399,594604.57,1867.95
M4_4,37.95296805,-109.9308422,4201135.774,593930.4544,1879.73
M4_5,37.94902956,-109.9301663,4200699.457,593994.8572,1879.01
M4_6,37.95990927,-109.9274854,4201909.335,594216.511,1858.82
M4_7,37.95788974,-109.9243977,4201688.383,594490.352,1873
M4_9,37.97703995,-109.9386222,4203798.881,593216.4924,1882.61
