Plot Name,type,ident,lat,long,y_proj (Northing),x_proj (Easting),comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime
cLHS050_06,WAYPOINT,CLHS06-3-30,38.00727616,-109.9035614,4207188.845,596257.2671,09-JUL-13 5:17:52PM,0,8284,0,0,0,31,1961,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_06,WAYPOINT,CLHS06-5-0,38.00723241,-109.9032209,4207184.343,596287.216,09-JUL-13 5:24:37PM,0,8284,0,0,0,31,1962,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_06,WAYPOINT,CLHS06-5-30,38.00714264,-109.9035146,4207174.079,596261.5478,09-JUL-13 5:28:38PM,0,8284,0,0,0,31,1963,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_06,WAYPOINT,CLHS06-CENTER,38.00734363,-109.903455,4207196.442,596266.5244,09-JUL-13 5:42:55PM,0,8284,0,0,0,31,1956,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_09,WAYPOINT,CLHS09-1-0,38.00607244,-109.944473,4207013.746,592667.0574,09-JUL-13 10:59:38AM,0,8284,0,0,0,31,1937,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_09,WAYPOINT,CLHS09-130-0,38.00617754,-109.944269,4207025.61,592684.8289,09-JUL-13 11:09:08AM,0,8284,0,0,0,31,1937,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_09,WAYPOINT,CLHS09-3-0,38.0061954,-109.9445707,4207027.292,592658.3217,09-JUL-13 11:17:19AM,0,8284,0,0,0,31,1940,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_09,WAYPOINT,CLHS09-3-30-0,38.00634124,-109.9442883,4207043.755,592682.9301,09-JUL-13 11:23:13AM,0,8284,0,0,0,31,1940,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_09,WAYPOINT,CLHS09-5-0-30,38.00627578,-109.9446766,4207036.105,592648.9267,09-JUL-13 11:31:01AM,0,8284,0,0,0,31,1941,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_09,WAYPOINT,CLHS09-5-30-0,38.00646144,-109.9443818,4207056.999,592674.5736,09-JUL-13 11:33:41AM,0,8284,0,0,0,31,1943,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_09,WAYPOINT,CLHS09-CENTER,38.00625315,-109.9444265,4207033.843,592670.9062,09-JUL-13 11:48:53AM,0,8284,0,0,0,31,1940,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_10,WAYPOINT,CHLS50-10-5-0,38.00535327,-109.9063611,4206972.594,596013.9875,13-JUL-13 2:03:01PM,0,8284,0,0,0,31,1958,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_10,WAYPOINT,CLHS50-10-1-0,38.00557891,-109.9064029,4206997.587,596010.0217,13-JUL-13 1:58:14PM,0,8284,0,0,0,31,1962,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_10,WAYPOINT,CLHS50-10-1-30,38.00550951,-109.9067533,4206989.525,595979.3445,13-JUL-13 2:15:11PM,0,8284,0,0,0,31,1956,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_10,WAYPOINT,CLHS50-10-3-0,38.00546953,-109.9064263,4206985.426,596008.1038,13-JUL-13 1:59:02PM,0,8284,0,0,0,31,1958,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_10,WAYPOINT,CLHS50-10-3-30,38.00540314,-109.9066975,4206977.78,595984.3839,13-JUL-13 2:12:28PM,0,8284,0,0,0,31,1956,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
cLHS050_10,WAYPOINT,CLHS50-10-5-30,38.00530734,-109.9067004,4206967.148,595984.2586,13-JUL-13 2:09:51PM,0,8284,0,0,0,31,1959,0,0,1989/12/31-00:00:00,0,,128,,,,,,,,0,-1,1,eTrex Vista HCx,,12/30/1989 18:00
