id,Elevation,Landform,Aspect,Slope,SlopeShape,ParentMaterial1,ParentMaterial2,BedrockGeology1,BedrockGeology2,SoilDepthClass,CarbonateStage,BioticCrustClass,ExcavationDepth,IRLDepth,IRL150,
IL4_3,6177,SH,60,8,VL,Eolian,Residuum,Sandstone,NA,Shallow,1,1,25,25,Y,
IL4_4,6213,BS,200,5,CL,Eolian,Residuum,Sandstone,NA,Very Shallow,1,6,15,7,Y,
IL4_5,6138,SH,80,8,VV,Eolian,Residuum,Sandstone,NA,Very Shallow,1,1,23,23,Y,
IL4_7,6132,SUMMIT,180,1,VV,Eolian,NA,Sandstone,NA,Very Deep,0,1,190,150+,N,
IL4_8,6186,BS,260,11,VV,Residuum,NA,Sandstone,NA,Very Shallow,0,6,10,10,Y,
IL4_9,6195,SH,300,8,CC,Eolian,Residuum,Sandstone,NA,Shallow,0,0,32,32,Y,
IL4_10,6220,BS,90,10,VV,Eolian,NA,Sandstone,NA,Very Deep,1,5,180,150+,N,
M1_1,6203,SUMMIT,191,3,CC,Eolian,NA,Sandstone,NA,Very Deep,0,0,182,150+,N,
M1_2,6217,SH,321,2,LL,Eolian,NA,Sandstone,NA,Very Deep,1,1,187,150+,N,
M1_4,6195,SH,270,2,LV,Eolian,NA,Sandstone,NA,Very Deep,1,1,171,150+,N,
M1_5,6115,SH,220,1,CC,Eolian,Residuum,Sandstone,NA,Deep,0,0,131,150+,N,
M1_6,6216,BS,0,2,CC,Eolian,NA,Sandstone,NA,Very Deep,1,1,181,150+,N,
M1_7,6217,BS,340,5,LV,Eolian,NA,Sandstone,NA,Very Deep,1,1,190,150+,N,
M1_8,6152,TS,330,1,LC,Eolian,FLOODPLAIN,Sandstone,NA,Very Deep,1,0,171,150+,N,
M1_10,6164,BS,320,5,LL,Eolian,NA,Sandstone,NA,Very Deep,1,0,187,150+,N,
M2_1,6144,SH,60,5,VC,Eolian,Residuum,Sandstone,NA,Deep,1,1,112,78,Y,
M2_3,6116,BS,40,5,LL,Eolian,Residuum,Sandstone,NA,Moderately Deep,0,1,63,63,Y,
