Plot.Name,lat,long,Northing,Easting,Date,altitude
CLHS85P,37.97177469,-109.9207819,4203232.043,594791.1158,20-MAY-13 4:39:44PM,1878
CLHS90P,37.96669467,-109.8919961,4202698.715,597325.2546,16-JUL-14 2:16:33PM,1942.2146
CLHS97P,37.9557495,-109.9279717,4201446.654,594180.0671,19-JUN-13 9:57:45AM,1874
CLHS98P,37.953564,-109.9449708,4201187.108,592689.3796,18-JUN-13 12:49:35PM,1886
CLHS100P,37.94702855,-109.9205803,4200486.512,594840.6435,22-MAY-13 2:17:33PM,1898
Miller12P,38.01036967,-109.9354602,4207500.206,593451.896,08-JUL-14 2:38:57PM,1904.002441
Miller15P,38.00535897,-109.8831102,4206997.476,598055.2839,22-JUN-13 10:14:25AM,1992
Miller16P,38.00500014,-109.9458004,4206894.083,592550.8978,08-JUL-14 8:36:25AM,1942.455078
Miller17P,38.00249705,-109.887908,4206674.879,597637.8557,21-JUN-13 3:58:46PM,1990
Miller19P,37.98543057,-109.8720445,4204797.996,599053.5986,20-JUN-13 5:18:46PM,1980
Miller28P,37.95276118,-109.9453787,4201097.625,592654.548,18-JUN-13 3:43:52PM,1877
Miller30P,37.95158939,-109.9146725,4200998.595,595353.8272,19-JUN-13 1:17:44PM,1880
Miller47P,37.97357731,-109.9257336,4203427.025,594353.8776,20-JUN-13 2:17:24PM,1876
BLMTREND11P,37.98893211,-109.8665248,4205192.405,599533.6038,21-JUN-13 9:26:59AM,1984
BLMTREND12P,38.01050537,-109.9095015,4207541.658,595730.6062,09-JUL-14 9:45:53AM,1955.913086
BLMTREND14P,37.97675522,-109.9276864,4203777.658,594178.2952,20-JUN-13 11:45:26AM,1890
BLMTREND15P,37.94675748,-109.9148511,4200462.283,595344.386,19-JUN-13 4:20:53PM,1894
