Site,Plot,Indicator,1st Hit Avg,1st Hit StDev,Any Hit Avg,Any Hit StDev
BEEF BASIN 2013,1,UNKSPR,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,YUBA,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,YUBA/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,1,YUBA/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,ACHY,0.006,0.010,0.006,0.010
BEEF BASIN 2013,10,ACHY/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,AF01,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,AMSIN,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,AMUT,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,AMUT/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,ARNO4,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,ARPU9,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,ARPU9/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,ARTR2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,ARTR2/D,0.006,0.010,0.011,0.019
BEEF BASIN 2013,10,ARTR2/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,ATCA2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,ATCA2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,ATCA2/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,BAMU,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,BOGR,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,BOGR/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,BOGR2,0.006,0.010,0.011,0.019
BEEF BASIN 2013,10,BOGR2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,BRTE,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,CEIN7,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,CEIN7/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,CEMO2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,CHVI,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,CHVI/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,CHVI/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,CHVI8,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,CHVI8/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,CHVI8/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,CRAN4,0.000,0.000,0.000,0.000
BEEF BASIN 2013,10,CRFL5,0.000,0.000,0.000,0.000
