Site,Plot,Indicator,1st Hit Avg,1st Hit StDev,Any Hit Avg,Any Hit StDev
BEEF BASIN 2013,33,AMUT,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,AMUT/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,ARNO4,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,ARPU9,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,ARPU9/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,ARTR2,0.006,0.010,0.006,0.010
BEEF BASIN 2013,33,ARTR2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,ARTR2/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,ATCA2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,ATCA2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,ATCA2/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,BAMU,0.006,0.010,0.006,0.010
BEEF BASIN 2013,33,BOGR,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,BOGR/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,BOGR2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,BOGR2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,BRTE,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,CEIN7,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,CEIN7/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,CEMO2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,CHVI,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,CHVI/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,CHVI/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,CHVI8,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,CHVI8/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,CHVI8/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,CRAN4,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,CRFL5,0.000,0.000,0.006,0.010
BEEF BASIN 2013,33,ECCO5/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,ECCOC,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,ECCOC/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,ELEL,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,ELEL5,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,EPVI,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,ERCI6,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,ERMI4,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,FRAN2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,GRFA,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,GUMI,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,GUSA,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,GUSA/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,GUSA/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,GUSA2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,GUSA2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,HECO26,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,HECO26/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,HYACA2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,HYFI/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,JUOS,0.094,0.034,0.094,0.034
BEEF BASIN 2013,33,JUOS/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,JUOS/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,KRLA2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,KRLA2/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,LEMO2,0.000,0.000,0.006,0.010
BEEF BASIN 2013,33,MAFR3,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,MAFR3/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,MAGR2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,OPPO,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,OPPO/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,OPPO/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,PEPU7,0.022,0.019,0.022,0.019
BEEF BASIN 2013,33,PEPU9,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,PHAU3,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,PHAU3/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,PHAUA3,0.006,0.010,0.006,0.010
BEEF BASIN 2013,33,PIED,0.094,0.092,0.094,0.092
BEEF BASIN 2013,33,PIED/D,0.100,0.076,0.105,0.075
BEEF BASIN 2013,33,PIED/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,PLPA2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,PSSP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,SALS0,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,SHRO,0.022,0.025,0.022,0.025
BEEF BASIN 2013,33,SHRO/DP,0.006,0.010,0.006,0.010
BEEF BASIN 2013,33,SPCO4,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,SPCR,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,SPCR/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,STUPID,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,SYOR,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,SYOR2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,SYOR2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,UNKCLOVER,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,UNKF2A,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,UNKSPR,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,YUBA,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,YUBA/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,33,YUBA/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,ACHY,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,ACHY/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,AF01,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,AMSIN,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,AMUT,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,AMUT/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,ARNO4,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,ARPU9,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,ARPU9/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,ARTR2,0.022,0.025,0.022,0.025
BEEF BASIN 2013,38,ARTR2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,ARTR2/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,ATCA2,0.022,0.019,0.022,0.019
BEEF BASIN 2013,38,ATCA2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,ATCA2/DP,0.006,0.010,0.006,0.010
BEEF BASIN 2013,38,BAMU,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,BOGR,0.278,0.069,0.295,0.086
BEEF BASIN 2013,38,BOGR/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,BOGR2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,BOGR2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,BRTE,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,CEIN7,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,CEIN7/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,CEMO2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,CHVI,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,CHVI/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,CHVI/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,CHVI8,0.061,0.019,0.067,0.017
BEEF BASIN 2013,38,CHVI8/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,CHVI8/DP,0.011,0.010,0.011,0.010
BEEF BASIN 2013,38,CRAN4,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,CRFL5,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,ECCO5/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,ECCOC,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,ECCOC/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,ELEL,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,ELEL5,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,EPVI,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,ERCI6,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,ERMI4,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,FRAN2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,GRFA,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,GUMI,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,GUSA,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,GUSA/D,0.006,0.010,0.011,0.010
BEEF BASIN 2013,38,GUSA/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,GUSA2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,GUSA2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,HECO26,0.117,0.029,0.133,0.017
BEEF BASIN 2013,38,HECO26/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,HYACA2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,HYFI/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,JUOS,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,JUOS/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,JUOS/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,KRLA2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,KRLA2/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,LEMO2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,MAFR3,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,MAFR3/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,MAGR2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,OPPO,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,OPPO/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,OPPO/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,PEPU7,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,PEPU9,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,PHAU3,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,PHAU3/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,PHAUA3,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,PIED,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,PIED/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,PIED/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,PLPA2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,PSSP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,SALS0,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,SHRO,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,SHRO/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,SPCO4,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,SPCR,0.022,0.009,0.022,0.009
BEEF BASIN 2013,38,SPCR/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,STUPID,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,SYOR,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,SYOR2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,SYOR2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,UNKCLOVER,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,UNKF2A,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,UNKSPR,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,YUBA,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,YUBA/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,38,YUBA/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,ACHY,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,ACHY/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,AF01,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,AMSIN,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,AMUT,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,AMUT/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,ARNO4,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,ARPU9,0.011,0.019,0.011,0.019
BEEF BASIN 2013,39,ARPU9/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,ARTR2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,ARTR2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,ARTR2/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,ATCA2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,ATCA2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,ATCA2/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,BAMU,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,BOGR,0.039,0.038,0.045,0.048
BEEF BASIN 2013,39,BOGR/D,0.000,0.000,0.006,0.010
BEEF BASIN 2013,39,BOGR2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,BOGR2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,BRTE,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,CEIN7,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,CEIN7/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,CEMO2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,CHVI,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,CHVI/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,CHVI/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,CHVI8,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,CHVI8/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,CHVI8/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,CRAN4,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,CRFL5,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,ECCO5/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,ECCOC,0.006,0.010,0.006,0.010
BEEF BASIN 2013,39,ECCOC/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,ELEL,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,ELEL5,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,EPVI,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,ERCI6,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,ERMI4,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,FRAN2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,GRFA,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,GUMI,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,GUSA,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,GUSA/D,0.006,0.010,0.022,0.009
BEEF BASIN 2013,39,GUSA/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,GUSA2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,GUSA2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,HECO26,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,HECO26/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,HYACA2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,HYFI/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,JUOS,0.050,0.060,0.083,0.073
BEEF BASIN 2013,39,JUOS/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,JUOS/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,KRLA2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,KRLA2/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,LEMO2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,MAFR3,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,MAFR3/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,MAGR2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,OPPO,0.011,0.019,0.011,0.019
BEEF BASIN 2013,39,OPPO/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,OPPO/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,PEPU7,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,PEPU9,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,PHAU3,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,PHAU3/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,PHAUA3,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,PIED,0.161,0.224,0.161,0.224
BEEF BASIN 2013,39,PIED/D,0.039,0.042,0.039,0.042
BEEF BASIN 2013,39,PIED/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,PLPA2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,PSSP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,SALS0,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,SHRO,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,SHRO/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,SPCO4,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,SPCR,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,SPCR/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,STUPID,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,SYOR,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,SYOR2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,SYOR2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,UNKCLOVER,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,UNKF2A,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,UNKSPR,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,YUBA,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,YUBA/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,39,YUBA/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,ACHY,0.006,0.010,0.006,0.010
BEEF BASIN 2013,40,ACHY/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,AF01,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,AMSIN,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,AMUT,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,AMUT/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,ARNO4,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,ARPU9,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,ARPU9/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,ARTR2,0.006,0.010,0.006,0.010
BEEF BASIN 2013,40,ARTR2/D,0.017,0.017,0.017,0.017
BEEF BASIN 2013,40,ARTR2/DP,0.006,0.010,0.006,0.010
BEEF BASIN 2013,40,ATCA2,0.039,0.035,0.039,0.035
BEEF BASIN 2013,40,ATCA2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,ATCA2/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,BAMU,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,BOGR,0.172,0.048,0.183,0.029
BEEF BASIN 2013,40,BOGR/D,0.017,0.017,0.017,0.017
BEEF BASIN 2013,40,BOGR2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,BOGR2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,BRTE,0.000,0.000,0.006,0.010
BEEF BASIN 2013,40,CEIN7,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,CEIN7/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,CEMO2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,CHVI,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,CHVI/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,CHVI/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,CHVI8,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,CHVI8/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,CHVI8/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,CRAN4,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,CRFL5,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,ECCO5/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,ECCOC,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,ECCOC/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,ELEL,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,ELEL5,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,EPVI,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,ERCI6,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,ERMI4,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,FRAN2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,GRFA,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,GUMI,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,GUSA,0.017,0.029,0.017,0.029
BEEF BASIN 2013,40,GUSA/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,GUSA/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,GUSA2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,GUSA2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,HECO26,0.178,0.039,0.194,0.054
BEEF BASIN 2013,40,HECO26/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,HYACA2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,HYFI/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,JUOS,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,JUOS/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,JUOS/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,KRLA2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,KRLA2/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,LEMO2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,MAFR3,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,MAFR3/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,MAGR2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,OPPO,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,OPPO/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,OPPO/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,PEPU7,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,PEPU9,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,PHAU3,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,PHAU3/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,PHAUA3,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,PIED,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,PIED/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,PIED/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,PLPA2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,PSSP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,SALS0,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,SHRO,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,SHRO/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,SPCO4,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,SPCR,0.100,0.076,0.100,0.076
BEEF BASIN 2013,40,SPCR/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,STUPID,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,SYOR,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,SYOR2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,SYOR2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,UNKCLOVER,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,UNKF2A,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,UNKSPR,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,YUBA,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,YUBA/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,40,YUBA/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,42,ACHY,0.000,0.000,0.000,0.000
BEEF BASIN 2013,42,ACHY/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,42,AF01,0.000,0.000,0.000,0.000
BEEF BASIN 2013,42,AMSIN,0.000,0.000,0.000,0.000
BEEF BASIN 2013,42,AMUT,0.000,0.000,0.000,0.000
BEEF BASIN 2013,42,AMUT/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,42,ARNO4,0.000,0.000,0.000,0.000
BEEF BASIN 2013,42,ARPU9,0.000,0.000,0.000,0.000
BEEF BASIN 2013,42,ARPU9/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,42,ARTR2,0.022,0.039,0.022,0.039
BEEF BASIN 2013,42,ARTR2/D,0.033,0.017,0.033,0.017
BEEF BASIN 2013,42,ARTR2/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,42,ATCA2,0.022,0.019,0.022,0.019
BEEF BASIN 2013,42,ATCA2/D,0.006,0.010,0.006,0.010
BEEF BASIN 2013,42,ATCA2/DP,0.000,0.000,0.000,0.000
BEEF BASIN 2013,42,BAMU,0.000,0.000,0.000,0.000
BEEF BASIN 2013,42,BOGR,0.233,0.017,0.261,0.026
BEEF BASIN 2013,42,BOGR/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,42,BOGR2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,42,BOGR2/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,42,BRTE,0.000,0.000,0.000,0.000
BEEF BASIN 2013,42,CEIN7,0.000,0.000,0.000,0.000
BEEF BASIN 2013,42,CEIN7/D,0.000,0.000,0.000,0.000
BEEF BASIN 2013,42,CEMO2,0.000,0.000,0.000,0.000
BEEF BASIN 2013,42,CHVI,0.006,0.010,0.006,0.010
BEEF BASIN 2013,42,CHVI/D,0.000,0.000,0.000,0.000
