"","id","Elevation","maxClay[, 2]","maxSand[, 2]","minClay[, 2]","minSand[, 2]","maxDepth[, 2]","maxpH[, 2]","minpH[, 2]","maxDryValue[, 2]","minDryValue[, 2]","maxDryChroma[, 2]","minDryChroma[, 2]","maxMoistValue[, 2]","minMoistValue[, 2]","maxMoistChroma[, 2]","minMoistChroma[, 2]","CarbonateStage[, 2]","BioticCrustClass[, 2]"
"63","IL4_10",6220,3,75,2,60,200,8.4,7.4,8,6,6,2,5,4,6,4,1,5
"64","IL4_2",6128,5,80,4,65,200,8.4,7.8,8,7,4,4,6,5,4,4,0,2
"65","IL4_3",6177,15,40,4,35,25,8.1,7.8,6,5,4,4,4,3,4,4,1,1
"66","IL4_4",6213,7,70,6,65,15,7.8,7.6,7,6,6,6,5,5,4,4,1,6
"67","IL4_5",6138,7,80,4,75,23,8.1,7.8,6,5,6,4,4,4,4,4,1,1
"68","IL4_7",6132,10,70,3,60,200,8.2,7.4,7,5,4,3,5,3,4,3,0,1
"69","IL4_8",6186,5,70,4,70,10,8.1,8.1,7,7,4,4,5,5,4,4,0,6
"70","IL4_9",6195,5,65,4,65,32,7.8,7.6,6,6,4,4,5,4,4,4,0,0
"71","M1_1",6203,10,80,4,65,182,8.6,7.8,7,6,5,4,5,4,4,3,0,0
"72","M1_10",6164,10,75,4,60,200,8.1,7.3,7,6,4,4,5,4,4,3,1,0
"73","M1_2",6217,5,70,4,70,187,8.2,8,7,5,4,4,5,4,4,3,1,1
"74","M1_4",6195,7,80,3,75,171,8.4,7.6,7,5,4,3,5,4,6,2,1,1
"75","M1_5",6115,25,65,4,30,131,8.2,6.6,7,6,6,4,5,4,6,4,0,0
"76","M1_6",6216,7,75,4,70,181,8.4,7.6,8,7,6,4,6,4,4,4,1,1
"77","M1_7",6217,10,70,3,60,200,8,7.5,6,5,4,3,4,4,4,2,1,1
"78","M1_8",6152,10,75,4,70,171,8,8,7,5,4,4,4,3,4,3,1,0
"79","M2_1",6144,15,70,3,65,112,8.6,6.6,8,6,6,3,6,4,6,4,1,1
"80","M2_10",6180,5,80,4,70,200,8.2,7.6,8,6,4,4,8,6,4,4,0,1
"81","M2_3",6116,10,80,4,80,63,8.6,7.4,7,5,4,4,5,4,6,3,0,1
"82","M2_5",6210,7,75,3,60,176,8.4,7.6,7,6,4,3,5,3,4,4,1,1
"83","M2_6",6101,18,80,3,45,186,7.6,7.4,7,5,4,3,5,4,4,3,1,0
"84","M2_7",6146,7,80,4,60,200,8.1,8,7,5,4,4,7,5,4,4,0,1
"85","M2_8",6187,7,80,3,60,200,8.2,7.6,7,6,4,3,5,4,4,2,0,0
"86","M2_9",6217,7,80,4,70,180,8.4,7.4,7,6,6,4,5,3,4,3,1,1
"87","M3_1",6153,5,75,4,55,186,8.6,7.6,7,6,4,4,6,4,6,3,0,2
"88","M3_2",6174,7,80,1,60,91,8.6,7,8,5,6,1,6,4,4,4,1,1
"89","M3_3",6141,5,75,4,65,170,8.4,7.6,7,6,6,4,5,4,4,4,0,2
"90","M3_5",6151,12,75,4,50,183,8.8,7.6,7,5,6,4,5,3,6,4,1,1
"91","M3_7",6204,5,85,4,70,189,8.4,8,6,6,4,4,6,6,4,4,1,1
"92","M3_8",6128,15,70,3,55,186,8.8,7.4,8,6,6,3,7,4,6,3,1,1
"93","M4_2",6123,5,70,4,50,200,8.4,7.4,8,6,4,4,6,3,4,4,0,3
"94","M4_3",6128,23,70,2,40,188,8.6,7.8,8,6,6,2,8,4,6,4,1,1
"95","M4_4",6167,5,80,3,60,176,8.2,7.8,8,6,6,3,6,4,6,4,0,1
"96","M4_5",6165,10,80,4,75,190,8.4,7.6,7,6,6,4,6,4,6,3,1,1
"97","M4_6",6098,20,70,4,60,159,8.4,6.8,7,5,6,4,5,4,6,3,1,2
"98","M4_7",6145,15,75,2,50,73,8.6,8,8,5,4,2,7,3,6,4,1,2
"99","M4_9",6176,25,55,4,45,67,8.4,7.6,7,5,4,4,5,3,6,4,0,0
