"","id","Elevation","SlopeShape","maxClay","minClay","maxSand","minSand","maxDepth","maxpH","minpH","maxDryValue","minDryValue","maxDryChroma","minDryChroma","maxMoistValue","minMoistValue","maxMoistChroma","minMoistChroma","CarbonateStage","BioticCrustClass","Surface","Subsurface","Depth50","Depth100","Depth150","Depth200","MaxAWC","TotalAWC","AWC25","AWC50","AWC100","ARTR2","ARTR2.D","Class"
"14","B2_4",1896.488661,"LV",7,3,80,50,107,8.6,7.3,8,5,6,2,7,3,4,3,1,1,3,3,1,1,0,0,11.687,48.307,9.86396,9.50948,9.33224,1,1,1
"15","B2_5",1876.066813,"LV",5,5,70,60,185,8.6,7.4,8,6,6,4,6,4,6,4,0,1,4,6,1,1,1,0,13.105,69.349,12.02732,11.75588,10.45544,1,1,1
"16","B2_6",1876.981224,"CC",23,5,70,50,200,8.6,7.2,7,5,6,4,6,4,6,4,1,1,4,4,1,1,1,1,11.687,34.916,11.687,11.6493,11.59565,1,1,1
"17","B2_7",1865.703487,"CL",7,5,60,60,106,8.3,7.8,7,6,6,4,5,4,6,4,1,1,4,6,1,1,0,0,12.703,47.73,8.44724,8.36612,8.89592,1,1,1
"18","B2_8",1878.810046,"LC",18,10,75,50,156,8.3,8.1,6,5,6,4,4,3,6,3,0,1,3,4,1,1,1,0,11.542,32.369,10.81976,10.70607407,10.70607407,0,1,2
"19","B2_9",1894.355035,"VL",7,7,70,60,27,7.8,7.5,6,5,6,4,4,4,4,4,1,1,4,4,0,0,0,0,16.417,52.835,15.7154,15.0357,14.69585,1,1,1
"20","B3_1",1866.617898,"VC",10,5,74,45,81,8.4,7.6,7,6,6,3,6,4,6,4,1,1,4,6,1,0,0,0,15.903,45.857,13.36236,14.63268,12.22637037,1,1,1
"21","B3_10",1895.57425,"CV",15,3,80,45,42,8,7.8,7,5,4,3,5,4,4,3,1,2,4,4,0,0,0,0,17.159,58.627,15.19696,14.76808,14.4191791,1,1,1
"22","B3_2",1890.392587,"VV",5,3,55,45,67,8.6,7.6,8,5,4,2,7,3,4,4,1,0,4,4,1,0,0,0,20.529,84.195,12.4908,12.6609,13.60155,1,1,1
"23","B3_3",1877.895635,"LL",20,5,65,20,200,8.2,7.5,7,6,6,4,6,4,6,4,0,0,4,4,1,1,1,1,10.492,35.632,9.84608,9.43504,9.22952,0,0,3
"24","B3_4",1873.628383,"LC",3,3,75,65,148,8.6,7.6,8,6,6,3,6,4,6,4,0,0,4,6,1,1,0,0,17.547,82.921,12.5218,11.91686,14.68867,0,1,2
"25","B3_5",1893.745428,"LC",19,7,70,35,178,8.2,7.6,6,4,6,4,4,3,6,4,1,0,6,4,1,1,1,0,11.751,54.454,10.56256,11.15678,11.41209,1,0,1
"26","B3_6",1867.837113,"VV",18,5,70,55,169,8.8,7.6,8,6,6,4,5,4,6,3,1,1,3,4,1,1,1,0,10.492,40.915,9.57468,9.38304,8.71702,1,1,1
"27","B3_7",1874.847598,"CC",7,3,80,65,135,8.4,7.6,8,6,6,4,6,4,6,3,0,2,3,6,1,1,0,0,11.355,37.08,8.459,8.372,9.235631579,1,1,1
