"","X","ARTR2","ARTR2.D","ATCA2","ATCA2.D","ATCO","ATCO.D","CHNAA3","CHVI8","CHVI8.D","EPVI","JUOS","KRLA2","KRLA2.D","PIED","PIED.D","YUAN2","YUAN2.D","YUBA","Elevation","Aspect","Slope","SlopeShape","CarbonateStage","BioticCrustClass","PedonDepth","Depth200","H1.DryRed","H1.DryValue","H1.DryCClass","H1.MoistRed","H1.MoistValue","H1.MoistCClass","H1.Texture","H1.SandPercent","H1.SandSize","H1.ClayPercent","H1.pH","H1.EfferScale","H1.Depth","H1.DryHue","H1.MoistHue","H1.DryChroma","H1.MoistChroma","H1.Effervescence","Tot.DryRed","Tot.DryHue","Tot.DryValue","Tot.DryCClass","Tot.DryChroma","Tot.MoistRed","Tot.MoistHue","Tot.MoistValue","Tot.MoistCClass","Tot.MoistChroma","Tot.Texture","Tot.SandSize","Tot.Effervescence","Tot.EfferScale","Sub.DryRed","Sub.DryHue","Sub.DryValue","Sub.DryCClass","Sub.DryChroma","Sub.MoistRed","Sub.MoistHue","Sub.MoistValue","Sub.MoistCClass","Sub.MoistChroma","Sub.Texture","Sub.SandSize","Sub.Effervescence","Sub.EfferScale"
"50","IL2_4",0,0.0555555555555556,0.0111111111111111,0,0,0,0,0,0,0,0,0.0222222222222222,0,0,0,0,0,0,1876.67642,290,3,"CL",1,1,43,0,2,5,2,2,3,2,"SL",65,"F",7,7.6,2,8,"7.5YR","7.5YR",4,3,"SL",2,"7.5YR",5,2,4,2,"7.5YR",4,2,4,"SL","F","ST",3,2,"7.5YR",5,2,4,2,"7.5YR",4,2,4,"L","F","ST",3
"51","IL2_5",0,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0,0,0,0,0,0,1869.970739,70,3,"VV",0,0,200,1,2,6,2,2,4,2,"SL",70,"F",5,7.6,0,6,"7.5YR","7.5YR",4,4,"NE",3,"5YR",6,2,4,3,"5YR",4,2,4,"LS","F","ST",3,3,"5YR",6,2,4,3,"5YR",4,2,4,"LS","F","ST",3
"52","IL2_7",0.266666666666667,0.166666666666667,0.0222222222222222,0,0,0,0,0.0222222222222222,0,0.211111111111111,0.00555555555555556,0,0,0,0,0,0,0,1875.457206,130,4,"LL",1,1,59,0,2,5,2,2,4,2,"SL",70,"F",7,7.6,1,7,"7.5YR","7.5YR",4,4,"VS",2,"7.5YR",5,3,6,2,"7.5YR",4,2,4,"SL","F","VE",4,2,"7.5YR",6,3,6,2,"7.5YR",5,2,4,"SL","F","VE",4
"53","IL2_8",0.0777777777777778,0.05,0.0722222222222222,0,0,0,0,0,0,0,0,0.0222222222222222,0,0,0,0,0,0,1891.306998,180,3,"CC",1,1,46,0,3,6,2,3,4,2,"SL",60,"F",5,7,0,6,"5YR","5YR",4,3,"NE",3,"5YR",6,3,6,3,"5YR",4,2,4,"SL","VF","ST",3,3,"5YR",6,3,6,3,"5YR",4,2,4,"SL","VF","ST",3
"54","IL2_9",0,0.205555555555556,0.0388888888888889,0.0111111111111111,0,0,0,0,0,0.0222222222222222,0.00555555555555556,0.566666666666667,0,0,0.00555555555555556,0,0,0,1868.751524,210,10,"VV",1,2,56,0,2,5,2,2,3,2,"SL",75,"F",5,7.8,2,8,"7.5YR","7.5YR",4,4,"SL",2,"7.5YR",6,2,4,3,"5YR",4,3,6,"SL","F","ST",3,2,"7.5YR",6,2,4,3,"5YR",4,3,6,"SL","F","ST",3
"55","IL3_1",0.00555555555555556,0.172222222222222,0.0166666666666667,0,0,0,0,0,0,0,0,0.0166666666666667,0,0,0,0,0,0,1887.649354,70,2,"LL",1,1,34,0,2,5,2,2,3,2,"SiL",40,"F",5,7.6,2,6,"7.5YR","7.5YR",4,4,"SL",3,"5YR",6,2,4,3,"5YR",4,2,4,"SiL","F","ST",3,3,"5YR",6,2,4,3,"5YR",4,2,4,"SiL","F","ST",3
"56","IL3_10",0.0944444444444444,0.1,0.0444444444444444,0.0222222222222222,0,0,0,0.0444444444444444,0.00555555555555556,0.0111111111111111,0,0.0166666666666667,0,0,0,0,0,0,1885.515728,290,5,"LV",1,4,154,0,2,6,2,2,4,2,"SL",55,"F",5,7,2,7,"7.5YR","7.5YR",4,3,"SL",2,"7.5YR",7,2,4,2,"7.5YR",5,2,4,"SL","F","ST",3,2,"7.5YR",7,2,4,2,"7.5YR",5,2,4,"SL","F","ST",3
"57","IL3_2",0.205555555555556,0.0888888888888889,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1884.90612,200,6,"LV",0,2,181,0,1,5,2,1,3,2,"LS",75,"F",5,7.6,0,5,"10YR","10YR",4,4,"NE",2,"7.5YR",5,3,6,2,"7.5YR",4,2,4,"LS","F","VE",4,2,"7.5YR",5,3,6,2,"7.5YR",4,2,4,"LS","F","VE",4
"58","IL3_3",0,0.244444444444444,0.00555555555555556,0,0,0,0,0.00555555555555556,0,0.172222222222222,0,0,0,0,0,0,0,0,1875.762009,300,5,"LV",1,3,200,1,2,6,2,2,4,2,"SL",65,"VF",5,7.4,0,6,"7.5YR","7.5YR",4,4,"NE",2,"7.5YR",7,3,6,2,"7.5YR",5,3,6,"SL","VF","ST",3,2,"7.5YR",7,3,6,2,"7.5YR",5,3,6,"SL","VF","ST",3
"59","IL3_4",0.394444444444444,0.155555555555556,0,0,0,0,0,0.0444444444444444,0,0,0,0,0,0,0,0,0,0,1905.937576,14,3,"VV",1,3,146,0,2,5,2,2,3,2,"SL",35,"F",12,6.6,0,4,"7.5YR","7.5YR",4,4,"NE",2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","VE",4,2,"7.5YR",6,2,4,2,"7.5YR",4,3,6,"SL","F","VE",4
"60","IL3_6",0.322222222222222,0.122222222222222,0.00555555555555556,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0,0,0,1889.478176,180,5,"LL",1,1,74,0,2,5,2,2,4,2,"SL",70,"F",7,7.6,0,7,"7.5YR","7.5YR",4,3,"NE",2,"7.5YR",5,3,6,3,"5YR",4,2,4,"SL","F","ST",3,2,"7.5YR",5,3,6,3,"5YR",4,2,4,"SL","F","ST",3
"61","IL3_7",0.0555555555555556,0.122222222222222,0.00555555555555556,0,0,0,0,0.0277777777777778,0,0,0,0.0388888888888889,0,0,0,0,0,0,1884.90612,230,5,"CC",1,1,27,0,2,5,2,2,4,2,"SL",70,"F",7,7.4,0,4,"7.5YR","7.5YR",4,4,"NE",3,"5YR",5,3,6,2,"7.5YR",4,2,4,"SL","F","ST",3,3,"5YR",5,3,6,2,"7.5YR",4,2,4,"SL","F","ST",3
"62","IL3_9",0.255555555555556,0.172222222222222,0,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0,1877.895635,150,2,"CL",1,1,106,0,2,6,2,2,4,2,"LS",80,"F",7,7.8,1,6,"7.5YR","7.5YR",4,4,"VS",2,"7.5YR",6,3,6,2,"7.5YR",5,3,6,"SL","F","ST",3,2,"7.5YR",6,3,6,2,"7.5YR",5,3,6,"SL","F","ST",3
"63","IL4_10",0.15,0.1,0.0277777777777778,0,0,0,0,0.0277777777777778,0,0.00555555555555556,0,0,0,0,0,0,0,0,1895.879054,90,10,"VV",1,5,200,1,2,6,2,2,4,2,"SL",60,"VF",3,7.4,2,7,"7.5YR","7.5YR",4,4,"SL",2,"7.5YR",8,3,6,2,"7.5YR",5,2,4,"SL","VF","ST",3,2,"7.5YR",8,3,6,2,"7.5YR",5,2,4,"SL","VF","ST",3
"64","IL4_2",0.0444444444444444,0.183333333333333,0.0666666666666667,0.0277777777777778,0,0,0.00555555555555556,0,0,0.0166666666666667,0,0,0,0,0,0,0,0,1867.837113,240,5,"VV",0,2,200,1,2,7,2,2,5,2,"SL",70,"F",5,7.8,2,7,"7.5YR","7.5YR",4,4,"SL",2,"7.5YR",8,2,4,2,"7.5YR",6,2,4,"SL","F","ST",3,2,"7.5YR",8,2,4,2,"7.5YR",6,2,4,"SL","F","ST",3
"65","IL4_3",0,0.0666666666666667,0.0555555555555556,0,0,0,0,0,0,0,0,0.405555555555556,0,0,0,0,0,0,1882.772495,60,8,"LV",1,1,25,0,2,5,2,2,3,2,"SiL",40,"F",3,7.8,2,6,"7.5YR","7.5YR",4,4,"SL",3,"5YR",6,2,4,3,"5YR",4,2,4,"L","F","ST",3,3,"5YR",6,2,4,3,"5YR",4,2,4,"L","F","ST",3
"66","IL4_4",0.0111111111111111,0.05,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,1893.745428,200,5,"CL",1,6,15,0,3,7,3,3,5,2,"SL",65,"MIX",7,7.6,2,7,"5YR","5YR",6,4,"SL",3,"5YR",6,3,6,3,"5YR",5,2,4,"SL","MIX","ST",3,3,"5YR",6,3,6,3,"5YR",5,2,4,"SL","MIX","ST",3
"67","IL4_5",0.0444444444444444,0.0722222222222222,0.0333333333333333,0,0,0,0,0.0944444444444444,0,0,0,0.361111111111111,0,0,0,0,0,0,1870.88515,80,8,"VV",1,1,23,0,2,6,2,2,4,2,"SL",75,"F",7,7.8,2,6,"7.5YR","7.5YR",4,4,"SL",2,"7.5YR",5,3,6,2,"7.5YR",4,2,4,"LS","F","ST",3,2,"7.5YR",5,3,6,2,"7.5YR",4,2,4,"LS","F","ST",3
"68","IL4_7",0,0.288888888888889,0.0944444444444444,0.00555555555555556,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,1869.056328,180,1,"VV",0,1,200,1,2,5,2,2,3,2,"SL",60,"F",3,7.4,2,6,"7.5YR","7.5YR",4,4,"SL",3,"5YR",6,2,4,3,"5YR",4,2,4,"SL","F","ST",3,3,"5YR",6,2,4,3,"5YR",4,2,4,"SL","F","ST",3
"69","IL4_8",0.377777777777778,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0,0.0388888888888889,0.00555555555555556,0.0111111111111111,0.0222222222222222,0,1885.515728,260,11,"VV",0,6,10,0,2,7,2,2,5,2,"SL",70,"F",5,8.1,2,10,"7.5YR","7.5YR",4,4,"SL",2,"7.5YR",7,2,4,2,"7.5YR",5,2,4,"SL","F","SL",2,1,"10YR",4,1,1,1,"10YR",3,2,3,"CL","CO","LS",0
"70","IL4_9",0.0111111111111111,0.222222222222222,0.0111111111111111,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0,1888.258961,300,8,"CC",0,0,32,0,2,6,2,2,4,2,"SL",65,"F",5,7.6,2,9,"7.5YR","7.5YR",4,4,"SL",2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","ST",3,2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","ST",3
"71","M1_1",0.0388888888888889,0,0.0666666666666667,0,0,0,0,0,0,0,0,0.583333333333333,0,0,0,0,0,0,1890.697391,191,3,"CC",0,0,182,0,2,6,2,2,4,2,"LS",80,"F",7,7.8,1,8,"7.5YR","7.5YR",4,3,"VS",2,"7.5YR",7,2,4,2,"7.5YR",5,2,4,"SL","F","ST",3,2,"7.5YR",7,2,4,2,"7.5YR",5,2,4,"SL","F","ST",3
"72","M1_10",0,0.05,0,0,0,0,0,0,0,0,0,0.0388888888888889,0,0,0,0,0,0,1878.810046,320,5,"LL",1,0,200,1,2,6,2,2,4,2,"SL",70,"F",7,7.3,1,6,"7.5YR","7.5YR",4,3,"VS",2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","SL",2,2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","SL",2
"73","M1_2",0.205555555555556,0.222222222222222,0.0222222222222222,0,0,0,0,0,0,0,0,0.738888888888889,0,0,0,0,0,0,1894.964643,321,2,"LL",1,1,187,0,2,5,2,2,4,2,"SL",70,"F",5,8,2,4,"7.5YR","7.5YR",4,3,"SL",2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","VE",4,2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","VE",4
"74","M1_4",0.00555555555555556,0.0611111111111111,0,0,0,0,0,0,0,0,0,0.805555555555556,0,0,0,0,0,0,1888.258961,270,2,"LV",1,1,171,0,1,5,2,2,4,1,"LS",80,"F",5,7.6,0,4,"10YR","7.5YR",3,2,"NE",2,"7.5YR",7,2,4,2,"7.5YR",5,3,6,"LS","M","ST",3,2,"7.5YR",7,2,4,2,"7.5YR",5,3,6,"LS","M","ST",3
"75","M1_5",0.05,0.211111111111111,0.0833333333333333,0,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,1863.874665,220,1,"CC",0,0,131,0,2,6,2,2,4,2,"SL",60,"F",7,6.6,0,6,"7.5YR","7.5YR",4,4,"NE",3,"5YR",6,2,4,3,"5YR",4,2,4,"L","F","ST",3,3,"5YR",6,2,4,3,"5YR",4,3,6,"L","F","ST",3
"76","M1_6",0,0,0.111111111111111,0.0166666666666667,0,0,0,0,0,0,0,0.183333333333333,0,0,0,0,0,0,1894.659839,0,2,"CC",1,1,181,0,2,7,2,2,4,2,"SL",70,"VF",5,7.6,2,9,"7.5YR","7.5YR",4,4,"SL",2,"7.5YR",8,2,4,2,"7.5YR",6,2,4,"SL","VF","VE",4,2,"7.5YR",8,2,4,2,"7.5YR",6,2,4,"SL","VF","VE",4
"77","M1_7",0.00555555555555556,0,0.294444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1894.964643,340,5,"LV",1,1,200,1,2,5,2,2,4,1,"SL",70,"F",5,7.5,3,8,"7.5YR","7.5YR",3,2,"ST",2,"7.5YR",5,2,4,2,"7.5YR",4,2,3,"SL","F","ST",3,2,"7.5YR",5,2,4,2,"7.5YR",4,2,3,"SL","F","ST",3
"78","M1_8",0,0,0.377777777777778,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875.152402,330,1,"CL",1,0,171,0,2,5,2,2,3,2,"SL",75,"F",7,8,3,7,"7.5YR","7.5YR",4,3,"ST",2,"7.5YR",7,2,4,2,"7.5YR",4,2,4,"SL","F","ST",3,2,"7.5YR",7,2,4,2,"7.5YR",4,2,4,"SL","F","ST",3
"79","M2_1",0.0777777777777778,0.227777777777778,0.0222222222222222,0.00555555555555556,0,0,0,0.0722222222222222,0,0,0,0.00555555555555556,0,0,0,0,0,0,1872.713972,60,5,"CV",1,1,112,0,2,6,3,2,4,2,"SL",70,"F",15,6.6,0,4,"7.5YR","7.5YR",6,4,"NE",2,"7.5YR",6,3,6,2,"7.5YR",5,3,6,"SL","F","ST",3,2,"7.5YR",6,3,6,2,"7.5YR",5,3,6,"SL","F","ST",3
"80","M2_10",0,0,0.127777777777778,0,0,0,0,0,0,0,0,0.0166666666666667,0,0,0,0,0,0,1883.686906,350,3,"LL",0,1,200,1,2,6,2,2,6,2,"SL",75,"F",5,7.6,2,6,"7.5YR","7.5YR",4,4,"SL",2,"7.5YR",7,2,4,2,"7.5YR",7,2,4,"LS","F","ST",3,2,"7.5YR",7,2,4,2,"7.5YR",7,2,4,"LS","F","ST",3
"81","M2_3",0,0.316666666666667,0.0277777777777778,0.00555555555555556,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,1864.179468,40,5,"LL",0,1,63,0,2,5,2,2,4,2,"LS",80,"F",7,7.4,0,5,"7.5YR","7.5YR",4,3,"NE",2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"LS","F","ST",3,2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"LS","F","ST",3
"82","M2_5",0,0,0.0277777777777778,0,0,0,0,0,0,0,0,0.127777777777778,0,0,0,0,0,0,1892.831017,20,1,"LV",1,1,176,0,2,6,2,2,3,2,"SL",70,"F",5,7.6,1,4,"7.5YR","7.5YR",3,4,"VS",2,"7.5YR",7,2,3,2,"7.5YR",4,2,4,"SL","VF","ST",3,2,"7.5YR",7,2,3,2,"7.5YR",4,2,4,"SL","VF","ST",3
"83","M2_6",0,0,1.03333333333333,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1859.607413,10,4,"LL",1,0,186,0,2,6,2,2,4,2,"SL",70,"F",5,7.4,3,7,"7.5YR","7.5YR",4,4,"ST",3,"5YR",7,2,4,3,"5YR",4,2,4,"SL","F","ST",3,3,"5YR",7,2,4,3,"5YR",4,2,4,"SL","F","ST",3
"84","M2_7",0,0,0.444444444444444,0.0388888888888889,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,1873.32358,310,1,"LV",0,1,200,1,2,5,2,2,5,2,"SL",60,"F",5,8.1,3,8,"7.5YR","7.5YR",4,4,"ST",2,"7.5YR",7,2,4,2,"7.5YR",7,2,4,"LS","F","ST",3,2,"7.5YR",7,2,4,2,"7.5YR",7,2,4,"LS","F","ST",3
"85","M2_8",0,0.0222222222222222,0.0222222222222222,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1885.820532,240,4,"LV",0,0,200,1,2,6,2,2,4,1,"SL",75,"F",5,7.6,2,6,"7.5YR","7.5YR",3,2,"SL",2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"SL","F","ST",3,2,"7.5YR",6,2,4,2,"7.5YR",4,2,4,"LS","M","ST",3
"86","M2_9",0.00555555555555556,0.0611111111111111,0.0333333333333333,0.00555555555555556,0,0,0,0,0,0,0,0.444444444444444,0,0,0,0,0,0,1894.964643,310,2,"VV",1,1,180,0,1,6,2,2,3,2,"LS",80,"F",5,7.4,0,5,"10YR","7.5YR",4,3,"NE",2,"7.5YR",7,2,4,2,"7.5YR",5,2,4,"LS","F","ST",3,2,"7.5YR",7,2,4,2,"7.5YR",5,2,4,"LS","F","ST",3
"87","M3_1",0,0,0,0,0,0,0,0,0,0,0,0.616666666666667,0,0,0,0,0,0,1875.457206,0,3,"LL",0,2,186,0,2,6,2,2,4,2,"SL",55,"F",5,7.6,2,8,"7.5YR","7.5YR",4,3,"SL",3,"5YR",7,2,4,3,"5YR",5,2,4,"SL","F","ST",3,3,"5YR",7,2,4,3,"5YR",5,2,4,"SL","F","ST",3
"88","M3_2",0.0777777777777778,0.261111111111111,0.0111111111111111,0,0,0,0,0.138888888888889,0.00555555555555556,0,0,0,0,0,0,0,0,0,1881.858083,70,5,"CC",1,1,91,0,2,5,2,2,4,2,"SL",60,"F",7,7,0,5,"7.5YR","7.5YR",4,4,"NE",3,"5YR",6,2,4,3,"5YR",4,2,4,"SL","F","ST",3,3,"5YR",6,2,4,3,"5YR",4,2,4,"SL","F","ST",3
"89","M3_3",0.0333333333333333,0.166666666666667,0.0111111111111111,0.0111111111111111,0,0,0.00555555555555556,0.333333333333333,0,0,0,0.0333333333333333,0,0,0,0,0,0,1871.799561,5,5,"VV",0,2,170,0,2,6,2,2,4,2,"SL",65,"F",5,7.6,2,7,"7.5YR","7.5YR",4,4,"SL",2,"7.5YR",7,3,6,2,"7.5YR",5,2,4,"SL","F","VE",4,2,"7.5YR",7,3,6,2,"7.5YR",5,2,4,"SL","F","VE",4
"90","M3_5",0,0.444444444444444,0,0,0,0,0,0.00555555555555556,0.00555555555555556,0,0,0,0,0,0,0,0,0,1874.847598,310,3,"VV",1,1,183,0,2,6,2,2,4,2,"SL",55,"F",12,7.6,1,7,"7.5YR","7.5YR",4,4,"VS",2,"7.5YR",7,2,4,2,"7.5YR",5,2,4,"SL","F","ST",3,2,"7.5YR",7,2,4,2,"7.5YR",5,2,4,"SL","F","ST",3
"91","M3_7",0.0111111111111111,0.00555555555555556,0,0,0,0,0.0111111111111111,0,0,0,0,0.127777777777778,0,0,0,0,0,0,1891.002195,240,3,"LV",1,1,189,0,2,6,2,2,6,2,"LS",85,"F",5,8,1,6,"7.5YR","7.5YR",4,4,"VS",2,"7.5YR",6,2,4,2,"7.5YR",6,2,4,"LS","F","ST",3,2,"7.5YR",6,2,4,2,"7.5YR",6,2,4,"LS","F","ST",3
"92","M3_8",0,0.277777777777778,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1867.837113,340,2,"LV",1,1,186,0,2,6,2,2,4,2,"SL",55,"F",7,7.4,1,6,"7.5YR","7.5YR",4,3,"VS",3,"5YR",8,2,4,3,"5YR",5,2,4,"SL","F","ST",3,3,"5YR",8,2,4,3,"5YR",5,2,4,"SL","F","ST",3
"93","M4_2",0.0388888888888889,0.105555555555556,0.0222222222222222,0.00555555555555556,0,0,0,0.361111111111111,0.00555555555555556,0.0166666666666667,0,0.105555555555556,0,0,0,0,0,0,1866.313094,40,15,"VV",0,3,200,1,2,6,2,2,4,2,"SL",60,"F",3,7.4,1,8,"7.5YR","7.5YR",4,4,"VS",2,"7.5YR",6,2,4,2,"7.5YR",5,2,4,"SL","F","ST",3,2,"7.5YR",7,2,4,2,"7.5YR",5,2,4,"SL","F","ST",3
"94","M4_3",0.0277777777777778,0.172222222222222,0.0388888888888889,0,0,0,0,0.05,0,0.00555555555555556,0,0,0,0,0,0,0,0,1867.837113,300,2,"LV",1,1,188,0,2,6,2,2,4,2,"SL",70,"F",5,7.8,2,6,"7.5YR","7.5YR",4,4,"SL",3,"5YR",8,3,6,3,"5YR",5,3,6,"SL","F","ST",3,3,"5YR",8,3,6,3,"5YR",5,3,6,"SL","F","ST",3
"95","M4_4",0,0.0111111111111111,0,0,0,0,0,0,0,0,0,0.466666666666667,0,0,0,0,0,0,1879.724457,10,4,"LL",0,1,176,0,2,6,2,2,4,2,"SL",65,"F",5,7.8,1,5,"7.5YR","7.5YR",4,4,"VS",3,"5YR",8,2,4,3,"5YR",5,2,4,"LS","F","ST",3,3,"5YR",8,2,4,3,"5YR",5,2,4,"LS","F","ST",3
"96","M4_5",0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,1879.11485,270,2,"VV",1,1,190,0,2,7,2,2,4,2,"SL",75,"M",10,7.6,0,4,"7.5YR","7.5YR",4,3,"NE",3,"5YR",6,2,4,3,"5YR",6,3,6,"SL","M","ST",3,3,"5YR",6,2,4,3,"5YR",6,3,6,"SL","M","ST",3
"97","M4_6",0.0277777777777778,0.283333333333333,0.127777777777778,0,0,0,0,0.0277777777777778,0,0,0,0.0888888888888889,0,0,0,0,0,0,1858.693002,50,5,"VV",1,2,159,0,3,6,2,3,4,2,"SL",70,"F",3,6.8,1,5,"5YR","5YR",4,3,"VS",3,"5YR",5,3,6,3,"5YR",4,3,6,"SL","F","ST",3,3,"5YR",5,3,6,3,"5YR",4,3,6,"SL","F","ST",3
"98","M4_7",0.0333333333333333,0.0888888888888889,0,0,0,0,0,0.961111111111111,0.0277777777777778,0.0888888888888889,0,0.00555555555555556,0,0,0,0,0,0,1873.018776,70,10,"LV",1,2,73,0,2,5,2,2,3,2,"SL",50,"F",5,8,1,14,"7.5YR","7.5YR",4,4,"VS",3,"5YR",8,1,2,3,"5YR",6,2,4,"SL","F","VE",4,3,"5YR",8,1,2,3,"5YR",6,2,4,"SL","F","VE",4
"99","M4_9",0.611111111111111,0.0666666666666667,0.0555555555555556,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1882.467691,20,0,"LL",0,0,67,0,2,5,2,2,3,2,"L",45,"VF",25,7.6,0,9,"7.5YR","7.5YR",4,4,"NE",2,"7.5YR",5,2,4,2,"7.5YR",4,2,4,"L","F","ST",3,2,"7.5YR",5,2,4,2,"7.5YR",4,2,4,"L","F","ST",3
