AWC50,Class
11.3714,1
9.69446,1
10.63522,1
10.60632,1
10.75512,2
8.84206,2
11.687,1
8.7326,1
12.77852,2
14.87529545,2
11.00496,3
12.8866,1
11.59288,1
9.50948,1
11.75588,1
11.6493,1
8.36612,1
10.70607407,2
15.0357,1
14.63268,1
14.76808,1
12.6609,1
9.43504,3
11.91686,2
11.15678,1
9.38304,1
8.372,1
5.6505,1
8.477857143,3
9.155,1
11.687,2
9.3059,1
11.6609,1
9.322106383,2
7.7342,1
9.91976,2
11.687,3
8.26776,1
11.1978,1
10.28088,2
13.77762,3
10.03024,1
10.6392,1
10.431,1
11.542,1
9.155,1
14.3908,1
13.42768,3
13.7235814,1
10.25744,2
9.3266,3
12.92004348,1
11.00588,1
19.03847059,1
5.315,1
7.92928,1
12.84502,2
9.285,1
10.87325926,1
8.847,1
9.708,1
9.155,1
18.8466,1
9.8254,2
5.781217391,1
11.57812,1
9.155,2
10.484125,1
10.68114,1
7.42672,1
9.155,2
5.24128,1
10.56432,1
8.01766,1
9.155,3
9.07262,1
9.285,3
9.90064,1
6.29212,3
8.26732,2
7.6715,3
6.13712,3
5.7615,3
8.8645,2
6.57398,1
10.53538,3
10.04338,1
9.52152,1
11.27974,2
7.84406,1
10.9282,2
9.85618,1
9.2408,1
10.7376,2
5.71272,3
10.3452,1
13.03596,1
12.79616,1
